HeapAlloc: 311848, HeapIdle: 3104768, HeapInuse: 761856
HeapAlloc: 397984, HeapIdle: 3022848, HeapInuse: 843776
HeapAlloc: 484120, HeapIdle: 2940928, HeapInuse: 925696
HeapAlloc: 570256, HeapIdle: 2859008, HeapInuse: 1007616
HeapAlloc: 656392, HeapIdle: 2768896, HeapInuse: 1097728
HeapAlloc: 742528, HeapIdle: 2686976, HeapInuse: 1179648
HeapAlloc: 828664, HeapIdle: 2605056, HeapInuse: 1261568
HeapAlloc: 914800, HeapIdle: 2523136, HeapInuse: 1343488
HeapAlloc: 1000936, HeapIdle: 2408448, HeapInuse: 1425408
HeapAlloc: 197024, HeapIdle: 3194880, HeapInuse: 638976
HeapAlloc: 283160, HeapIdle: 3112960, HeapInuse: 720896
HeapAlloc: 369296, HeapIdle: 3031040, HeapInuse: 802816
HeapAlloc: 455432, HeapIdle: 2949120, HeapInuse: 884736
HeapAlloc: 541568, HeapIdle: 2867200, HeapInuse: 966656
HeapAlloc: 627704, HeapIdle: 2777088, HeapInuse: 1056768
HeapAlloc: 713840, HeapIdle: 2695168, HeapInuse: 1138688
HeapAlloc: 799976, HeapIdle: 2613248, HeapInuse: 1220608
HeapAlloc: 886112, HeapIdle: 2531328, HeapInuse: 1302528
HeapAlloc: 972248, HeapIdle: 2449408, HeapInuse: 1384448
HeapAlloc: 1058384, HeapIdle: 2367488, HeapInuse: 1466368
HeapAlloc: 1144520, HeapIdle: 2236416, HeapInuse: 1564672
HeapAlloc: 196360, HeapIdle: 3211264, HeapInuse: 655360
HeapAlloc: 282496, HeapIdle: 3129344, HeapInuse: 737280
HeapAlloc: 368632, HeapIdle: 3047424, HeapInuse: 819200
HeapAlloc: 454768, HeapIdle: 2965504, HeapInuse: 901120
HeapAlloc: 540904, HeapIdle: 2883584, HeapInuse: 983040
HeapAlloc: 627040, HeapIdle: 2793472, HeapInuse: 1073152
HeapAlloc: 713176, HeapIdle: 2711552, HeapInuse: 1155072
HeapAlloc: 799312, HeapIdle: 2629632, HeapInuse: 1236992
HeapAlloc: 885448, HeapIdle: 2547712, HeapInuse: 1318912
HeapAlloc: 971584, HeapIdle: 2465792, HeapInuse: 1400832
HeapAlloc: 1057720, HeapIdle: 2383872, HeapInuse: 1482752
HeapAlloc: 1143856, HeapIdle: 2260992, HeapInuse: 1572864
HeapAlloc: 196360, HeapIdle: 3211264, HeapInuse: 655360
HeapAlloc: 282496, HeapIdle: 3129344, HeapInuse: 737280
HeapAlloc: 368632, HeapIdle: 3047424, HeapInuse: 819200
HeapAlloc: 454768, HeapIdle: 2965504, HeapInuse: 901120
HeapAlloc: 540904, HeapIdle: 2883584, HeapInuse: 983040
HeapAlloc: 627040, HeapIdle: 2793472, HeapInuse: 1073152
HeapAlloc: 713176, HeapIdle: 2711552, HeapInuse: 1155072
HeapAlloc: 799312, HeapIdle: 2629632, HeapInuse: 1236992
HeapAlloc: 885448, HeapIdle: 2547712, HeapInuse: 1318912
HeapAlloc: 971584, HeapIdle: 2465792, HeapInuse: 1400832
HeapAlloc: 1057720, HeapIdle: 2383872, HeapInuse: 1482752
HeapAlloc: 1143856, HeapIdle: 2260992, HeapInuse: 1572864
HeapAlloc: 196360, HeapIdle: 3211264, HeapInuse: 655360
HeapAlloc: 282496, HeapIdle: 3129344, HeapInuse: 737280
HeapAlloc: 368632, HeapIdle: 3047424, HeapInuse: 819200
HeapAlloc: 454768, HeapIdle: 2965504, HeapInuse: 901120
HeapAlloc: 540904, HeapIdle: 2883584, HeapInuse: 983040
HeapAlloc: 627040, HeapIdle: 2793472, HeapInuse: 1073152
HeapAlloc: 713176, HeapIdle: 2711552, HeapInuse: 1155072
HeapAlloc: 799312, HeapIdle: 2629632, HeapInuse: 1236992
HeapAlloc: 885448, HeapIdle: 2547712, HeapInuse: 1318912
HeapAlloc: 971584, HeapIdle: 2465792, HeapInuse: 1400832
HeapAlloc: 1057720, HeapIdle: 2383872, HeapInuse: 1482752
HeapAlloc: 1143856, HeapIdle: 2260992, HeapInuse: 1572864
HeapAlloc: 196360, HeapIdle: 3211264, HeapInuse: 655360
HeapAlloc: 282496, HeapIdle: 3129344, HeapInuse: 737280
HeapAlloc: 368632, HeapIdle: 3047424, HeapInuse: 819200
HeapAlloc: 454768, HeapIdle: 2965504, HeapInuse: 901120
HeapAlloc: 540904, HeapIdle: 2883584, HeapInuse: 983040
HeapAlloc: 627040, HeapIdle: 2793472, HeapInuse: 1073152
HeapAlloc: 713176, HeapIdle: 2711552, HeapInuse: 1155072
HeapAlloc: 799312, HeapIdle: 2629632, HeapInuse: 1236992
HeapAlloc: 885448, HeapIdle: 2547712, HeapInuse: 1318912
HeapAlloc: 971584, HeapIdle: 2465792, HeapInuse: 1400832
HeapAlloc: 1057720, HeapIdle: 2383872, HeapInuse: 1482752
HeapAlloc: 1143856, HeapIdle: 2260992, HeapInuse: 1572864
HeapAlloc: 196360, HeapIdle: 3211264, HeapInuse: 655360
HeapAlloc: 282496, HeapIdle: 3129344, HeapInuse: 737280
HeapAlloc: 368632, HeapIdle: 3047424, HeapInuse: 819200
HeapAlloc: 454768, HeapIdle: 2965504, HeapInuse: 901120
HeapAlloc: 540904, HeapIdle: 2883584, HeapInuse: 983040
HeapAlloc: 627040, HeapIdle: 2793472, HeapInuse: 1073152
HeapAlloc: 713176, HeapIdle: 2711552, HeapInuse: 1155072
HeapAlloc: 799312, HeapIdle: 2629632, HeapInuse: 1236992
HeapAlloc: 885448, HeapIdle: 2547712, HeapInuse: 1318912
HeapAlloc: 971584, HeapIdle: 2465792, HeapInuse: 1400832
HeapAlloc: 1057720, HeapIdle: 2383872, HeapInuse: 1482752
HeapAlloc: 1143856, HeapIdle: 2260992, HeapInuse: 1572864
HeapAlloc: 196360, HeapIdle: 3211264, HeapInuse: 655360
HeapAlloc: 282496, HeapIdle: 3129344, HeapInuse: 737280
HeapAlloc: 368632, HeapIdle: 3047424, HeapInuse: 819200
HeapAlloc: 454768, HeapIdle: 2965504, HeapInuse: 901120
HeapAlloc: 540904, HeapIdle: 2883584, HeapInuse: 983040
HeapAlloc: 627040, HeapIdle: 2793472, HeapInuse: 1073152
HeapAlloc: 713176, HeapIdle: 2711552, HeapInuse: 1155072
HeapAlloc: 799312, HeapIdle: 2629632, HeapInuse: 1236992
HeapAlloc: 885448, HeapIdle: 2547712, HeapInuse: 1318912
HeapAlloc: 971584, HeapIdle: 2465792, HeapInuse: 1400832
HeapAlloc: 1057720, HeapIdle: 2383872, HeapInuse: 1482752
HeapAlloc: 1143856, HeapIdle: 2260992, HeapInuse: 1572864
HeapAlloc: 196360, HeapIdle: 3211264, HeapInuse: 655360
HeapAlloc: 282496, HeapIdle: 3129344, HeapInuse: 737280
HeapAlloc: 368632, HeapIdle: 3047424, HeapInuse: 819200
HeapAlloc: 454768, HeapIdle: 2965504, HeapInuse: 901120
HeapAlloc: 540904, HeapIdle: 2883584, HeapInuse: 983040
HeapAlloc: 627040, HeapIdle: 2793472, HeapInuse: 1073152
HeapAlloc: 713176, HeapIdle: 2711552, HeapInuse: 1155072
HeapAlloc: 799312, HeapIdle: 2629632, HeapInuse: 1236992
HeapAlloc: 885448, HeapIdle: 2547712, HeapInuse: 1318912
HeapAlloc: 971584, HeapIdle: 2465792, HeapInuse: 1400832
HeapAlloc: 1057720, HeapIdle: 2383872, HeapInuse: 1482752
HeapAlloc: 1143856, HeapIdle: 2260992, HeapInuse: 1572864
HeapAlloc: 196360, HeapIdle: 3211264, HeapInuse: 655360
HeapAlloc: 282496, HeapIdle: 3129344, HeapInuse: 737280
HeapAlloc: 368632, HeapIdle: 3047424, HeapInuse: 819200
HeapAlloc: 454768, HeapIdle: 2965504, HeapInuse: 901120
HeapAlloc: 540904, HeapIdle: 2883584, HeapInuse: 983040
HeapAlloc: 627040, HeapIdle: 2793472, HeapInuse: 1073152
HeapAlloc: 713176, HeapIdle: 2711552, HeapInuse: 1155072
HeapAlloc: 799312, HeapIdle: 2629632, HeapInuse: 1236992
HeapAlloc: 885448, HeapIdle: 2547712, HeapInuse: 1318912
HeapAlloc: 971584, HeapIdle: 2465792, HeapInuse: 1400832
HeapAlloc: 1057720, HeapIdle: 2383872, HeapInuse: 1482752
HeapAlloc: 1143856, HeapIdle: 2260992, HeapInuse: 1572864
HeapAlloc: 196360, HeapIdle: 3211264, HeapInuse: 655360
HeapAlloc: 282496, HeapIdle: 3129344, HeapInuse: 737280
HeapAlloc: 368632, HeapIdle: 3047424, HeapInuse: 819200
HeapAlloc: 454768, HeapIdle: 2965504, HeapInuse: 901120
HeapAlloc: 540904, HeapIdle: 2883584, HeapInuse: 983040
