HeapAlloc: 314176, HeapIdle: 3072000, HeapInuse: 761856
HeapAlloc: 400312, HeapIdle: 2990080, HeapInuse: 843776
HeapAlloc: 486448, HeapIdle: 2908160, HeapInuse: 925696
HeapAlloc: 572584, HeapIdle: 2826240, HeapInuse: 1007616
HeapAlloc: 658720, HeapIdle: 2736128, HeapInuse: 1097728
HeapAlloc: 744856, HeapIdle: 2654208, HeapInuse: 1179648
HeapAlloc: 830992, HeapIdle: 2572288, HeapInuse: 1261568
HeapAlloc: 917128, HeapIdle: 2490368, HeapInuse: 1343488
HeapAlloc: 1003264, HeapIdle: 2408448, HeapInuse: 1425408
HeapAlloc: 1089400, HeapIdle: 2318336, HeapInuse: 1515520
HeapAlloc: 1175536, HeapIdle: 2228224, HeapInuse: 1605632
HeapAlloc: 1261672, HeapIdle: 2138112, HeapInuse: 1695744
HeapAlloc: 1347808, HeapIdle: 2056192, HeapInuse: 1777664
HeapAlloc: 1433944, HeapIdle: 1974272, HeapInuse: 1859584
HeapAlloc: 1520080, HeapIdle: 1892352, HeapInuse: 1941504
HeapAlloc: 1606216, HeapIdle: 1810432, HeapInuse: 2023424
HeapAlloc: 1692352, HeapIdle: 1712128, HeapInuse: 2121728
HeapAlloc: 1778488, HeapIdle: 1630208, HeapInuse: 2203648
HeapAlloc: 1864624, HeapIdle: 1548288, HeapInuse: 2285568
HeapAlloc: 1950760, HeapIdle: 1466368, HeapInuse: 2367488
HeapAlloc: 2036896, HeapIdle: 1384448, HeapInuse: 2449408
HeapAlloc: 2123032, HeapIdle: 1294336, HeapInuse: 2539520
HeapAlloc: 2209168, HeapIdle: 1212416, HeapInuse: 2621440
HeapAlloc: 2295304, HeapIdle: 1122304, HeapInuse: 2711552
HeapAlloc: 2381440, HeapIdle: 1040384, HeapInuse: 2793472
HeapAlloc: 2467576, HeapIdle: 958464, HeapInuse: 2875392
HeapAlloc: 2553712, HeapIdle: 876544, HeapInuse: 2957312
HeapAlloc: 2639848, HeapIdle: 786432, HeapInuse: 3047424
HeapAlloc: 2725984, HeapIdle: 704512, HeapInuse: 3129344
HeapAlloc: 2812120, HeapIdle: 622592, HeapInuse: 3211264
HeapAlloc: 2898256, HeapIdle: 532480, HeapInuse: 3301376
HeapAlloc: 2984392, HeapIdle: 450560, HeapInuse: 3383296
HeapAlloc: 3070528, HeapIdle: 360448, HeapInuse: 3473408
HeapAlloc: 3156664, HeapIdle: 262144, HeapInuse: 3571712
HeapAlloc: 3242800, HeapIdle: 172032, HeapInuse: 3661824
HeapAlloc: 3328936, HeapIdle: 81920, HeapInuse: 3751936
HeapAlloc: 3415072, HeapIdle: 0, HeapInuse: 3833856
HeapAlloc: 3501176, HeapIdle: 4104192, HeapInuse: 3923968
HeapAlloc: 3587312, HeapIdle: 4022272, HeapInuse: 4005888
HeapAlloc: 3673448, HeapIdle: 3932160, HeapInuse: 4096000
HeapAlloc: 3759584, HeapIdle: 3850240, HeapInuse: 4177920
HeapAlloc: 3845720, HeapIdle: 3768320, HeapInuse: 4259840
HeapAlloc: 3931856, HeapIdle: 3686400, HeapInuse: 4341760
HeapAlloc: 4017992, HeapIdle: 3604480, HeapInuse: 4423680
HeapAlloc: 4104128, HeapIdle: 3514368, HeapInuse: 4513792
HeapAlloc: 4190264, HeapIdle: 3432448, HeapInuse: 4595712
HeapAlloc: 4276400, HeapIdle: 3350528, HeapInuse: 4677632
HeapAlloc: 4362536, HeapIdle: 3268608, HeapInuse: 4759552
HeapAlloc: 4448672, HeapIdle: 3178496, HeapInuse: 4849664
HeapAlloc: 4534808, HeapIdle: 3096576, HeapInuse: 4931584
HeapAlloc: 4620944, HeapIdle: 3006464, HeapInuse: 5021696
HeapAlloc: 4707080, HeapIdle: 2916352, HeapInuse: 5111808
HeapAlloc: 4793216, HeapIdle: 2818048, HeapInuse: 5210112
HeapAlloc: 4879352, HeapIdle: 2736128, HeapInuse: 5292032
HeapAlloc: 4965488, HeapIdle: 2637824, HeapInuse: 5390336
