HeapAlloc: 313568, HeapIdle: 3072000, HeapInuse: 761856
HeapAlloc: 399704, HeapIdle: 2990080, HeapInuse: 843776
HeapAlloc: 485840, HeapIdle: 2908160, HeapInuse: 925696
HeapAlloc: 571976, HeapIdle: 2826240, HeapInuse: 1007616
HeapAlloc: 658112, HeapIdle: 2736128, HeapInuse: 1097728
HeapAlloc: 744248, HeapIdle: 2654208, HeapInuse: 1179648
HeapAlloc: 830384, HeapIdle: 2572288, HeapInuse: 1261568
HeapAlloc: 916520, HeapIdle: 2490368, HeapInuse: 1343488
HeapAlloc: 1002656, HeapIdle: 2408448, HeapInuse: 1425408
HeapAlloc: 1088792, HeapIdle: 2318336, HeapInuse: 1515520
HeapAlloc: 1174928, HeapIdle: 2228224, HeapInuse: 1605632
HeapAlloc: 1261064, HeapIdle: 2138112, HeapInuse: 1695744
HeapAlloc: 1347200, HeapIdle: 2056192, HeapInuse: 1777664
HeapAlloc: 1433336, HeapIdle: 1974272, HeapInuse: 1859584
HeapAlloc: 1519472, HeapIdle: 1892352, HeapInuse: 1941504
HeapAlloc: 1605608, HeapIdle: 1810432, HeapInuse: 2023424
HeapAlloc: 1691744, HeapIdle: 1712128, HeapInuse: 2121728
HeapAlloc: 1777880, HeapIdle: 1630208, HeapInuse: 2203648
HeapAlloc: 1864016, HeapIdle: 1548288, HeapInuse: 2285568
HeapAlloc: 1950152, HeapIdle: 1466368, HeapInuse: 2367488
HeapAlloc: 2036288, HeapIdle: 1384448, HeapInuse: 2449408
HeapAlloc: 2122424, HeapIdle: 1302528, HeapInuse: 2531328
HeapAlloc: 2208560, HeapIdle: 1204224, HeapInuse: 2629632
HeapAlloc: 2294696, HeapIdle: 1122304, HeapInuse: 2711552
HeapAlloc: 2380832, HeapIdle: 1040384, HeapInuse: 2793472
HeapAlloc: 2466968, HeapIdle: 958464, HeapInuse: 2875392
HeapAlloc: 2553104, HeapIdle: 876544, HeapInuse: 2957312
HeapAlloc: 2639240, HeapIdle: 786432, HeapInuse: 3047424
HeapAlloc: 2725376, HeapIdle: 704512, HeapInuse: 3129344
HeapAlloc: 2811512, HeapIdle: 622592, HeapInuse: 3211264
HeapAlloc: 2897648, HeapIdle: 532480, HeapInuse: 3301376
HeapAlloc: 2983784, HeapIdle: 450560, HeapInuse: 3383296
HeapAlloc: 3069920, HeapIdle: 360448, HeapInuse: 3473408
HeapAlloc: 3156056, HeapIdle: 262144, HeapInuse: 3571712
HeapAlloc: 3242192, HeapIdle: 172032, HeapInuse: 3661824
HeapAlloc: 3328328, HeapIdle: 81920, HeapInuse: 3751936
HeapAlloc: 3414464, HeapIdle: 0, HeapInuse: 3833856
HeapAlloc: 3500568, HeapIdle: 4104192, HeapInuse: 3923968
HeapAlloc: 3586704, HeapIdle: 4022272, HeapInuse: 4005888
