Request: 0, Container: go-server-image-9500, HeapAlloc: 8400864, HeapIdle: 3350528, HeapInuse: 8839168, NextGC: 123835344, NumGC: 0
Request: 1, Container: go-server-image-9500, HeapAlloc: 16409624, HeapIdle: 3735552, HeapInuse: 16842752, NextGC: 123840520, NumGC: 0
Request: 2, Container: go-server-image-9500, HeapAlloc: 24418384, HeapIdle: 4112384, HeapInuse: 24854528, NextGC: 123837504, NumGC: 0
Request: 3, Container: go-server-image-9500, HeapAlloc: 32427144, HeapIdle: 4497408, HeapInuse: 32858112, NextGC: 123842680, NumGC: 0
Request: 4, Container: go-server-image-9500, HeapAlloc: 40435904, HeapIdle: 4882432, HeapInuse: 40861696, NextGC: 123847856, NumGC: 0
Request: 5, Container: go-server-image-9500, HeapAlloc: 48444680, HeapIdle: 5267456, HeapInuse: 48865280, NextGC: 123853048, NumGC: 0
Request: 6, Container: go-server-image-9500, HeapAlloc: 56453440, HeapIdle: 5627904, HeapInuse: 56893440, NextGC: 123833648, NumGC: 0
Request: 7, Container: go-server-image-9500, HeapAlloc: 64462200, HeapIdle: 6012928, HeapInuse: 64897024, NextGC: 121673048, NumGC: 0
Request: 8, Container: go-server-image-9500, HeapAlloc: 72470960, HeapIdle: 6389760, HeapInuse: 72908800, NextGC: 121670032, NumGC: 0
Request: 9, Container: go-server-image-9500, HeapAlloc: 80479720, HeapIdle: 6774784, HeapInuse: 80912384, NextGC: 121675208, NumGC: 0
Request: 10, Container: go-server-image-9500, HeapAlloc: 88488768, HeapIdle: 7151616, HeapInuse: 88924160, NextGC: 121672480, NumGC: 0
Request: 11, Container: go-server-image-9500, HeapAlloc: 96497528, HeapIdle: 7536640, HeapInuse: 96927744, NextGC: 121677656, NumGC: 0
Request: 12, Container: go-server-image-9500, HeapAlloc: 104506288, HeapIdle: 7921664, HeapInuse: 104931328, NextGC: 121682832, NumGC: 0
Request: 13, Container: go-server-image-9500, HeapAlloc: 112515048, HeapIdle: 8306688, HeapInuse: 112934912, NextGC: 121688008, NumGC: 0
Request: 14, Container: go-server-image-9500, HeapAlloc: 120411656, HeapIdle: 352256, HeapInuse: 120856576, NextGC: 121302504, NumGC: 1
Request: 15, Container: go-server-image-9500, HeapAlloc: 16222632, HeapIdle: 104579072, HeapInuse: 16662528, NextGC: 121340296, NumGC: 1
Request: 16, Container: go-server-image-9500, HeapAlloc: 24231392, HeapIdle: 96575488, HeapInuse: 24666112, NextGC: 121345472, NumGC: 1
Request: 17, Container: go-server-image-9500, HeapAlloc: 32240152, HeapIdle: 88571904, HeapInuse: 32669696, NextGC: 121350648, NumGC: 1
Request: 18, Container: go-server-image-9500, HeapAlloc: 40248912, HeapIdle: 80568320, HeapInuse: 40673280, NextGC: 121355824, NumGC: 1
Request: 19, Container: go-server-image-9500, HeapAlloc: 48257672, HeapIdle: 72556544, HeapInuse: 48685056, NextGC: 121090664, NumGC: 1
