Request: 0, Container: go-server-image-9500, HeapAlloc: 1201952, HeapIdle: 2162688, HeapInuse: 1638400, NextGC: 20971520, NumGC: 0
Request: 1, Container: go-server-image-9500, HeapAlloc: 2009944, HeapIdle: 1359872, HeapInuse: 2441216, NextGC: 20971520, NumGC: 0
Request: 2, Container: go-server-image-9500, HeapAlloc: 2817920, HeapIdle: 548864, HeapInuse: 3252224, NextGC: 20971520, NumGC: 0
Request: 3, Container: go-server-image-9500, HeapAlloc: 3625912, HeapIdle: 3940352, HeapInuse: 4055040, NextGC: 20971520, NumGC: 0
Request: 4, Container: go-server-image-9500, HeapAlloc: 4433904, HeapIdle: 3137536, HeapInuse: 4857856, NextGC: 20971520, NumGC: 0
Request: 5, Container: go-server-image-9500, HeapAlloc: 5241912, HeapIdle: 2334720, HeapInuse: 5660672, NextGC: 20971520, NumGC: 0
Request: 6, Container: go-server-image-9500, HeapAlloc: 6049904, HeapIdle: 1507328, HeapInuse: 6488064, NextGC: 20971520, NumGC: 0
Request: 7, Container: go-server-image-9500, HeapAlloc: 6857896, HeapIdle: 704512, HeapInuse: 7290880, NextGC: 20971520, NumGC: 0
Request: 8, Container: go-server-image-9500, HeapAlloc: 7665888, HeapIdle: 4087808, HeapInuse: 8101888, NextGC: 20971520, NumGC: 0
Request: 9, Container: go-server-image-9500, HeapAlloc: 8473880, HeapIdle: 3284992, HeapInuse: 8904704, NextGC: 20971520, NumGC: 0
Request: 10, Container: go-server-image-9500, HeapAlloc: 9281872, HeapIdle: 2473984, HeapInuse: 9715712, NextGC: 20971520, NumGC: 0
Request: 11, Container: go-server-image-9500, HeapAlloc: 10089864, HeapIdle: 1671168, HeapInuse: 10518528, NextGC: 20971520, NumGC: 0
Request: 12, Container: go-server-image-9500, HeapAlloc: 10897856, HeapIdle: 868352, HeapInuse: 11321344, NextGC: 20971520, NumGC: 0
Request: 13, Container: go-server-image-9500, HeapAlloc: 11705848, HeapIdle: 4251648, HeapInuse: 12132352, NextGC: 20971520, NumGC: 0
Request: 14, Container: go-server-image-9500, HeapAlloc: 12513840, HeapIdle: 3448832, HeapInuse: 12935168, NextGC: 20971520, NumGC: 0
Request: 15, Container: go-server-image-9500, HeapAlloc: 13321832, HeapIdle: 2646016, HeapInuse: 13737984, NextGC: 20971520, NumGC: 0
Request: 16, Container: go-server-image-9500, HeapAlloc: 14129824, HeapIdle: 1843200, HeapInuse: 14540800, NextGC: 20971520, NumGC: 0
Request: 17, Container: go-server-image-9500, HeapAlloc: 14937816, HeapIdle: 1032192, HeapInuse: 15351808, NextGC: 20971520, NumGC: 0
Request: 18, Container: go-server-image-9500, HeapAlloc: 15745808, HeapIdle: 221184, HeapInuse: 16162816, NextGC: 20971520, NumGC: 0
Request: 19, Container: go-server-image-9500, HeapAlloc: 16553800, HeapIdle: 3604480, HeapInuse: 16973824, NextGC: 20971520, NumGC: 0
Request: 20, Container: go-server-image-9500, HeapAlloc: 17361792, HeapIdle: 2801664, HeapInuse: 17776640, NextGC: 20971520, NumGC: 0
Request: 21, Container: go-server-image-9500, HeapAlloc: 18169784, HeapIdle: 1998848, HeapInuse: 18579456, NextGC: 20971520, NumGC: 0
Request: 22, Container: go-server-image-9500, HeapAlloc: 18977776, HeapIdle: 1196032, HeapInuse: 19382272, NextGC: 20971520, NumGC: 0
Request: 23, Container: go-server-image-9500, HeapAlloc: 19785768, HeapIdle: 385024, HeapInuse: 20193280, NextGC: 20971520, NumGC: 0
Request: 24, Container: go-server-image-9500, HeapAlloc: 20681408, HeapIdle: 3645440, HeapInuse: 21094400, NextGC: 20971520, NumGC: 0
Request: 25, Container: go-server-image-9500, HeapAlloc: 17341536, HeapIdle: 6946816, HeapInuse: 17760256, NextGC: 20971520, NumGC: 1
Request: 26, Container: go-server-image-9500, HeapAlloc: 2727496, HeapIdle: 21561344, HeapInuse: 3178496, NextGC: 20971520, NumGC: 1
Request: 27, Container: go-server-image-9500, HeapAlloc: 3535776, HeapIdle: 20758528, HeapInuse: 3981312, NextGC: 20971520, NumGC: 1
Request: 28, Container: go-server-image-9500, HeapAlloc: 4343768, HeapIdle: 19947520, HeapInuse: 4792320, NextGC: 20971520, NumGC: 1
Request: 29, Container: go-server-image-9500, HeapAlloc: 5152048, HeapIdle: 19144704, HeapInuse: 5595136, NextGC: 20971520, NumGC: 1
Request: 30, Container: go-server-image-9500, HeapAlloc: 5960040, HeapIdle: 18341888, HeapInuse: 6397952, NextGC: 20971520, NumGC: 1
Request: 31, Container: go-server-image-9500, HeapAlloc: 6768032, HeapIdle: 17539072, HeapInuse: 7200768, NextGC: 20971520, NumGC: 1
Request: 32, Container: go-server-image-9500, HeapAlloc: 7576312, HeapIdle: 16736256, HeapInuse: 8003584, NextGC: 20971520, NumGC: 1
Request: 33, Container: go-server-image-9500, HeapAlloc: 8384304, HeapIdle: 15933440, HeapInuse: 8806400, NextGC: 20971520, NumGC: 1
Request: 34, Container: go-server-image-9500, HeapAlloc: 9192296, HeapIdle: 15122432, HeapInuse: 9617408, NextGC: 20971520, NumGC: 1
Request: 35, Container: go-server-image-9500, HeapAlloc: 10000288, HeapIdle: 14319616, HeapInuse: 10420224, NextGC: 20971520, NumGC: 1
Request: 36, Container: go-server-image-9500, HeapAlloc: 10808280, HeapIdle: 13516800, HeapInuse: 11223040, NextGC: 20971520, NumGC: 1
Request: 37, Container: go-server-image-9500, HeapAlloc: 11616272, HeapIdle: 12713984, HeapInuse: 12025856, NextGC: 20971520, NumGC: 1
Request: 38, Container: go-server-image-9500, HeapAlloc: 12424264, HeapIdle: 11911168, HeapInuse: 12828672, NextGC: 20971520, NumGC: 1
Request: 39, Container: go-server-image-9500, HeapAlloc: 13232256, HeapIdle: 11100160, HeapInuse: 13639680, NextGC: 20971520, NumGC: 1
Request: 40, Container: go-server-image-9500, HeapAlloc: 14040536, HeapIdle: 10297344, HeapInuse: 14442496, NextGC: 20971520, NumGC: 1
Request: 41, Container: go-server-image-9500, HeapAlloc: 14848816, HeapIdle: 9494528, HeapInuse: 15245312, NextGC: 20971520, NumGC: 1
Request: 42, Container: go-server-image-9500, HeapAlloc: 15656808, HeapIdle: 8691712, HeapInuse: 16048128, NextGC: 20971520, NumGC: 1
Request: 43, Container: go-server-image-9500, HeapAlloc: 16464800, HeapIdle: 7880704, HeapInuse: 16859136, NextGC: 20971520, NumGC: 1
Request: 44, Container: go-server-image-9500, HeapAlloc: 17272792, HeapIdle: 7077888, HeapInuse: 17661952, NextGC: 20971520, NumGC: 1
Request: 45, Container: go-server-image-9500, HeapAlloc: 18080784, HeapIdle: 6266880, HeapInuse: 18472960, NextGC: 20971520, NumGC: 1
