HeapAlloc: 347408, HeapIdle: 3039232, HeapInuse: 794624
HeapAlloc: 433544, HeapIdle: 2957312, HeapInuse: 876544
HeapAlloc: 519680, HeapIdle: 2875392, HeapInuse: 958464
HeapAlloc: 605816, HeapIdle: 2793472, HeapInuse: 1040384
HeapAlloc: 691952, HeapIdle: 2703360, HeapInuse: 1130496
HeapAlloc: 778088, HeapIdle: 2621440, HeapInuse: 1212416
HeapAlloc: 864224, HeapIdle: 2539520, HeapInuse: 1294336
HeapAlloc: 950360, HeapIdle: 2457600, HeapInuse: 1376256
HeapAlloc: 1036496, HeapIdle: 2375680, HeapInuse: 1458176
HeapAlloc: 1122632, HeapIdle: 2285568, HeapInuse: 1548288
HeapAlloc: 1208768, HeapIdle: 2195456, HeapInuse: 1638400
HeapAlloc: 1294904, HeapIdle: 2105344, HeapInuse: 1728512
HeapAlloc: 1381040, HeapIdle: 2023424, HeapInuse: 1810432
HeapAlloc: 1467176, HeapIdle: 1941504, HeapInuse: 1892352
HeapAlloc: 1553312, HeapIdle: 1859584, HeapInuse: 1974272
HeapAlloc: 1639448, HeapIdle: 1777664, HeapInuse: 2056192
HeapAlloc: 1725584, HeapIdle: 1679360, HeapInuse: 2154496
HeapAlloc: 1811720, HeapIdle: 1597440, HeapInuse: 2236416
HeapAlloc: 1897856, HeapIdle: 1515520, HeapInuse: 2318336
HeapAlloc: 1983992, HeapIdle: 1433600, HeapInuse: 2400256
HeapAlloc: 2070128, HeapIdle: 1351680, HeapInuse: 2482176
HeapAlloc: 2156264, HeapIdle: 1253376, HeapInuse: 2580480
HeapAlloc: 2242400, HeapIdle: 1171456, HeapInuse: 2662400
HeapAlloc: 2328536, HeapIdle: 1089536, HeapInuse: 2744320
HeapAlloc: 2414672, HeapIdle: 1007616, HeapInuse: 2826240
HeapAlloc: 2500808, HeapIdle: 925696, HeapInuse: 2908160
HeapAlloc: 2586944, HeapIdle: 843776, HeapInuse: 2990080
HeapAlloc: 2673080, HeapIdle: 753664, HeapInuse: 3080192
HeapAlloc: 2759216, HeapIdle: 671744, HeapInuse: 3162112
HeapAlloc: 2845352, HeapIdle: 589824, HeapInuse: 3244032
HeapAlloc: 2931488, HeapIdle: 499712, HeapInuse: 3334144
HeapAlloc: 3017624, HeapIdle: 417792, HeapInuse: 3416064
HeapAlloc: 3103760, HeapIdle: 327680, HeapInuse: 3506176
HeapAlloc: 3189896, HeapIdle: 229376, HeapInuse: 3604480
HeapAlloc: 3276032, HeapIdle: 139264, HeapInuse: 3694592
HeapAlloc: 3362168, HeapIdle: 49152, HeapInuse: 3784704
HeapAlloc: 3448304, HeapIdle: 4161536, HeapInuse: 3866624
HeapAlloc: 3534440, HeapIdle: 4079616, HeapInuse: 3948544
HeapAlloc: 3620576, HeapIdle: 3997696, HeapInuse: 4030464
HeapAlloc: 3706712, HeapIdle: 3907584, HeapInuse: 4120576
HeapAlloc: 3792848, HeapIdle: 3825664, HeapInuse: 4202496
HeapAlloc: 3878984, HeapIdle: 3743744, HeapInuse: 4284416
HeapAlloc: 3965120, HeapIdle: 3661824, HeapInuse: 4366336
HeapAlloc: 4051256, HeapIdle: 3579904, HeapInuse: 4448256
HeapAlloc: 4137392, HeapIdle: 3489792, HeapInuse: 4538368
HeapAlloc: 4223528, HeapIdle: 3407872, HeapInuse: 4620288
HeapAlloc: 4309664, HeapIdle: 3325952, HeapInuse: 4702208
HeapAlloc: 4395800, HeapIdle: 3244032, HeapInuse: 4784128
HeapAlloc: 4481936, HeapIdle: 3153920, HeapInuse: 4874240
HeapAlloc: 4568072, HeapIdle: 3063808, HeapInuse: 4964352
HeapAlloc: 4654208, HeapIdle: 2973696, HeapInuse: 5054464
HeapAlloc: 4740344, HeapIdle: 2883584, HeapInuse: 5144576
HeapAlloc: 4826480, HeapIdle: 2793472, HeapInuse: 5234688
HeapAlloc: 4912616, HeapIdle: 2711552, HeapInuse: 5316608
HeapAlloc: 4998752, HeapIdle: 2613248, HeapInuse: 5414912
HeapAlloc: 5084888, HeapIdle: 2531328, HeapInuse: 5496832
HeapAlloc: 5171024, HeapIdle: 2441216, HeapInuse: 5586944
HeapAlloc: 5257160, HeapIdle: 2359296, HeapInuse: 5668864
HeapAlloc: 5343296, HeapIdle: 2269184, HeapInuse: 5758976
HeapAlloc: 5429432, HeapIdle: 2187264, HeapInuse: 5840896
HeapAlloc: 5515568, HeapIdle: 2105344, HeapInuse: 5922816
HeapAlloc: 5601704, HeapIdle: 2023424, HeapInuse: 6004736
HeapAlloc: 5687840, HeapIdle: 1925120, HeapInuse: 6103040
HeapAlloc: 5773976, HeapIdle: 1843200, HeapInuse: 6184960
HeapAlloc: 5860112, HeapIdle: 1753088, HeapInuse: 6275072
HeapAlloc: 5946248, HeapIdle: 1671168, HeapInuse: 6356992
HeapAlloc: 6032384, HeapIdle: 1589248, HeapInuse: 6438912
HeapAlloc: 6118520, HeapIdle: 1499136, HeapInuse: 6529024
HeapAlloc: 6204656, HeapIdle: 1417216, HeapInuse: 6610944
HeapAlloc: 6290792, HeapIdle: 1335296, HeapInuse: 6692864
HeapAlloc: 6376928, HeapIdle: 1253376, HeapInuse: 6774784
HeapAlloc: 6463064, HeapIdle: 1155072, HeapInuse: 6873088
HeapAlloc: 6549200, HeapIdle: 1073152, HeapInuse: 6955008
HeapAlloc: 6635336, HeapIdle: 983040, HeapInuse: 7045120
HeapAlloc: 6721472, HeapIdle: 901120, HeapInuse: 7127040
HeapAlloc: 6807608, HeapIdle: 811008, HeapInuse: 7217152
HeapAlloc: 6893744, HeapIdle: 729088, HeapInuse: 7299072
HeapAlloc: 6979880, HeapIdle: 638976, HeapInuse: 7389184
HeapAlloc: 7066016, HeapIdle: 557056, HeapInuse: 7471104
HeapAlloc: 7152152, HeapIdle: 466944, HeapInuse: 7561216
HeapAlloc: 7238288, HeapIdle: 376832, HeapInuse: 7651328
HeapAlloc: 7324424, HeapIdle: 294912, HeapInuse: 7733248
HeapAlloc: 7410560, HeapIdle: 204800, HeapInuse: 7823360
HeapAlloc: 7496696, HeapIdle: 122880, HeapInuse: 7905280
HeapAlloc: 7582832, HeapIdle: 40960, HeapInuse: 7987200
HeapAlloc: 7668968, HeapIdle: 4145152, HeapInuse: 8077312
HeapAlloc: 7755104, HeapIdle: 4063232, HeapInuse: 8159232
HeapAlloc: 7841240, HeapIdle: 3981312, HeapInuse: 8241152
HeapAlloc: 7927376, HeapIdle: 3899392, HeapInuse: 8323072
HeapAlloc: 8013512, HeapIdle: 3817472, HeapInuse: 8404992
HeapAlloc: 8099648, HeapIdle: 3727360, HeapInuse: 8495104
HeapAlloc: 8185784, HeapIdle: 3645440, HeapInuse: 8577024
HeapAlloc: 8271920, HeapIdle: 3563520, HeapInuse: 8658944
HeapAlloc: 8358056, HeapIdle: 3481600, HeapInuse: 8740864
HeapAlloc: 8444192, HeapIdle: 3383296, HeapInuse: 8839168
HeapAlloc: 8530328, HeapIdle: 3301376, HeapInuse: 8921088
HeapAlloc: 8616464, HeapIdle: 3203072, HeapInuse: 9019392
HeapAlloc: 8702600, HeapIdle: 3112960, HeapInuse: 9109504
HeapAlloc: 8788736, HeapIdle: 3031040, HeapInuse: 9191424
HeapAlloc: 8874872, HeapIdle: 2949120, HeapInuse: 9273344
HeapAlloc: 8961008, HeapIdle: 2867200, HeapInuse: 9355264
HeapAlloc: 9047144, HeapIdle: 2785280, HeapInuse: 9437184
HeapAlloc: 9133280, HeapIdle: 2686976, HeapInuse: 9535488
HeapAlloc: 9219416, HeapIdle: 2605056, HeapInuse: 9617408
HeapAlloc: 9305552, HeapIdle: 2523136, HeapInuse: 9699328
HeapAlloc: 9391688, HeapIdle: 2433024, HeapInuse: 9789440
HeapAlloc: 9477824, HeapIdle: 2342912, HeapInuse: 9879552
HeapAlloc: 9563960, HeapIdle: 2252800, HeapInuse: 9969664
HeapAlloc: 9650096, HeapIdle: 2154496, HeapInuse: 10067968
HeapAlloc: 9736232, HeapIdle: 2072576, HeapInuse: 10149888
HeapAlloc: 9822368, HeapIdle: 1990656, HeapInuse: 10231808
HeapAlloc: 9908504, HeapIdle: 1908736, HeapInuse: 10313728
HeapAlloc: 9994640, HeapIdle: 1810432, HeapInuse: 10412032
HeapAlloc: 10080776, HeapIdle: 1720320, HeapInuse: 10502144
HeapAlloc: 10166912, HeapIdle: 1638400, HeapInuse: 10584064
HeapAlloc: 10253048, HeapIdle: 1556480, HeapInuse: 10665984
HeapAlloc: 10339184, HeapIdle: 1474560, HeapInuse: 10747904
HeapAlloc: 10425320, HeapIdle: 1392640, HeapInuse: 10829824
HeapAlloc: 10511456, HeapIdle: 1294336, HeapInuse: 10928128
HeapAlloc: 10597592, HeapIdle: 1204224, HeapInuse: 11018240
HeapAlloc: 10683728, HeapIdle: 1122304, HeapInuse: 11100160
HeapAlloc: 10769864, HeapIdle: 1040384, HeapInuse: 11182080
HeapAlloc: 10856000, HeapIdle: 958464, HeapInuse: 11264000
HeapAlloc: 10942136, HeapIdle: 876544, HeapInuse: 11345920
HeapAlloc: 11028272, HeapIdle: 794624, HeapInuse: 11427840
HeapAlloc: 11114408, HeapIdle: 704512, HeapInuse: 11517952
HeapAlloc: 11200544, HeapIdle: 614400, HeapInuse: 11608064
HeapAlloc: 11286680, HeapIdle: 532480, HeapInuse: 11689984
HeapAlloc: 11372816, HeapIdle: 442368, HeapInuse: 11780096
HeapAlloc: 11458952, HeapIdle: 360448, HeapInuse: 11862016
HeapAlloc: 11545088, HeapIdle: 278528, HeapInuse: 11943936
HeapAlloc: 11631224, HeapIdle: 180224, HeapInuse: 12042240
HeapAlloc: 11717360, HeapIdle: 98304, HeapInuse: 12124160
HeapAlloc: 11803496, HeapIdle: 8192, HeapInuse: 12214272
HeapAlloc: 11889632, HeapIdle: 4120576, HeapInuse: 12296192
HeapAlloc: 11975768, HeapIdle: 4038656, HeapInuse: 12378112
HeapAlloc: 12061904, HeapIdle: 3948544, HeapInuse: 12468224
HeapAlloc: 12148040, HeapIdle: 3866624, HeapInuse: 12550144
HeapAlloc: 12234176, HeapIdle: 3784704, HeapInuse: 12632064
HeapAlloc: 12320312, HeapIdle: 3694592, HeapInuse: 12722176
HeapAlloc: 12406448, HeapIdle: 3612672, HeapInuse: 12804096
HeapAlloc: 12492584, HeapIdle: 3530752, HeapInuse: 12886016
HeapAlloc: 12578720, HeapIdle: 3440640, HeapInuse: 12976128
