117c06da142044c8bc06da142044c86e: cold
11fbdbc3827549abbbdbc3827509abf1: warm
fc446251153a48b5846251153a98b52f: warm
fc0652dfce6b48458652dfce6be8454f: warm
259626880e7345e89626880e73a5e83e: warm
107ef752102642dabef752102652da02: warm
f49171d5b99947f39171d5b99907f32a: warm
48d5c4761fe9480d95c4761fe9e80d84: warm
242cbf6d46a247daacbf6d46a2e7dabb: warm
03d13deaeb9c4668913deaeb9c96683a: warm
27462f21034c4f42862f21034c9f429a: warm
78e5e79995884bb5a5e79995888bb581: warm
e6a1088eea5c4e3ba1088eea5cfe3bf3: warm
ec7ca1e1bcfe4a4dbca1e1bcfe5a4df4: warm
4f673d6462514e8fa73d6462513e8f6e: warm
2dab4484b4fa4db3ab4484b4fa4db300: warm
164e9b7860b9422d8e9b7860b9822d85: warm
fb6b748939494e88ab748939499e880d: warm
4b638ec981274ea8a38ec981273ea802: warm
48ec64b5d7e34b1cac64b5d7e3ab1cbf: warm
5d7e6d497fa54ac5be6d497fa50ac5ef: warm
85d7c33cc5274bfb97c33cc5273bfb51: warm
13c7a7945a2344dc87a7945a2304dcb0: warm
7c40393c68aa4e1b80393c68aa1e1b81: warm
b68dae2f2df945aa8dae2f2df945aabd: warm
ec5ef5705f5d40289ef5705f5de028a4: warm
2cc0c0f01237437680c0f012375376e8: warm
1b5fed1d6c2f4ac29fed1d6c2faac2de: warm
635d9cb2f9974aa59d9cb2f997eaa5be: warm
74e6cd41c6464a48a6cd41c6469a48e4: warm
93e599bf1e3b4d7aa599bf1e3b4d7adf: warm
57154b5188fc4fa8954b5188fc3fa845: warm
2ea1ad64773e4fa9a1ad64773eafa97b: warm
148d290d3d4843c88d290d3d4813c81c: warm
4d121b4ace754d83921b4ace75dd8353: warm
4f06ddbf1596415486ddbf1596615422: warm
dae8f7b94ded4c10a8f7b94ded9c10af: warm
0f63263061ff48eaa3263061ffe8eaae: warm
37d861c61d0c4e7c9861c61d0cae7cea: warm
a2e5685f270f4381a5685f270fe38161: warm
70433c3abecf44e4833c3abecf84e4fe: warm
162f180a5fe24e95af180a5fe24e955b: warm
0f9f40346cf84ea79f40346cf86ea774: warm
a1c53e2e016c4f59853e2e016c8f594e: warm
c048e203ecf24a7f88e203ecf20a7fe0: warm
af8ee74676724f1e8ee7467672af1e99: warm
9f5a4c7ab73647a39a4c7ab73657a3c9: warm
26c0572b1df2474180572b1df2374113: warm
420eb3c8761449fe8eb3c87614b9fead: warm
89058b6a260240db858b6a260280dbc4: warm
56268da6a8de488ba68da6a8de288b8c: warm
19a00d7252e147aca00d7252e1f7acdc: warm
03c552392a5446778552392a54567783: warm
7e1c72c6add346809c72c6add38680c1: warm
0da6e639501349f9a6e6395013c9f905: warm
3f542f4ad0cc499b942f4ad0cc199bf9: warm
7e6317e42d09423da317e42d09223d86: warm
3a0b179c3d3640928b179c3d36a09283: warm
cdf7f316d4ab4270b7f316d4abc270ec: warm
067fa6a60bef458fbfa6a60bef458fb0: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
: warm
