81fe2eacc91e410ebe2eacc91e510ec1: cold
3f2cee8d94294afdacee8d9429eafdb1: warm
5b0d9782bd004e548d9782bd000e54dd: warm
2c26a19d367d4660a6a19d367dc66050: warm
f6e8af58493b4cc7a8af58493b5cc76a: warm
2b50d98b663b40bc90d98b663b30bc85: warm
f4e403745e5d462ca403745e5d562c0b: warm
f0879c554250417b879c554250b17baa: warm
035bfeda5a81419b9bfeda5a81819bf6: warm
1c2b1f710bdc4a5aab1f710bdcca5a87: warm
bd0c13707ae3400e8c13707ae3700e59: warm
5b8960559a3b40338960559a3b3033ca: warm
ecb918cd424048bab918cd4240c8bab1: warm
d083fba00a614ef283fba00a61eef26f: warm
ae71227a3d564188b1227a3d56b18861: warm
c76c10d64183476fac10d64183276fe1: warm
5d045e5f918647fc845e5f9186f7fc6f: warm
db2105d4e4374c70a105d4e4379c70a2: warm
5c305e9b3aab4f43b05e9b3aab9f43a7: warm
22c7ee2e21e9416287ee2e21e93162fb: warm
3c7625a62baa48d6b625a62baa78d6e3: warm
518f8fc3361f4cc28f8fc3361fecc248: warm
7442b9575c72402f82b9575c72202fd3: warm
6d88d8f1d8a948cf88d8f1d8a998cfd6: warm
1ded9ead3d234796ad9ead3d23e79610: warm
56208cbb14694c92a08cbb1469ec92ec: warm
e76043c89bf54e5fa043c89bf52e5f06: warm
02ac76f4bb944465ac76f4bb94a465df: warm
75f625390ce94995b625390ce979959e: warm
c4754a9c91c24252b54a9c91c232523b: warm
6e7a6bdbdf3f4e14ba6bdbdf3f0e14f0: warm
a6a3fe5552824a10a3fe555282da100e: warm
f06f5bfd6cf04608af5bfd6cf03608a4: warm
3831ffa4c189400eb1ffa4c189a00e62: warm
ae40f99d295b47de80f99d295b57de7a: warm
69a93978e0af45c6a93978e0afa5c644: warm
9579d4ec247e4cd0b9d4ec247e8cd056: warm
02f75c368483459ab75c368483859ae4: warm
d59892eeff064aea9892eeff060aead4: warm
2ef64d5d05c540d8b64d5d05c5f0d81d: warm
74b32444edcc4cfeb32444edccecfe43: warm
4d63800870304ee0a3800870308ee0a0: warm
8fc8e80fd89b497988e80fd89b797926: warm
623dbf40dd804d93bdbf40dd803d931d: warm
b51aa7a5e84d48cd9aa7a5e84d48cd56: warm
879e8b1dfc364af39e8b1dfc366af3c9: warm
2c77f6510fe049cab7f6510fe0e9ca20: warm
2b461510066f4b0f861510066f3b0f25: warm
7796550898a143c496550898a1a3c43a: warm
473842121c0a43e3b842121c0a23e36f: warm
34d2de73ea36498992de73ea36398949: warm
9fbf853686f54dafbf853686f5cdaf98: warm
6b216ce93073432fa16ce93073732fba: warm
de23172481874916a317248187291626: warm
088c01f3ca1d47478c01f3ca1de74770: warm
32cf7c348bd1427e8f7c348bd1227ec6: warm
ccb485337eff40ecb485337eff10ec58: warm
0d0be4d164924d5d8be4d164923d5d98: warm
9b8eab92e3e64c968eab92e3e6fc96fd: warm
c1a6d55771d3432fa6d55771d3132fd0: warm
9fff5d3f3a304a99bf5d3f3a309a9947: warm
2b9e73b9c6ef4b5e9e73b9c6ef6b5e68: warm
807004aa473340ceb004aa473300cef8: warm
ae96aef6a60e4a2196aef6a60e0a2111: warm
5d7decacaf494051bdecacaf49d051d6: warm
6f56116a883f453f96116a883f553f96: warm
33b3d500dbc545fab3d500dbc5a5fa3f: warm
1deb10bf794c46a0ab10bf794c06a0cf: warm
b39264f79f6145579264f79f6145574c: warm
0c103b1f2e6b42f6903b1f2e6b02f686: warm
dd23897676334bf3a389767633ebf3a5: warm
f1701ffb1c2c41d3b01ffb1c2c11d337: warm
699c5dceaf1b4f0c9c5dceaf1b8f0cd0: warm
80b9e29dae8241fbb9e29dae82b1fb7f: warm
e00424001db0434a8424001db0234a4f: warm
229a09f411b145bf9a09f411b165bfbb: warm
3e655dd23e7e483fa55dd23e7e283f1a: warm
c7f81c7b5ca344deb81c7b5ca384defa: warm
7cedc00d2ae94124adc00d2ae9112470: warm
e7039a3c500c4bae839a3c500cdbaed7: warm
6930ff9e19a1468bb0ff9e19a1668b85: warm
1b51947a187d433091947a187db33045: warm
65092f22821f4d51892f22821f6d51a7: warm
2694034f7b5640ae94034f7b5670aee6: warm
41fa26c7656c4aeaba26c7656caaeae2: warm
3f7201b0947848d0b201b0947888d0e5: warm
edf43e1be7e64273b43e1be7e6a273b5: warm
927123b4b1dd4b7bb123b4b1ddab7bc9: warm
b93ec535508e4ae0bec535508e4ae09b: warm
