Container: go-server-image-9500, HeapAlloc: 363704, HeapIdle: 3039232, HeapInuse: 794624, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 399376, HeapIdle: 2957312, HeapInuse: 843776, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 486296, HeapIdle: 2875392, HeapInuse: 925696, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 573216, HeapIdle: 2793472, HeapInuse: 1007616, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 660136, HeapIdle: 2711552, HeapInuse: 1089536, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 747056, HeapIdle: 2621440, HeapInuse: 1179648, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 834264, HeapIdle: 2539520, HeapInuse: 1261568, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 921184, HeapIdle: 2457600, HeapInuse: 1343488, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 1008104, HeapIdle: 2359296, HeapInuse: 1441792, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 1095040, HeapIdle: 2260992, HeapInuse: 1540096, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 1182248, HeapIdle: 2170880, HeapInuse: 1630208, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 1269184, HeapIdle: 2088960, HeapInuse: 1712128, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 1356104, HeapIdle: 1998848, HeapInuse: 1802240, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 1443040, HeapIdle: 1916928, HeapInuse: 1884160, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 1529960, HeapIdle: 1835008, HeapInuse: 1966080, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 1616880, HeapIdle: 1753088, HeapInuse: 2048000, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 1703816, HeapIdle: 1662976, HeapInuse: 2138112, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 1790752, HeapIdle: 1581056, HeapInuse: 2220032, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 1877672, HeapIdle: 1499136, HeapInuse: 2301952, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 1964608, HeapIdle: 1409024, HeapInuse: 2392064, NextGC: 4194304, NumGC: 0
Container: go-server-image-9500, HeapAlloc: 2051544, HeapIdle: 1318912, HeapInuse: 2482176, NextGC: 4194304, NumGC: 0
