Request: 0, Container: go-server-image-9500, HeapAlloc: 3392192, HeapIdle: 37642240, HeapInuse: 3940352, NextGC: 41943040, NumGC: 40
Request: 1, Container: go-server-image-9500, HeapAlloc: 4200168, HeapIdle: 36831232, HeapInuse: 4751360, NextGC: 41943040, NumGC: 40
Request: 2, Container: go-server-image-9500, HeapAlloc: 5008160, HeapIdle: 36028416, HeapInuse: 5554176, NextGC: 41943040, NumGC: 40
Request: 3, Container: go-server-image-9500, HeapAlloc: 5816152, HeapIdle: 35225600, HeapInuse: 6356992, NextGC: 41943040, NumGC: 40
Request: 4, Container: go-server-image-9500, HeapAlloc: 6624144, HeapIdle: 34422784, HeapInuse: 7159808, NextGC: 41943040, NumGC: 40
Request: 5, Container: go-server-image-9500, HeapAlloc: 7432136, HeapIdle: 33619968, HeapInuse: 7962624, NextGC: 41943040, NumGC: 40
Request: 6, Container: go-server-image-9500, HeapAlloc: 8240128, HeapIdle: 32817152, HeapInuse: 8765440, NextGC: 41943040, NumGC: 40
Request: 7, Container: go-server-image-9500, HeapAlloc: 9048120, HeapIdle: 32006144, HeapInuse: 9576448, NextGC: 41943040, NumGC: 40
Request: 8, Container: go-server-image-9500, HeapAlloc: 9856112, HeapIdle: 31203328, HeapInuse: 10379264, NextGC: 41943040, NumGC: 40
Request: 9, Container: go-server-image-9500, HeapAlloc: 10664104, HeapIdle: 30400512, HeapInuse: 11182080, NextGC: 41943040, NumGC: 40
Request: 10, Container: go-server-image-9500, HeapAlloc: 11472096, HeapIdle: 29597696, HeapInuse: 11984896, NextGC: 41943040, NumGC: 40
Request: 11, Container: go-server-image-9500, HeapAlloc: 12280088, HeapIdle: 28794880, HeapInuse: 12787712, NextGC: 41943040, NumGC: 40
Request: 12, Container: go-server-image-9500, HeapAlloc: 13088080, HeapIdle: 27992064, HeapInuse: 13590528, NextGC: 41943040, NumGC: 40
Request: 13, Container: go-server-image-9500, HeapAlloc: 13896072, HeapIdle: 27181056, HeapInuse: 14401536, NextGC: 41943040, NumGC: 40
Request: 14, Container: go-server-image-9500, HeapAlloc: 14704064, HeapIdle: 26378240, HeapInuse: 15204352, NextGC: 41943040, NumGC: 40
Request: 15, Container: go-server-image-9500, HeapAlloc: 15512056, HeapIdle: 25575424, HeapInuse: 16007168, NextGC: 41943040, NumGC: 40
Request: 16, Container: go-server-image-9500, HeapAlloc: 16320048, HeapIdle: 24764416, HeapInuse: 16818176, NextGC: 41943040, NumGC: 40
Request: 17, Container: go-server-image-9500, HeapAlloc: 17128040, HeapIdle: 23961600, HeapInuse: 17620992, NextGC: 41943040, NumGC: 40
Request: 18, Container: go-server-image-9500, HeapAlloc: 17936032, HeapIdle: 23150592, HeapInuse: 18432000, NextGC: 41943040, NumGC: 40
Request: 19, Container: go-server-image-9500, HeapAlloc: 18744024, HeapIdle: 22347776, HeapInuse: 19234816, NextGC: 41943040, NumGC: 40
Request: 20, Container: go-server-image-9500, HeapAlloc: 19552016, HeapIdle: 21544960, HeapInuse: 20037632, NextGC: 41943040, NumGC: 40
Request: 21, Container: go-server-image-9500, HeapAlloc: 20360008, HeapIdle: 20742144, HeapInuse: 20840448, NextGC: 41943040, NumGC: 40
Request: 22, Container: go-server-image-9500, HeapAlloc: 21168000, HeapIdle: 19931136, HeapInuse: 21651456, NextGC: 41943040, NumGC: 40
Request: 23, Container: go-server-image-9500, HeapAlloc: 21975992, HeapIdle: 19111936, HeapInuse: 22470656, NextGC: 41943040, NumGC: 40
Request: 24, Container: go-server-image-9500, HeapAlloc: 22783984, HeapIdle: 18300928, HeapInuse: 23281664, NextGC: 41943040, NumGC: 40
Request: 25, Container: go-server-image-9500, HeapAlloc: 23591976, HeapIdle: 17498112, HeapInuse: 24084480, NextGC: 41943040, NumGC: 40
Request: 26, Container: go-server-image-9500, HeapAlloc: 24400256, HeapIdle: 16695296, HeapInuse: 24887296, NextGC: 41943040, NumGC: 40
Request: 27, Container: go-server-image-9500, HeapAlloc: 25208248, HeapIdle: 15884288, HeapInuse: 25698304, NextGC: 41943040, NumGC: 40
Request: 28, Container: go-server-image-9500, HeapAlloc: 26016528, HeapIdle: 15073280, HeapInuse: 26509312, NextGC: 41943040, NumGC: 40
Request: 29, Container: go-server-image-9500, HeapAlloc: 26824808, HeapIdle: 14270464, HeapInuse: 27312128, NextGC: 41943040, NumGC: 40
Request: 30, Container: go-server-image-9500, HeapAlloc: 27632800, HeapIdle: 13459456, HeapInuse: 28123136, NextGC: 41943040, NumGC: 40
Request: 31, Container: go-server-image-9500, HeapAlloc: 28440792, HeapIdle: 12648448, HeapInuse: 28934144, NextGC: 41943040, NumGC: 40
Request: 32, Container: go-server-image-9500, HeapAlloc: 29248784, HeapIdle: 11845632, HeapInuse: 29736960, NextGC: 41943040, NumGC: 40
Request: 33, Container: go-server-image-9500, HeapAlloc: 30056776, HeapIdle: 11042816, HeapInuse: 30539776, NextGC: 41943040, NumGC: 40
Request: 34, Container: go-server-image-9500, HeapAlloc: 30864768, HeapIdle: 10240000, HeapInuse: 31342592, NextGC: 41943040, NumGC: 40
Request: 35, Container: go-server-image-9500, HeapAlloc: 31673048, HeapIdle: 9437184, HeapInuse: 32145408, NextGC: 41943040, NumGC: 40
Request: 36, Container: go-server-image-9500, HeapAlloc: 32481040, HeapIdle: 8626176, HeapInuse: 32956416, NextGC: 41943040, NumGC: 40
Request: 37, Container: go-server-image-9500, HeapAlloc: 33289320, HeapIdle: 7815168, HeapInuse: 33767424, NextGC: 41943040, NumGC: 40
Request: 38, Container: go-server-image-9500, HeapAlloc: 34097312, HeapIdle: 6995968, HeapInuse: 34586624, NextGC: 41943040, NumGC: 40
Request: 39, Container: go-server-image-9500, HeapAlloc: 34905304, HeapIdle: 6184960, HeapInuse: 35397632, NextGC: 41943040, NumGC: 40
Request: 40, Container: go-server-image-9500, HeapAlloc: 35713296, HeapIdle: 5382144, HeapInuse: 36200448, NextGC: 41943040, NumGC: 40
Request: 41, Container: go-server-image-9500, HeapAlloc: 36521288, HeapIdle: 4571136, HeapInuse: 37011456, NextGC: 41943040, NumGC: 40
Request: 42, Container: go-server-image-9500, HeapAlloc: 37329280, HeapIdle: 3768320, HeapInuse: 37814272, NextGC: 41943040, NumGC: 40
Request: 43, Container: go-server-image-9500, HeapAlloc: 38137544, HeapIdle: 2957312, HeapInuse: 38625280, NextGC: 41943040, NumGC: 40
Request: 44, Container: go-server-image-9500, HeapAlloc: 38945536, HeapIdle: 2154496, HeapInuse: 39428096, NextGC: 41943040, NumGC: 40
Request: 45, Container: go-server-image-9500, HeapAlloc: 39753528, HeapIdle: 1351680, HeapInuse: 40230912, NextGC: 41943040, NumGC: 40
Request: 46, Container: go-server-image-9501, HeapAlloc: 3360008, HeapIdle: 37732352, HeapInuse: 3850240, NextGC: 41943040, NumGC: 40
Request: 47, Container: go-server-image-9500, HeapAlloc: 39700312, HeapIdle: 5513216, HeapInuse: 40230912, NextGC: 41943040, NumGC: 41
Request: 48, Container: go-server-image-9501, HeapAlloc: 4168000, HeapIdle: 36921344, HeapInuse: 4661248, NextGC: 41943040, NumGC: 40
Request: 49, Container: go-server-image-9500, HeapAlloc: 40411376, HeapIdle: 4841472, HeapInuse: 40869888, NextGC: 41943040, NumGC: 41
Request: 50, Container: go-server-image-9501, HeapAlloc: 4975992, HeapIdle: 36110336, HeapInuse: 5472256, NextGC: 41943040, NumGC: 40
Request: 51, Container: go-server-image-9500, HeapAlloc: 39615992, HeapIdle: 5644288, HeapInuse: 40067072, NextGC: 41943040, NumGC: 41
Request: 52, Container: go-server-image-9501, HeapAlloc: 5783984, HeapIdle: 35307520, HeapInuse: 6275072, NextGC: 41943040, NumGC: 40
Request: 53, Container: go-server-image-9500, HeapAlloc: 39631408, HeapIdle: 5644288, HeapInuse: 40067072, NextGC: 41943040, NumGC: 41
Request: 54, Container: go-server-image-9501, HeapAlloc: 6591976, HeapIdle: 34504704, HeapInuse: 7077888, NextGC: 41943040, NumGC: 40
Request: 55, Container: go-server-image-9500, HeapAlloc: 39684384, HeapIdle: 5570560, HeapInuse: 40108032, NextGC: 41943040, NumGC: 41
Request: 56, Container: go-server-image-9501, HeapAlloc: 7399968, HeapIdle: 33701888, HeapInuse: 7880704, NextGC: 41943040, NumGC: 40
Request: 57, Container: go-server-image-9500, HeapAlloc: 38911040, HeapIdle: 6324224, HeapInuse: 39321600, NextGC: 41943040, NumGC: 41
Request: 58, Container: go-server-image-9500, HeapAlloc: 38905280, HeapIdle: 6356992, HeapInuse: 39321600, NextGC: 41943040, NumGC: 41
Request: 59, Container: go-server-image-9500, HeapAlloc: 38906472, HeapIdle: 6316032, HeapInuse: 39329792, NextGC: 41943040, NumGC: 41
Request: 60, Container: go-server-image-9500, HeapAlloc: 25222896, HeapIdle: 20029440, HeapInuse: 25649152, NextGC: 41943040, NumGC: 41
Request: 61, Container: go-server-image-9500, HeapAlloc: 26030888, HeapIdle: 19218432, HeapInuse: 26460160, NextGC: 41943040, NumGC: 41
Request: 62, Container: go-server-image-9500, HeapAlloc: 26838880, HeapIdle: 18415616, HeapInuse: 27262976, NextGC: 41943040, NumGC: 41
Request: 63, Container: go-server-image-9500, HeapAlloc: 27646872, HeapIdle: 17612800, HeapInuse: 28065792, NextGC: 41943040, NumGC: 41
Request: 64, Container: go-server-image-9500, HeapAlloc: 28454864, HeapIdle: 16801792, HeapInuse: 28876800, NextGC: 41943040, NumGC: 41
Request: 65, Container: go-server-image-9500, HeapAlloc: 29262856, HeapIdle: 15990784, HeapInuse: 29687808, NextGC: 41943040, NumGC: 41
Request: 66, Container: go-server-image-9500, HeapAlloc: 30071136, HeapIdle: 15187968, HeapInuse: 30490624, NextGC: 41943040, NumGC: 41
Request: 67, Container: go-server-image-9500, HeapAlloc: 30879128, HeapIdle: 14385152, HeapInuse: 31293440, NextGC: 41943040, NumGC: 41
Request: 68, Container: go-server-image-9500, HeapAlloc: 31687120, HeapIdle: 13582336, HeapInuse: 32096256, NextGC: 41943040, NumGC: 41
Request: 69, Container: go-server-image-9500, HeapAlloc: 32495112, HeapIdle: 12779520, HeapInuse: 32899072, NextGC: 41943040, NumGC: 41
Request: 70, Container: go-server-image-9500, HeapAlloc: 33303104, HeapIdle: 11968512, HeapInuse: 33710080, NextGC: 41943040, NumGC: 41
Request: 71, Container: go-server-image-9500, HeapAlloc: 34111096, HeapIdle: 11157504, HeapInuse: 34521088, NextGC: 41943040, NumGC: 41
Request: 72, Container: go-server-image-9500, HeapAlloc: 34919088, HeapIdle: 10346496, HeapInuse: 35332096, NextGC: 41943040, NumGC: 41
