Request: 0, Container: go-server-image-9500, HeapAlloc: 3405600, HeapIdle: 37683200, HeapInuse: 3899392, NextGC: 41943040, NumGC: 40
Request: 1, Container: go-server-image-9500, HeapAlloc: 4213592, HeapIdle: 36872192, HeapInuse: 4710400, NextGC: 41943040, NumGC: 40
Request: 2, Container: go-server-image-9500, HeapAlloc: 5021584, HeapIdle: 36069376, HeapInuse: 5513216, NextGC: 41943040, NumGC: 40
Request: 3, Container: go-server-image-9500, HeapAlloc: 5829560, HeapIdle: 35266560, HeapInuse: 6316032, NextGC: 41943040, NumGC: 40
Request: 4, Container: go-server-image-9500, HeapAlloc: 6637552, HeapIdle: 34463744, HeapInuse: 7118848, NextGC: 41943040, NumGC: 40
Request: 5, Container: go-server-image-9500, HeapAlloc: 7445544, HeapIdle: 33660928, HeapInuse: 7921664, NextGC: 41943040, NumGC: 40
Request: 6, Container: go-server-image-9500, HeapAlloc: 8253824, HeapIdle: 32858112, HeapInuse: 8724480, NextGC: 41943040, NumGC: 40
Request: 7, Container: go-server-image-9500, HeapAlloc: 9061816, HeapIdle: 32047104, HeapInuse: 9535488, NextGC: 41943040, NumGC: 40
Request: 8, Container: go-server-image-9500, HeapAlloc: 9869808, HeapIdle: 31244288, HeapInuse: 10338304, NextGC: 41943040, NumGC: 40
Request: 9, Container: go-server-image-9500, HeapAlloc: 10677800, HeapIdle: 30441472, HeapInuse: 11141120, NextGC: 41943040, NumGC: 40
Request: 10, Container: go-server-image-9500, HeapAlloc: 11485792, HeapIdle: 29638656, HeapInuse: 11943936, NextGC: 41943040, NumGC: 40
Request: 11, Container: go-server-image-9500, HeapAlloc: 12293784, HeapIdle: 28835840, HeapInuse: 12746752, NextGC: 41943040, NumGC: 40
Request: 12, Container: go-server-image-9500, HeapAlloc: 13101776, HeapIdle: 28033024, HeapInuse: 13549568, NextGC: 41943040, NumGC: 40
Request: 13, Container: go-server-image-9500, HeapAlloc: 13909768, HeapIdle: 27222016, HeapInuse: 14360576, NextGC: 41943040, NumGC: 40
Request: 14, Container: go-server-image-9500, HeapAlloc: 14717760, HeapIdle: 26419200, HeapInuse: 15163392, NextGC: 41943040, NumGC: 40
Request: 15, Container: go-server-image-9500, HeapAlloc: 15526040, HeapIdle: 25616384, HeapInuse: 15966208, NextGC: 41943040, NumGC: 40
Request: 16, Container: go-server-image-9500, HeapAlloc: 16334032, HeapIdle: 24805376, HeapInuse: 16777216, NextGC: 41943040, NumGC: 40
Request: 17, Container: go-server-image-9500, HeapAlloc: 17142312, HeapIdle: 24002560, HeapInuse: 17580032, NextGC: 41943040, NumGC: 40
Request: 18, Container: go-server-image-9500, HeapAlloc: 17950304, HeapIdle: 23191552, HeapInuse: 18391040, NextGC: 41943040, NumGC: 40
Request: 19, Container: go-server-image-9500, HeapAlloc: 18758296, HeapIdle: 22388736, HeapInuse: 19193856, NextGC: 41943040, NumGC: 40
Request: 20, Container: go-server-image-9500, HeapAlloc: 19566288, HeapIdle: 21585920, HeapInuse: 19996672, NextGC: 41943040, NumGC: 40
Request: 21, Container: go-server-image-9500, HeapAlloc: 20374568, HeapIdle: 20783104, HeapInuse: 20799488, NextGC: 41943040, NumGC: 40
Request: 22, Container: go-server-image-9500, HeapAlloc: 21182560, HeapIdle: 19972096, HeapInuse: 21610496, NextGC: 41943040, NumGC: 40
