ArraySize ,ResponseP50 ,ResponseP99  ,ResponseP999 ,ResponseP9999 ,ServerP50  ,ServerP99    ,ServerP999   ,ServerP9999
10000,2640.000000,2925.000000,4598.000000,5988.000000,821.000000,948.000000,978.000000,1465.000000
10000,2621.000000,2956.000000,4603.000000,5339.000000,824.000000,931.000000,955.000000,1095.000000
10000,2648.000000,2909.000000,4462.000000,5300.000000,821.000000,957.000000,978.000000,2163.000000
10000,2620.000000,2908.000000,4329.000000,5712.000000,821.000000,934.000000,976.000000,1866.000000
10000,2591.000000,2866.000000,4455.000000,5692.000000,822.000000,960.000000,991.000000,2084.000000

10000,2591.000000,3022.000000,4766.000000,5476.000000,821.000000,936.000000,963.000000,2010.000000
10000,2496.000000,3065.000000,4189.000000,5162.000000,835.000000,934.000000,949.000000,2139.000000
10000,2658.000000,3039.000000,4685.000000,5826.000000,820.000000,939.000000,962.000000,2084.000000
10000,1693.000000,1986.000000,3163.000000,4964.000000,322.000000,364.000000,378.000000,403.000000
10000,2628.000000,3100.000000,4734.000000,5233.000000,821.000000,934.000000,979.000000,2147.000000
