Request: 0, Container: go-server-image-9500, HeapAlloc: 1200240, HeapIdle: 2162688, HeapInuse: 1638400, NextGC: 123835488, NumGC: 0
Request: 1, Container: go-server-image-9500, HeapAlloc: 2008232, HeapIdle: 1359872, HeapInuse: 2441216, NextGC: 123840664, NumGC: 0
Request: 2, Container: go-server-image-9500, HeapAlloc: 2816208, HeapIdle: 548864, HeapInuse: 3252224, NextGC: 123837632, NumGC: 0
Request: 3, Container: go-server-image-9500, HeapAlloc: 3624200, HeapIdle: 3940352, HeapInuse: 4055040, NextGC: 123842808, NumGC: 0
Request: 4, Container: go-server-image-9500, HeapAlloc: 4432192, HeapIdle: 3137536, HeapInuse: 4857856, NextGC: 123847984, NumGC: 0
Request: 5, Container: go-server-image-9500, HeapAlloc: 5240200, HeapIdle: 2334720, HeapInuse: 5660672, NextGC: 123853176, NumGC: 0
Request: 6, Container: go-server-image-9500, HeapAlloc: 6048192, HeapIdle: 1507328, HeapInuse: 6488064, NextGC: 123833776, NumGC: 0
Request: 7, Container: go-server-image-9500, HeapAlloc: 6856184, HeapIdle: 704512, HeapInuse: 7290880, NextGC: 123838952, NumGC: 0
Request: 8, Container: go-server-image-9500, HeapAlloc: 7664176, HeapIdle: 4087808, HeapInuse: 8101888, NextGC: 123835936, NumGC: 0
Request: 9, Container: go-server-image-9500, HeapAlloc: 8472168, HeapIdle: 3284992, HeapInuse: 8904704, NextGC: 123841112, NumGC: 0
Request: 10, Container: go-server-image-9500, HeapAlloc: 9280160, HeapIdle: 2473984, HeapInuse: 9715712, NextGC: 123838096, NumGC: 0
Request: 11, Container: go-server-image-9500, HeapAlloc: 10088152, HeapIdle: 1671168, HeapInuse: 10518528, NextGC: 123843272, NumGC: 0
Request: 12, Container: go-server-image-9500, HeapAlloc: 10896144, HeapIdle: 868352, HeapInuse: 11321344, NextGC: 123848448, NumGC: 0
Request: 13, Container: go-server-image-9500, HeapAlloc: 11704136, HeapIdle: 4259840, HeapInuse: 12124160, NextGC: 123853624, NumGC: 0
Request: 14, Container: go-server-image-9500, HeapAlloc: 12512128, HeapIdle: 3448832, HeapInuse: 12935168, NextGC: 123850608, NumGC: 0
Request: 15, Container: go-server-image-9500, HeapAlloc: 13320120, HeapIdle: 2646016, HeapInuse: 13737984, NextGC: 123855784, NumGC: 0
Request: 16, Container: go-server-image-9500, HeapAlloc: 14128112, HeapIdle: 1843200, HeapInuse: 14540800, NextGC: 123860960, NumGC: 0
Request: 17, Container: go-server-image-9500, HeapAlloc: 14936104, HeapIdle: 1032192, HeapInuse: 15351808, NextGC: 123857944, NumGC: 0
Request: 18, Container: go-server-image-9500, HeapAlloc: 15744096, HeapIdle: 229376, HeapInuse: 16154624, NextGC: 123863120, NumGC: 0
Request: 19, Container: go-server-image-9500, HeapAlloc: 16552088, HeapIdle: 3612672, HeapInuse: 16965632, NextGC: 123860104, NumGC: 0
Request: 20, Container: go-server-image-9500, HeapAlloc: 17360080, HeapIdle: 2801664, HeapInuse: 17776640, NextGC: 123857088, NumGC: 0
Request: 21, Container: go-server-image-9500, HeapAlloc: 18168072, HeapIdle: 1998848, HeapInuse: 18579456, NextGC: 123862264, NumGC: 0
Request: 22, Container: go-server-image-9500, HeapAlloc: 18976064, HeapIdle: 1196032, HeapInuse: 19382272, NextGC: 123867440, NumGC: 0
Request: 23, Container: go-server-image-9500, HeapAlloc: 19784056, HeapIdle: 385024, HeapInuse: 20193280, NextGC: 123864424, NumGC: 0
Request: 24, Container: go-server-image-9500, HeapAlloc: 20592048, HeapIdle: 3768320, HeapInuse: 21004288, NextGC: 123861408, NumGC: 0
Request: 25, Container: go-server-image-9500, HeapAlloc: 21400040, HeapIdle: 2957312, HeapInuse: 21815296, NextGC: 123858392, NumGC: 0
Request: 26, Container: go-server-image-9500, HeapAlloc: 22208032, HeapIdle: 2154496, HeapInuse: 22618112, NextGC: 123863568, NumGC: 0
Request: 27, Container: go-server-image-9500, HeapAlloc: 23016024, HeapIdle: 1343488, HeapInuse: 23429120, NextGC: 123860552, NumGC: 0
Request: 28, Container: go-server-image-9500, HeapAlloc: 23824016, HeapIdle: 532480, HeapInuse: 24240128, NextGC: 123857536, NumGC: 0
Request: 29, Container: go-server-image-9500, HeapAlloc: 24632008, HeapIdle: 3923968, HeapInuse: 25042944, NextGC: 123862712, NumGC: 0
Request: 30, Container: go-server-image-9500, HeapAlloc: 25440000, HeapIdle: 3121152, HeapInuse: 25845760, NextGC: 123867888, NumGC: 0
Request: 31, Container: go-server-image-9500, HeapAlloc: 26247992, HeapIdle: 2301952, HeapInuse: 26664960, NextGC: 123856680, NumGC: 0
Request: 32, Container: go-server-image-9500, HeapAlloc: 27055984, HeapIdle: 1499136, HeapInuse: 27467776, NextGC: 123861856, NumGC: 0
Request: 33, Container: go-server-image-9500, HeapAlloc: 27863976, HeapIdle: 688128, HeapInuse: 28278784, NextGC: 123858840, NumGC: 0
Request: 34, Container: go-server-image-9500, HeapAlloc: 28671968, HeapIdle: 4079616, HeapInuse: 29081600, NextGC: 123864016, NumGC: 0
Request: 35, Container: go-server-image-9500, HeapAlloc: 29479960, HeapIdle: 3276800, HeapInuse: 29884416, NextGC: 123869192, NumGC: 0
Request: 36, Container: go-server-image-9500, HeapAlloc: 30287952, HeapIdle: 2473984, HeapInuse: 30687232, NextGC: 123874368, NumGC: 0
