Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1700721600,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700721601,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700721602,1000,,Aggregated,0.000000,0.000000,1300,1400,1400,1400,1400,1500,1500,1500,1500,1500,1500,11,11,1300.0,1357.8466919928112,1258.6556490277871,1490.0418649194762,131.0
1700721603,1000,,Aggregated,0.000000,0.000000,1400,1800,1800,1900,1900,2000,2000,2000,2000,2000,2000,19,19,1400.0,1571.4827147741362,1258.6556490277871,1982.4347329558805,131.0
1700721604,1000,,Aggregated,0.000000,0.000000,1400,1800,1800,1900,1900,2000,2000,2000,2000,2000,2000,19,19,1400.0,1571.4827147741362,1258.6556490277871,1982.4347329558805,131.0
1700721605,1000,,Aggregated,0.000000,0.000000,1400,1800,1800,1900,1900,2000,2000,2000,2000,2000,2000,19,19,1400.0,1571.4827147741362,1258.6556490277871,1982.4347329558805,131.0
1700721606,1000,,Aggregated,4.750000,4.750000,1400,1800,1800,1900,1900,2000,5300,5300,5300,5300,5300,21,19,1400.0,1684.3981848464214,216.73079999163747,5297.459501074627,142.71428571428572
1700721607,1000,,Aggregated,3.800000,3.800000,1500,2000,6400,6500,6600,6700,6800,6800,6800,6800,6800,50,19,1400.0,2717.1376770245843,35.11478507425636,6798.978690057993,207.66
1700721608,1000,,Aggregated,3.333333,3.166667,190,240,1300,1400,6400,6600,6800,7700,7800,7800,7800,137,19,190.0,1201.1366918008353,35.11478507425636,7840.9672090783715,238.08029197080293
1700721609,1000,,Aggregated,3.142857,2.714286,170,230,280,390,1900,6600,7700,7900,8300,8300,8300,233,19,170.0,881.3530384406024,35.11478507425636,8263.414624962024,245.26609442060087
1700721610,1000,,Aggregated,10.875000,2.375000,180,250,300,350,1900,6700,9500,9700,9700,9700,9700,323,19,180.0,958.829404041964,34.45873304735869,9703.181968885474,248.34674922600618
1700721611,1000,,Aggregated,20.555556,2.111111,250,340,1300,6400,9900,10000,10000,10000,11000,11000,11000,424,19,240.0,2142.6166345517454,34.45873304735869,10761.716859065928,250.31132075471697
1700721612,1000,,Aggregated,27.300000,1.900000,330,1400,9700,10000,11000,12000,12000,12000,12000,12000,12000,544,19,330.0,3423.584119790415,34.45873304735869,11863.007046980783,251.88419117647058
1700721613,1000,,Aggregated,36.900000,1.900000,600,9600,10000,11000,12000,12000,13000,13000,13000,13000,13000,651,19,600.0,4380.696036531011,34.45873304735869,12846.284575061873,252.8079877112135
1700721614,1000,,Aggregated,46.900000,1.600000,1600,10000,12000,12000,13000,13000,14000,14000,14000,14000,14000,774,19,1500.0,5291.121078833206,34.45873304735869,13833.904591971077,253.55684754521963
1700721615,1000,,Aggregated,57.100000,0.000000,2800,11000,12000,13000,14000,14000,15000,15000,15000,15000,15000,949,19,2800.0,6241.423526446868,34.45873304735869,14877.09617393557,254.28556375131717
1700721616,1000,,Aggregated,67.500000,0.000000,6700,12000,13000,14000,15000,15000,16000,16000,16000,16000,16000,1140,19,6700.0,7164.702076245847,34.45873304735869,15780.35572601948,254.82368421052632
1700721617,1000,,Aggregated,81.300000,0.000000,9800,13000,14000,15000,16000,16000,16000,17000,17000,17000,17000,1312,19,9800.0,7815.2953466440795,34.45873304735869,16817.267263075337,255.1783536585366
