Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/GoNative?seed=0&arraysize=10000&requestnumber=7098,1,1,5059.396147000371,5059.396147000371,5059.396147000371,5059.396147000371,0.0,0.03488637887451324,0.03488637887451324,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100
GET,/GoNative?seed=1&arraysize=10000&requestnumber=4074,1,0,915.7837990205735,915.7837990205735,915.7837990205735,915.7837990205735,177.0,0.03488637887451324,0.0,920,920,920,920,920,920,920,920,920,920,920
GET,/GoNative?seed=1&arraysize=10000&requestnumber=9634,1,0,519.2936609964818,519.2936609964818,519.2936609964818,519.2936609964818,175.0,0.03488637887451324,0.0,520,520,520,520,520,520,520,520,520,520,520
GET,/GoNative?seed=1&arraysize=10000&requestnumber=9891,1,0,20698.916098015616,20698.916098015616,20698.916098015616,20698.916098015616,177.0,0.03488637887451324,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/GoNative?seed=10&arraysize=10000&requestnumber=7471,1,0,1247.1074190107174,1247.1074190107174,1247.1074190107174,1247.1074190107174,177.0,0.03488637887451324,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/GoNative?seed=100&arraysize=10000&requestnumber=3310,1,0,260.84172099945135,260.84172099945135,260.84172099945135,260.84172099945135,180.0,0.03488637887451324,0.0,260,260,260,260,260,260,260,260,260,260,260
GET,/GoNative?seed=1000&arraysize=10000&requestnumber=8507,1,0,5064.091221021954,5064.091221021954,5064.091221021954,5064.091221021954,181.0,0.03488637887451324,0.0,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100
GET,/GoNative?seed=1003&arraysize=10000&requestnumber=728,1,0,293.0177699890919,293.0177699890919,293.0177699890919,293.0177699890919,181.0,0.03488637887451324,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/GoNative?seed=1004&arraysize=10000&requestnumber=1084,1,0,459.7316739964299,459.7316739964299,459.7316739964299,459.7316739964299,182.0,0.03488637887451324,0.0,460,460,460,460,460,460,460,460,460,460,460
GET,/GoNative?seed=1005&arraysize=10000&requestnumber=1295,1,0,471.7308410035912,471.7308410035912,471.7308410035912,471.7308410035912,183.0,0.03488637887451324,0.0,470,470,470,470,470,470,470,470,470,470,470
GET,/GoNative?seed=1005&arraysize=10000&requestnumber=5537,1,0,536.7997100111097,536.7997100111097,536.7997100111097,536.7997100111097,182.0,0.03488637887451324,0.0,540,540,540,540,540,540,540,540,540,540,540
GET,/GoNative?seed=1006&arraysize=10000&requestnumber=150,1,0,145.49406099831685,145.49406099831685,145.49406099831685,145.49406099831685,180.0,0.03488637887451324,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/GoNative?seed=1006&arraysize=10000&requestnumber=1790,1,0,729.918249999173,729.918249999173,729.918249999173,729.918249999173,182.0,0.03488637887451324,0.0,730,730,730,730,730,730,730,730,730,730,730
GET,/GoNative?seed=1006&arraysize=10000&requestnumber=4533,1,0,426.1220660118852,426.1220660118852,426.1220660118852,426.1220660118852,182.0,0.03488637887451324,0.0,430,430,430,430,430,430,430,430,430,430,430
GET,/GoNative?seed=1007&arraysize=10000&requestnumber=360,1,0,328.40338998357765,328.40338998357765,328.40338998357765,328.40338998357765,182.0,0.03488637887451324,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/GoNative?seed=1009&arraysize=10000&requestnumber=2793,1,0,406.4019749930594,406.4019749930594,406.4019749930594,406.4019749930594,181.0,0.03488637887451324,0.0,410,410,410,410,410,410,410,410,410,410,410
