Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1717959233,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717959234,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717959235,1000,,Aggregated,0.000000,0.000000,1200,1300,1300,1300,1800,1800,1800,1800,1800,1800,1800,263,0,1200.0,1059.373011343476,25.403097999515012,1832.4908170034178,179.63498098859316
1717959236,1000,,Aggregated,0.000000,0.000000,460,1100,1200,1300,1800,1900,1900,1900,1900,1900,1900,682,0,460.0,800.983726461389,3.8710320077370852,1918.2720440148842,180.38269794721407
1717959237,1000,,Aggregated,3.500000,0.000000,420,460,700,1100,1400,1800,1900,1900,2300,2500,2500,1101,0,420.0,643.8403283465528,3.8710320077370852,2463.837951014284,180.8628519527702
1717959238,1000,,Aggregated,121.333333,0.000000,370,420,460,510,1300,1800,1900,1900,3300,3400,3400,1510,0,370.0,559.3079259282977,3.8710320077370852,3404.1058119910304,180.98741721854304
1717959239,1000,,Aggregated,191.000000,0.000000,400,450,480,1100,1900,5100,5100,5200,5200,5200,5200,1951,1,400.0,855.6696583663623,3.8710320077370852,5214.608971000416,180.90825217837008
1717959241,1000,,Aggregated,254.333333,0.000000,410,440,460,520,1800,5000,5100,5200,5200,5200,5200,2380,1,400.0,777.6913840293482,3.8710320077370852,5214.608971000416,180.9781512605042
1717959242,1000,,Aggregated,278.714286,0.142857,370,440,450,470,1300,3600,5100,5100,5200,5200,5200,2803,1,370.0,716.9101736465324,3.8710320077370852,5214.608971000416,181.05351409204422
1717959243,1000,,Aggregated,295.250000,0.125000,350,420,450,460,1300,2500,5100,5100,5200,5200,5200,3257,1,350.0,659.2091595766223,3.8710320077370852,5214.608971000416,181.11390850475897
1717959244,1000,,Aggregated,305.111111,0.111111,360,430,460,510,1800,5100,6900,7700,8100,8200,8200,3730,1,360.0,860.3691984978694,3.8710320077370852,8237.793680018513,181.15227882037533
1717959245,1000,,Aggregated,316.100000,0.100000,390,460,560,960,5100,11000,11000,11000,11000,11000,11000,4271,1,390.0,1489.5337007881374,3.8710320077370852,11071.918526984518,181.29735424959026
1717959246,1000,,Aggregated,355.900000,0.100000,420,520,670,820,5100,11000,11000,11000,11000,11000,11000,4722,1,420.0,1417.1352583317455,3.8710320077370852,11071.918526984518,181.45213892418468
1717959248,1000,,Aggregated,396.300000,0.100000,440,530,650,760,5100,11000,11000,11000,11000,11000,11000,5178,1,440.0,1350.3694871027826,3.8710320077370852,11071.918526984518,181.58053302433373
1717959249,1000,,Aggregated,395.800000,0.100000,430,510,600,710,4300,8100,11000,11000,11000,11000,11000,5652,1,430.0,1277.2088105559696,3.8710320077370852,11071.918526984518,181.69462137296532
1717959250,1000,,Aggregated,395.800000,0.100000,440,530,600,740,5100,9400,11000,11000,11000,11000,11000,6121,1,440.0,1391.765696822188,3.8710320077370852,11071.918526984518,181.78810651854272
1717959251,1000,,Aggregated,399.800000,0.100000,440,540,670,800,6200,10000,11000,17000,17000,18000,18000,6643,1,440.0,1566.1920404786292,3.8710320077370852,17630.605362006463,181.87445431281049
1717959253,1000,,Aggregated,380.800000,0.000000,450,570,670,770,5200,10000,11000,17000,18000,19000,19000,7115,1,450.0,1520.2281104947447,3.8710320077370852,18845.744555001147,181.93562895291637
1717959254,1000,,Aggregated,389.700000,0.000000,460,580,670,760,5100,9600,11000,17000,19000,20000,20000,7600,1,460.0,1479.1662478234243,3.8710320077370852,20087.47393201338,182.02315789473684
1717959255,1000,,Aggregated,392.300000,0.000000,470,600,680,810,6200,11000,17000,21000,21000,21000,21000,8157,1,470.0,1759.7379655586296,3.718763997312635,21343.96792697953,182.14870663234032
