Request: 0, Container: go-server-image-9500, HeapAlloc: 3413608, HeapIdle: 37675008, HeapInuse: 3907584, NextGC: 41943040, NumGC: 40

Request: 1, Container: go-server-image-9500, HeapAlloc: 4221592, HeapIdle: 36864000, HeapInuse: 4718592, NextGC: 41943040, NumGC: 40

Request: 2, Container: go-server-image-9500, HeapAlloc: 5029576, HeapIdle: 36061184, HeapInuse: 5521408, NextGC: 41943040, NumGC: 40

Request: 3, Container: go-server-image-9500, HeapAlloc: 5837560, HeapIdle: 35258368, HeapInuse: 6324224, NextGC: 41943040, NumGC: 40

Request: 4, Container: go-server-image-9500, HeapAlloc: 6645544, HeapIdle: 34455552, HeapInuse: 7127040, NextGC: 41943040, NumGC: 40

Request: 5, Container: go-server-image-9500, HeapAlloc: 7453528, HeapIdle: 33652736, HeapInuse: 7929856, NextGC: 41943040, NumGC: 40

Request: 6, Container: go-server-image-9500, HeapAlloc: 8261512, HeapIdle: 32849920, HeapInuse: 8732672, NextGC: 41943040, NumGC: 40

Request: 7, Container: go-server-image-9500, HeapAlloc: 9069496, HeapIdle: 32038912, HeapInuse: 9543680, NextGC: 41943040, NumGC: 40

Request: 8, Container: go-server-image-9500, HeapAlloc: 9877480, HeapIdle: 31236096, HeapInuse: 10346496, NextGC: 41943040, NumGC: 40

Request: 9, Container: go-server-image-9500, HeapAlloc: 10685464, HeapIdle: 30433280, HeapInuse: 11149312, NextGC: 41943040, NumGC: 40

Request: 10, Container: go-server-image-9500, HeapAlloc: 11493448, HeapIdle: 29630464, HeapInuse: 11952128, NextGC: 41943040, NumGC: 40

Request: 11, Container: go-server-image-9500, HeapAlloc: 12301432, HeapIdle: 28827648, HeapInuse: 12754944, NextGC: 41943040, NumGC: 40

Request: 12, Container: go-server-image-9500, HeapAlloc: 13109416, HeapIdle: 28024832, HeapInuse: 13557760, NextGC: 41943040, NumGC: 40

Request: 13, Container: go-server-image-9500, HeapAlloc: 13917400, HeapIdle: 27213824, HeapInuse: 14368768, NextGC: 41943040, NumGC: 40

Request: 14, Container: go-server-image-9500, HeapAlloc: 14725384, HeapIdle: 26411008, HeapInuse: 15171584, NextGC: 41943040, NumGC: 40

Request: 15, Container: go-server-image-9500, HeapAlloc: 15533640, HeapIdle: 25608192, HeapInuse: 15974400, NextGC: 41943040, NumGC: 40

Request: 16, Container: go-server-image-9500, HeapAlloc: 16341624, HeapIdle: 24797184, HeapInuse: 16785408, NextGC: 41943040, NumGC: 40

Request: 17, Container: go-server-image-9500, HeapAlloc: 17149608, HeapIdle: 23994368, HeapInuse: 17588224, NextGC: 41943040, NumGC: 40

Request: 18, Container: go-server-image-9500, HeapAlloc: 17957592, HeapIdle: 23183360, HeapInuse: 18399232, NextGC: 41943040, NumGC: 40

Request: 19, Container: go-server-image-9500, HeapAlloc: 18765576, HeapIdle: 22380544, HeapInuse: 19202048, NextGC: 41943040, NumGC: 40

