Request: 0, Container: go-server-image-9501, HeapAlloc: 2143008, NextGC: 41943040, NumGC: 0, HeapIdle: 1245184

Request: 1, Container: go-server-image-9501, HeapAlloc: 3176576, NextGC: 41943040, NumGC: 0, HeapIdle: 212992

Request: 2, Container: go-server-image-9501, HeapAlloc: 4197504, NextGC: 41943040, NumGC: 0, HeapIdle: 3383296

Request: 3, Container: go-server-image-9501, HeapAlloc: 5228976, NextGC: 41943040, NumGC: 0, HeapIdle: 2359296

Request: 4, Container: go-server-image-9501, HeapAlloc: 6245520, NextGC: 41943040, NumGC: 0, HeapIdle: 1335296

Request: 5, Container: go-server-image-9501, HeapAlloc: 7262336, NextGC: 41943040, NumGC: 0, HeapIdle: 319488

Request: 6, Container: go-server-image-9501, HeapAlloc: 8294848, NextGC: 41943040, NumGC: 0, HeapIdle: 3481600

Request: 7, Container: go-server-image-9501, HeapAlloc: 9316672, NextGC: 41943040, NumGC: 0, HeapIdle: 2457600

Request: 8, Container: go-server-image-9501, HeapAlloc: 10284304, NextGC: 41943040, NumGC: 0, HeapIdle: 1490944

Request: 9, Container: go-server-image-9501, HeapAlloc: 11311008, NextGC: 41943040, NumGC: 0, HeapIdle: 450560

Request: 10, Container: go-server-image-9501, HeapAlloc: 12298320, NextGC: 41943040, NumGC: 0, HeapIdle: 3653632

Request: 11, Container: go-server-image-9501, HeapAlloc: 13332192, NextGC: 41943040, NumGC: 0, HeapIdle: 2621440

Request: 12, Container: go-server-image-9501, HeapAlloc: 14368672, NextGC: 41943040, NumGC: 0, HeapIdle: 1572864

Request: 13, Container: go-server-image-9501, HeapAlloc: 15403056, NextGC: 41943040, NumGC: 0, HeapIdle: 540672

Request: 14, Container: go-server-image-9501, HeapAlloc: 16433776, NextGC: 41943040, NumGC: 0, HeapIdle: 3710976

Request: 15, Container: go-server-image-9501, HeapAlloc: 17460912, NextGC: 41943040, NumGC: 0, HeapIdle: 2670592

Request: 16, Container: go-server-image-9501, HeapAlloc: 18469888, NextGC: 41943040, NumGC: 0, HeapIdle: 1671168

Request: 17, Container: go-server-image-9501, HeapAlloc: 19487168, NextGC: 41943040, NumGC: 0, HeapIdle: 655360

Request: 18, Container: go-server-image-9501, HeapAlloc: 20518032, NextGC: 41943040, NumGC: 0, HeapIdle: 3809280

Request: 19, Container: go-server-image-9501, HeapAlloc: 21556992, NextGC: 41943040, NumGC: 0, HeapIdle: 2777088

Request: 20, Container: go-server-image-9501, HeapAlloc: 22541776, NextGC: 41943040, NumGC: 0, HeapIdle: 1785856

Request: 21, Container: go-server-image-9501, HeapAlloc: 23571312, NextGC: 41943040, NumGC: 0, HeapIdle: 753664

Request: 22, Container: go-server-image-9501, HeapAlloc: 24588608, NextGC: 41943040, NumGC: 0, HeapIdle: 3915776

Request: 23, Container: go-server-image-9501, HeapAlloc: 25617344, NextGC: 41943040, NumGC: 0, HeapIdle: 2883584

Request: 24, Container: go-server-image-9501, HeapAlloc: 26653536, NextGC: 41943040, NumGC: 0, HeapIdle: 1851392

Request: 25, Container: go-server-image-9501, HeapAlloc: 27688912, NextGC: 41943040, NumGC: 0, HeapIdle: 819200

Request: 26, Container: go-server-image-9501, HeapAlloc: 28726928, NextGC: 41943040, NumGC: 0, HeapIdle: 3973120

Request: 27, Container: go-server-image-9501, HeapAlloc: 29756448, NextGC: 41943040, NumGC: 0, HeapIdle: 2924544

