Request: 0, Container: go-server-image-9500, HeapAlloc: 3405576, HeapIdle: 37683200, HeapInuse: 3899392, NextGC: 41943040, NumGC: 40

Request: 1, Container: go-server-image-9500, HeapAlloc: 4213560, HeapIdle: 36872192, HeapInuse: 4710400, NextGC: 41943040, NumGC: 40

Request: 2, Container: go-server-image-9500, HeapAlloc: 5021544, HeapIdle: 36069376, HeapInuse: 5513216, NextGC: 41943040, NumGC: 40

Request: 3, Container: go-server-image-9500, HeapAlloc: 5829528, HeapIdle: 35266560, HeapInuse: 6316032, NextGC: 41943040, NumGC: 40

Request: 4, Container: go-server-image-9500, HeapAlloc: 6637512, HeapIdle: 34463744, HeapInuse: 7118848, NextGC: 41943040, NumGC: 40

Request: 5, Container: go-server-image-9500, HeapAlloc: 7445496, HeapIdle: 33660928, HeapInuse: 7921664, NextGC: 41943040, NumGC: 40

Request: 6, Container: go-server-image-9500, HeapAlloc: 8253480, HeapIdle: 32858112, HeapInuse: 8724480, NextGC: 41943040, NumGC: 40

Request: 7, Container: go-server-image-9500, HeapAlloc: 9061464, HeapIdle: 32047104, HeapInuse: 9535488, NextGC: 41943040, NumGC: 40

Request: 8, Container: go-server-image-9500, HeapAlloc: 9869448, HeapIdle: 31244288, HeapInuse: 10338304, NextGC: 41943040, NumGC: 40

Request: 9, Container: go-server-image-9500, HeapAlloc: 10677416, HeapIdle: 30441472, HeapInuse: 11141120, NextGC: 41943040, NumGC: 40

Request: 10, Container: go-server-image-9500, HeapAlloc: 11485400, HeapIdle: 29638656, HeapInuse: 11943936, NextGC: 41943040, NumGC: 40

Request: 11, Container: go-server-image-9500, HeapAlloc: 12293384, HeapIdle: 28835840, HeapInuse: 12746752, NextGC: 41943040, NumGC: 40

Request: 12, Container: go-server-image-9500, HeapAlloc: 13101368, HeapIdle: 28033024, HeapInuse: 13549568, NextGC: 41943040, NumGC: 40

Request: 13, Container: go-server-image-9500, HeapAlloc: 13909336, HeapIdle: 27222016, HeapInuse: 14360576, NextGC: 41943040, NumGC: 40

Request: 14, Container: go-server-image-9500, HeapAlloc: 14717608, HeapIdle: 26419200, HeapInuse: 15163392, NextGC: 41943040, NumGC: 40

