Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1718050199,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718050200,99,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718050201,198,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718050202,297,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718050203,396,,Aggregated,0.000000,0.000000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1,0,3603.7874730245676,3603.7874730245676,3603.7874730245676,3603.7874730245676,287.0
1718050204,495,,Aggregated,0.000000,0.000000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1,0,3603.7874730245676,3603.7874730245676,3603.7874730245676,3603.7874730245676,287.0
1718050205,594,,Aggregated,0.000000,0.000000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1,0,3603.7874730245676,3603.7874730245676,3603.7874730245676,3603.7874730245676,287.0
1718050206,693,,Aggregated,0.000000,0.000000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1,0,3603.7874730245676,3603.7874730245676,3603.7874730245676,3603.7874730245676,287.0
1718050207,792,,Aggregated,0.200000,0.000000,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,2,0,3603.7874730245676,5367.343367004651,3603.7874730245676,7130.899260984734,288.0
1718050208,891,,Aggregated,0.200000,0.000000,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,2,0,3603.7874730245676,5367.343367004651,3603.7874730245676,7130.899260984734,288.0
1718050209,990,,Aggregated,0.200000,0.000000,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,2,0,3603.7874730245676,5367.343367004651,3603.7874730245676,7130.899260984734,288.0
1718050210,1000,,Aggregated,0.200000,0.000000,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,2,0,3603.7874730245676,5367.343367004651,3603.7874730245676,7130.899260984734,288.0
1718050211,1000,,Aggregated,0.200000,0.000000,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,2,0,3603.7874730245676,5367.343367004651,3603.7874730245676,7130.899260984734,288.0
1718050212,1000,,Aggregated,0.200000,0.000000,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,2,0,3603.7874730245676,5367.343367004651,3603.7874730245676,7130.899260984734,288.0
1718050213,1000,,Aggregated,0.200000,0.000000,7100,7100,14000,14000,14000,14000,14000,14000,14000,14000,14000,3,0,7100.0,8210.478907664461,3603.7874730245676,13896.749988984084,288.6666666666667
1718050214,1000,,Aggregated,0.200000,0.000000,7100,7100,14000,14000,14000,14000,14000,14000,14000,14000,14000,3,0,7100.0,8210.478907664461,3603.7874730245676,13896.749988984084,288.6666666666667
1718050215,1000,,Aggregated,0.200000,0.000000,7100,7100,14000,14000,14000,14000,14000,14000,14000,14000,14000,3,0,7100.0,8210.478907664461,3603.7874730245676,13896.749988984084,288.6666666666667
1718050216,1000,,Aggregated,0.200000,0.000000,7100,7100,14000,14000,14000,14000,14000,14000,14000,14000,14000,3,0,7100.0,8210.478907664461,3603.7874730245676,13896.749988984084,288.6666666666667
1718050217,1000,,Aggregated,0.200000,0.000000,14000,14000,18000,18000,18000,18000,18000,18000,18000,18000,18000,4,0,7100.0,10626.835033748648,3603.7874730245676,17875.903412001207,288.75
1718050218,1000,,Aggregated,0.200000,0.000000,14000,14000,18000,18000,18000,18000,18000,18000,18000,18000,18000,4,0,7100.0,10626.835033748648,3603.7874730245676,17875.903412001207,288.75
1718050219,1000,,Aggregated,0.200000,0.000000,14000,14000,18000,18000,18000,18000,18000,18000,18000,18000,18000,4,0,7100.0,10626.835033748648,3603.7874730245676,17875.903412001207,288.75
1718050220,1000,,Aggregated,0.200000,0.000000,14000,14000,18000,18000,18000,18000,18000,18000,18000,18000,18000,4,0,7100.0,10626.835033748648,3603.7874730245676,17875.903412001207,288.75
1718050221,1000,,Aggregated,0.200000,0.000000,14000,18000,18000,22000,22000,22000,22000,22000,22000,22000,22000,5,0,14000.0,12816.103695397032,3603.7874730245676,21573.17834199057,289.0
1718050222,1000,,Aggregated,0.200000,0.000000,14000,18000,18000,22000,22000,22000,22000,22000,22000,22000,22000,5,0,14000.0,12816.103695397032,3603.7874730245676,21573.17834199057,289.0
1718050223,1000,,Aggregated,0.200000,0.000000,14000,18000,18000,22000,22000,22000,22000,22000,22000,22000,22000,5,0,14000.0,12816.103695397032,3603.7874730245676,21573.17834199057,289.0
1718050224,1000,,Aggregated,0.200000,0.000000,14000,18000,18000,22000,22000,22000,22000,22000,22000,22000,22000,5,0,14000.0,12816.103695397032,3603.7874730245676,21573.17834199057,289.0
