Request: 0, Container: go-server-image-9500, HeapAlloc: 18104656, HeapIdle: 23068672, HeapInuse: 18513920, NextGC: 41943040, NumGC: 20
Request: 1, Container: go-server-image-9500, HeapAlloc: 18511224, HeapIdle: 22650880, HeapInuse: 18931712, NextGC: 41943040, NumGC: 20
Request: 2, Container: go-server-image-9500, HeapAlloc: 18917792, HeapIdle: 22241280, HeapInuse: 19341312, NextGC: 41943040, NumGC: 20
Request: 3, Container: go-server-image-9500, HeapAlloc: 19324360, HeapIdle: 21839872, HeapInuse: 19742720, NextGC: 41943040, NumGC: 20
Request: 4, Container: go-server-image-9500, HeapAlloc: 19730928, HeapIdle: 21430272, HeapInuse: 20152320, NextGC: 41943040, NumGC: 20
Request: 5, Container: go-server-image-9500, HeapAlloc: 20137784, HeapIdle: 21028864, HeapInuse: 20553728, NextGC: 41943040, NumGC: 20
Request: 6, Container: go-server-image-9500, HeapAlloc: 20544352, HeapIdle: 20627456, HeapInuse: 20955136, NextGC: 41943040, NumGC: 20
Request: 7, Container: go-server-image-9500, HeapAlloc: 20950920, HeapIdle: 20209664, HeapInuse: 21372928, NextGC: 41943040, NumGC: 20
Request: 8, Container: go-server-image-9500, HeapAlloc: 21357488, HeapIdle: 19808256, HeapInuse: 21774336, NextGC: 41943040, NumGC: 20
Request: 9, Container: go-server-image-9500, HeapAlloc: 21764056, HeapIdle: 19398656, HeapInuse: 22183936, NextGC: 41943040, NumGC: 20
Request: 10, Container: go-server-image-9500, HeapAlloc: 22170640, HeapIdle: 18997248, HeapInuse: 22585344, NextGC: 41943040, NumGC: 20
Request: 11, Container: go-server-image-9500, HeapAlloc: 22577224, HeapIdle: 18587648, HeapInuse: 22994944, NextGC: 41943040, NumGC: 20
Request: 12, Container: go-server-image-9500, HeapAlloc: 22983808, HeapIdle: 18186240, HeapInuse: 23396352, NextGC: 41943040, NumGC: 20
Request: 13, Container: go-server-image-9500, HeapAlloc: 23390392, HeapIdle: 17776640, HeapInuse: 23805952, NextGC: 41943040, NumGC: 20
Request: 14, Container: go-server-image-9500, HeapAlloc: 23796976, HeapIdle: 17375232, HeapInuse: 24207360, NextGC: 41943040, NumGC: 20
Request: 15, Container: go-server-image-9500, HeapAlloc: 24203544, HeapIdle: 16965632, HeapInuse: 24616960, NextGC: 41943040, NumGC: 20
Request: 16, Container: go-server-image-9500, HeapAlloc: 24610128, HeapIdle: 16564224, HeapInuse: 25018368, NextGC: 41943040, NumGC: 20
Request: 17, Container: go-server-image-9500, HeapAlloc: 25016712, HeapIdle: 16162816, HeapInuse: 25419776, NextGC: 41943040, NumGC: 20
Request: 18, Container: go-server-image-9500, HeapAlloc: 25423296, HeapIdle: 15761408, HeapInuse: 25821184, NextGC: 41943040, NumGC: 20
Request: 19, Container: go-server-image-9500, HeapAlloc: 25829880, HeapIdle: 15351808, HeapInuse: 26230784, NextGC: 41943040, NumGC: 20
Request: 20, Container: go-server-image-9500, HeapAlloc: 26236464, HeapIdle: 14942208, HeapInuse: 26640384, NextGC: 41943040, NumGC: 20
Request: 21, Container: go-server-image-9500, HeapAlloc: 26643048, HeapIdle: 14532608, HeapInuse: 27049984, NextGC: 41943040, NumGC: 20
Request: 22, Container: go-server-image-9500, HeapAlloc: 27049632, HeapIdle: 14131200, HeapInuse: 27451392, NextGC: 41943040, NumGC: 20
Request: 23, Container: go-server-image-9500, HeapAlloc: 27456216, HeapIdle: 13729792, HeapInuse: 27852800, NextGC: 41943040, NumGC: 20
Request: 24, Container: go-server-image-9500, HeapAlloc: 27862800, HeapIdle: 13320192, HeapInuse: 28262400, NextGC: 41943040, NumGC: 20
Request: 25, Container: go-server-image-9500, HeapAlloc: 28269384, HeapIdle: 12910592, HeapInuse: 28672000, NextGC: 41943040, NumGC: 20
Request: 26, Container: go-server-image-9500, HeapAlloc: 28676256, HeapIdle: 12500992, HeapInuse: 29081600, NextGC: 41943040, NumGC: 20
Request: 27, Container: go-server-image-9500, HeapAlloc: 29082840, HeapIdle: 12091392, HeapInuse: 29491200, NextGC: 41943040, NumGC: 20
Request: 28, Container: go-server-image-9500, HeapAlloc: 29489424, HeapIdle: 11681792, HeapInuse: 29900800, NextGC: 41943040, NumGC: 20
Request: 29, Container: go-server-image-9500, HeapAlloc: 29896008, HeapIdle: 11280384, HeapInuse: 30302208, NextGC: 41943040, NumGC: 20
Request: 30, Container: go-server-image-9500, HeapAlloc: 30302592, HeapIdle: 10862592, HeapInuse: 30720000, NextGC: 41943040, NumGC: 20
Request: 31, Container: go-server-image-9500, HeapAlloc: 30709176, HeapIdle: 10444800, HeapInuse: 31137792, NextGC: 41943040, NumGC: 20
Request: 32, Container: go-server-image-9500, HeapAlloc: 31115760, HeapIdle: 10043392, HeapInuse: 31539200, NextGC: 41943040, NumGC: 20
