Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1718069737,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718069738,99,,Aggregated,0.000000,0.000000,230,280,290,290,300,300,310,310,310,310,310,372,372,230.0,216.25730228189113,36.73117799917236,308.98669798625633,0.0
1718069739,198,,Aggregated,0.000000,0.000000,260,300,390,440,750,770,810,810,820,820,820,877,877,260.0,292.720071283013,36.73117799917236,819.7612200165167,0.0
1718069740,297,,Aggregated,240.000000,240.000000,290,400,500,710,740,760,800,810,820,820,820,1538,1538,290.0,336.4826096947319,36.30891302600503,819.7612200165167,0.0
1718069741,396,,Aggregated,284.500000,284.500000,300,530,740,750,880,890,920,930,930,930,930,2198,2198,300.0,399.8286963098435,35.96617898438126,934.6754389698617,0.0
1718069742,495,,Aggregated,399.000000,399.000000,380,730,800,880,1100,1100,1100,1100,1100,1100,1100,2858,2858,380.0,464.1144326342812,35.734054050408304,1105.6447309674695,0.0
1718069743,594,,Aggregated,456.000000,456.000000,410,750,890,1000,1400,1400,1500,1500,1700,1800,1800,3405,3405,410.0,540.7540368785324,33.63429196178913,1761.4286359748803,0.0
1718069744,693,,Aggregated,483.400000,483.400000,420,840,1000,1100,1400,1600,2000,2100,2100,2100,2100,4036,4036,420.0,614.9577411437299,33.63429196178913,2071.2200540001504,0.0
1718069746,792,,Aggregated,486.428571,486.428571,450,890,1100,1400,1700,2000,2100,2100,2100,2100,2100,4665,4665,450.0,694.5905231828661,33.63429196178913,2119.2305259755813,0.0
1718069747,891,,Aggregated,504.500000,504.500000,530,930,1400,1500,2000,2100,2200,2200,2300,2300,2300,5213,5213,530.0,760.9558828414375,33.63429196178913,2339.478317007888,0.0
1718069748,990,,Aggregated,506.111111,506.111111,580,1100,1400,1700,2200,2400,2500,2500,2800,2800,2800,5819,5819,580.0,839.2108049236333,33.63429196178913,2803.211643011309,0.0
1718069749,1000,,Aggregated,503.700000,503.700000,730,1400,1800,2100,2500,2500,2800,2800,3000,3000,3000,6567,6567,730.0,962.0177592396547,33.63429196178913,3030.6474590324797,0.0
