Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1718062314,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718062315,99,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718062316,198,,Aggregated,0.000000,0.000000,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1,0,1639.5288510248065,1639.5288510248065,1639.5288510248065,1639.5288510248065,291.0
1718062317,297,,Aggregated,0.000000,0.000000,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1,0,1639.5288510248065,1639.5288510248065,1639.5288510248065,1639.5288510248065,291.0
1718062318,396,,Aggregated,0.000000,0.000000,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,2,0,1639.5288510248065,2393.753761512926,1639.5288510248065,3147.978672001045,291.5
1718062319,495,,Aggregated,0.333333,0.000000,3100,3100,4500,4500,4500,4500,4500,4500,4500,4500,4500,3,0,3100.0,3106.4310210058466,1639.5288510248065,4531.785539991688,291.6666666666667
1718062320,594,,Aggregated,0.250000,0.000000,4500,4500,5900,5900,5900,5900,5900,5900,5900,5900,5900,4,0,3100.0,3811.509036750067,1639.5288510248065,5926.743083982728,291.75
1718062321,693,,Aggregated,0.250000,0.000000,4500,4500,5900,5900,5900,5900,5900,5900,5900,5900,5900,4,0,3100.0,3811.509036750067,1639.5288510248065,5926.743083982728,291.75
1718062322,792,,Aggregated,0.500000,0.000000,4500,5900,5900,7300,7300,7300,7300,7300,7300,7300,7300,5,0,4500.0,4508.988098998088,1639.5288510248065,7298.904347990174,291.6
1718062323,891,,Aggregated,0.571429,0.000000,5900,5900,7300,7300,8700,8700,8700,8700,8700,8700,8700,6,0,4500.0,5204.13769466298,1639.5288510248065,8679.885672987439,291.6666666666667
1718062324,990,,Aggregated,0.500000,0.000000,5300,5900,7300,7300,8700,8700,8700,8700,8700,8700,8700,7,0,5300.0,5224.747037706298,1639.5288510248065,8679.885672987439,291.7142857142857
1718062325,1000,,Aggregated,0.500000,0.000000,5300,5900,7300,7300,8700,8700,8700,8700,8700,8700,8700,7,0,5300.0,5224.747037706298,1639.5288510248065,8679.885672987439,291.7142857142857
1718062326,1000,,Aggregated,0.600000,0.000000,5900,7300,8700,8700,9400,9400,9400,9400,9400,9400,9400,8,0,5300.0,5750.424541620305,1639.5288510248065,9430.167069018353,291.875
1718062327,1000,,Aggregated,0.700000,0.000000,5300,5900,7300,8700,9400,9400,9400,9400,9400,9400,9400,9,0,5300.0,5659.537554324035,1639.5288510248065,9430.167069018353,292.0
1718062328,1000,,Aggregated,0.700000,0.000000,5900,7300,8700,9400,13000,13000,13000,13000,13000,13000,13000,10,0,5300.0,6429.595952888485,1639.5288510248065,13360.121539968532,292.1
1718062329,1000,,Aggregated,0.700000,0.000000,5900,8700,9400,9400,12000,13000,13000,13000,13000,13000,13000,11,0,5900.0,6894.037974987772,1639.5288510248065,13360.121539968532,292.1818181818182
1718062330,1000,,Aggregated,0.800000,0.000000,7300,8700,10000,10000,12000,13000,13000,13000,13000,13000,13000,12,0,5900.0,7154.213340487331,1639.5288510248065,13360.121539968532,292.25
1718062331,1000,,Aggregated,0.800000,0.000000,7300,8700,10000,10000,12000,13000,13000,13000,13000,13000,13000,12,0,5900.0,7154.213340487331,1639.5288510248065,13360.121539968532,292.25
1718062332,1000,,Aggregated,0.800000,0.000000,7300,8700,9400,10000,12000,13000,13000,13000,13000,13000,13000,13,0,7300.0,7166.636929139853,1639.5288510248065,13360.121539968532,292.2307692307692
1718062333,1000,,Aggregated,0.800000,0.000000,7300,8700,9400,10000,12000,13000,13000,13000,13000,13000,13000,14,0,6100.0,7093.86315341856,1639.5288510248065,13360.121539968532,292.2142857142857
1718062334,1000,,Aggregated,0.800000,0.000000,6200,7300,9400,10000,12000,13000,13000,13000,13000,13000,13000,15,0,6200.0,7032.70417592333,1639.5288510248065,13360.121539968532,292.26666666666665
1718062335,1000,,Aggregated,0.800000,0.000000,6200,7300,9400,9400,12000,13000,13000,13000,13000,13000,13000,16,0,6100.0,6968.643742053246,1639.5288510248065,13360.121539968532,292.3125
1718062336,1000,,Aggregated,0.800000,0.000000,6200,8700,9400,10000,13000,22000,22000,22000,22000,22000,22000,17,0,6200.0,7841.337929815328,1639.5288510248065,21804.444934008643,292.3529411764706
1718062337,1000,,Aggregated,0.800000,0.000000,7300,8700,10000,12000,14000,22000,22000,22000,22000,22000,22000,18,0,6200.0,8201.558543605239,1639.5288510248065,21804.444934008643,292.3888888888889
1718062338,1000,,Aggregated,0.800000,0.000000,7300,8700,10000,12000,14000,22000,22000,22000,22000,22000,22000,18,0,6200.0,8201.558543605239,1639.5288510248065,21804.444934008643,292.3888888888889
1718062339,1000,,Aggregated,0.900000,0.000000,7300,9400,12000,13000,14000,22000,22000,22000,22000,22000,22000,19,0,7300.0,8459.147040150128,1639.5288510248065,21804.444934008643,292.42105263157896
1718062340,1000,,Aggregated,0.900000,0.000000,7300,9400,12000,13000,14000,22000,22000,22000,22000,22000,22000,20,0,7300.0,8443.174207542324,1639.5288510248065,21804.444934008643,292.4
1718062341,1000,,Aggregated,0.800000,0.000000,7300,8700,10000,12000,13000,14000,22000,22000,22000,22000,22000,21,0,7300.0,8317.10525984887,1639.5288510248065,21804.444934008643,292.3809523809524
1718062342,1000,,Aggregated,0.800000,0.000000,7300,8700,10000,12000,13000,14000,22000,22000,22000,22000,22000,22,0,7300.0,8307.587388537782,1639.5288510248065,21804.444934008643,292.40909090909093
