Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1718067240,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718067241,99,,Aggregated,0.000000,0.000000,140,140,160,160,170,170,180,190,190,190,190,586,586,140.0,144.97488425317883,37.58505400037393,191.2153449957259,0.0
1718067242,198,,Aggregated,0.000000,0.000000,160,260,280,280,410,520,540,540,560,560,560,1242,1242,160.0,210.57392701672708,36.45287803374231,562.4939340050332,0.0
1718067243,297,,Aggregated,326.000000,325.000000,190,280,380,450,700,740,750,750,770,770,770,1913,1913,190.0,277.0108923582729,36.286822985857725,768.8030949793756,0.0
1718067244,396,,Aggregated,461.500000,461.500000,270,380,540,710,860,900,900,900,900,900,900,2572,2572,270.0,347.43892826130605,36.286822985857725,902.4730839882977,0.0
1718067245,495,,Aggregated,513.000000,513.000000,280,520,740,840,1000,1100,1100,1100,1100,1100,1100,3220,3220,280.0,413.69336354759554,33.707926981151104,1064.9139889865182,0.0
1718067246,594,,Aggregated,535.750000,535.750000,300,730,900,1000,1200,1200,1200,1200,1500,1500,1500,3864,3864,300.0,491.3964476159649,33.707926981151104,1510.8049389673397,0.0
1718067247,693,,Aggregated,543.400000,543.400000,310,750,1000,1100,1200,1500,1600,1700,1800,1800,1800,4495,4495,310.0,548.7897329681705,33.707926981151104,1793.9264380256645,0.0
1718067249,792,,Aggregated,552.000000,552.000000,360,890,1100,1200,1500,1900,2100,2100,2100,2200,2200,5122,5122,360.0,635.561716103768,33.707926981151104,2161.1371360486373,0.0
1718067250,891,,Aggregated,561.875000,561.875000,360,900,1200,1200,1700,2100,2500,2700,2800,2800,2800,5517,5517,360.0,676.4554695962325,33.707926981151104,2825.806783977896,0.0
1718067252,990,,Aggregated,524.300000,524.300000,380,1000,1200,1500,2100,3300,3600,3800,3800,3800,3800,6098,6098,380.0,819.8563983115744,33.707926981151104,3795.7578569767065,0.0
1718067253,1000,,Aggregated,519.100000,519.200000,510,1100,1500,1700,3300,3600,3800,3800,3800,3900,3900,6769,6769,510.0,979.3540354066567,33.707926981151104,3865.929223014973,0.0
1718067254,1000,,Aggregated,510.900000,510.900000,740,1200,1800,2100,3100,3500,3800,3800,3800,3900,3900,7462,7462,740.0,1092.3771250131078,33.707926981151104,3865.929223014973,0.0
1718067255,1000,,Aggregated,501.000000,501.000000,900,1700,2000,2100,3000,3500,3800,3800,3800,3900,3900,8221,8221,900.0,1160.7543168793782,33.707926981151104,3865.929223014973,0.0
