Request: 0, Container: go-server-image-9500, HeapAlloc: 1085168, HeapIdle: 2310144, HeapInuse: 1523712, NextGC: 41943040, NumGC: 0

Request: 1, Container: go-server-image-9500, HeapAlloc: 1893152, HeapIdle: 1507328, HeapInuse: 2326528, NextGC: 41943040, NumGC: 0

Request: 2, Container: go-server-image-9500, HeapAlloc: 2701136, HeapIdle: 704512, HeapInuse: 3129344, NextGC: 41943040, NumGC: 0

Request: 3, Container: go-server-image-9500, HeapAlloc: 3509120, HeapIdle: 4096000, HeapInuse: 3932160, NextGC: 41943040, NumGC: 0

Request: 4, Container: go-server-image-9500, HeapAlloc: 4317104, HeapIdle: 3284992, HeapInuse: 4743168, NextGC: 41943040, NumGC: 0

Request: 5, Container: go-server-image-9500, HeapAlloc: 5125088, HeapIdle: 2482176, HeapInuse: 5545984, NextGC: 41943040, NumGC: 0

Request: 6, Container: go-server-image-9500, HeapAlloc: 5933072, HeapIdle: 1679360, HeapInuse: 6348800, NextGC: 41943040, NumGC: 0

Request: 7, Container: go-server-image-9500, HeapAlloc: 6741360, HeapIdle: 876544, HeapInuse: 7151616, NextGC: 41943040, NumGC: 0

Request: 8, Container: go-server-image-9500, HeapAlloc: 7549328, HeapIdle: 57344, HeapInuse: 7970816, NextGC: 41943040, NumGC: 0

Request: 9, Container: go-server-image-9500, HeapAlloc: 9175464, HeapIdle: 2588672, HeapInuse: 9601024, NextGC: 41943040, NumGC: 0

Request: 10, Container: go-server-image-9500, HeapAlloc: 9983736, HeapIdle: 1785856, HeapInuse: 10403840, NextGC: 41943040, NumGC: 0

Request: 11, Container: go-server-image-9500, HeapAlloc: 10791720, HeapIdle: 974848, HeapInuse: 11214848, NextGC: 41943040, NumGC: 0

Request: 12, Container: go-server-image-9500, HeapAlloc: 11599704, HeapIdle: 4366336, HeapInuse: 12017664, NextGC: 41943040, NumGC: 0

Request: 13, Container: go-server-image-9500, HeapAlloc: 12407688, HeapIdle: 3563520, HeapInuse: 12820480, NextGC: 41943040, NumGC: 0

Request: 14, Container: go-server-image-9500, HeapAlloc: 13215672, HeapIdle: 2760704, HeapInuse: 13623296, NextGC: 41943040, NumGC: 0

Request: 15, Container: go-server-image-9500, HeapAlloc: 14023656, HeapIdle: 1949696, HeapInuse: 14434304, NextGC: 41943040, NumGC: 0

Request: 16, Container: go-server-image-9500, HeapAlloc: 14831640, HeapIdle: 1146880, HeapInuse: 15237120, NextGC: 41943040, NumGC: 0

Request: 17, Container: go-server-image-9500, HeapAlloc: 15639624, HeapIdle: 344064, HeapInuse: 16039936, NextGC: 41943040, NumGC: 0

Request: 18, Container: go-server-image-9500, HeapAlloc: 16447608, HeapIdle: 3727360, HeapInuse: 16850944, NextGC: 41943040, NumGC: 0

Request: 19, Container: go-server-image-9500, HeapAlloc: 17255592, HeapIdle: 2916352, HeapInuse: 17661952, NextGC: 41943040, NumGC: 0

