HeapAlloc: 536960, HeapIdle: 2621440, HeapInuse: 1179648
HeapAlloc: 538368, HeapIdle: 2449408, HeapInuse: 1286144
HeapAlloc: 541000, HeapIdle: 2621440, HeapInuse: 1179648
HeapAlloc: 542408, HeapIdle: 2449408, HeapInuse: 1286144
HeapAlloc: 547200, HeapIdle: 2621440, HeapInuse: 1179648
HeapAlloc: 546448, HeapIdle: 2449408, HeapInuse: 1286144
HeapAlloc: 554224, HeapIdle: 2621440, HeapInuse: 1179648
HeapAlloc: 553016, HeapIdle: 2449408, HeapInuse: 1286144
HeapAlloc: 558816, HeapIdle: 2621440, HeapInuse: 1179648
HeapAlloc: 559768, HeapIdle: 2449408, HeapInuse: 1286144
HeapAlloc: 563448, HeapIdle: 2621440, HeapInuse: 1179648
HeapAlloc: 564264, HeapIdle: 2449408, HeapInuse: 1286144
HeapAlloc: 567584, HeapIdle: 2621440, HeapInuse: 1179648
HeapAlloc: 568304, HeapIdle: 2449408, HeapInuse: 1286144
HeapAlloc: 571624, HeapIdle: 2621440, HeapInuse: 1179648
HeapAlloc: 572936, HeapIdle: 2449408, HeapInuse: 1286144
HeapAlloc: 575664, HeapIdle: 2621440, HeapInuse: 1179648
HeapAlloc: 577488, HeapIdle: 2449408, HeapInuse: 1286144
HeapAlloc: 579704, HeapIdle: 2621440, HeapInuse: 1179648
HeapAlloc: 581624, HeapIdle: 2441216, HeapInuse: 1294336
HeapAlloc: 583744, HeapIdle: 2613248, HeapInuse: 1187840
HeapAlloc: 585664, HeapIdle: 2441216, HeapInuse: 1294336
HeapAlloc: 587784, HeapIdle: 2613248, HeapInuse: 1187840
HeapAlloc: 589704, HeapIdle: 2433024, HeapInuse: 1302528
HeapAlloc: 591824, HeapIdle: 2613248, HeapInuse: 1187840
HeapAlloc: 593744, HeapIdle: 2433024, HeapInuse: 1302528
HeapAlloc: 595912, HeapIdle: 2605056, HeapInuse: 1196032
HeapAlloc: 597784, HeapIdle: 2433024, HeapInuse: 1302528
HeapAlloc: 599952, HeapIdle: 2605056, HeapInuse: 1196032
HeapAlloc: 601824, HeapIdle: 2433024, HeapInuse: 1302528
HeapAlloc: 603992, HeapIdle: 2605056, HeapInuse: 1196032
HeapAlloc: 606504, HeapIdle: 2400256, HeapInuse: 1302528
HeapAlloc: 608448, HeapIdle: 2605056, HeapInuse: 1196032
HeapAlloc: 610816, HeapIdle: 2400256, HeapInuse: 1302528
HeapAlloc: 612584, HeapIdle: 2605056, HeapInuse: 1196032
HeapAlloc: 614856, HeapIdle: 2400256, HeapInuse: 1302528
HeapAlloc: 617040, HeapIdle: 2572288, HeapInuse: 1196032
HeapAlloc: 619312, HeapIdle: 2400256, HeapInuse: 1302528
HeapAlloc: 621768, HeapIdle: 2564096, HeapInuse: 1204224
HeapAlloc: 623448, HeapIdle: 2400256, HeapInuse: 1302528
HeapAlloc: 626576, HeapIdle: 2555904, HeapInuse: 1212416
HeapAlloc: 628160, HeapIdle: 2392064, HeapInuse: 1310720
HeapAlloc: 630712, HeapIdle: 2555904, HeapInuse: 1212416
HeapAlloc: 632296, HeapIdle: 2383872, HeapInuse: 1318912
HeapAlloc: 634752, HeapIdle: 2555904, HeapInuse: 1212416
HeapAlloc: 636336, HeapIdle: 2383872, HeapInuse: 1318912
HeapAlloc: 638792, HeapIdle: 2555904, HeapInuse: 1212416
HeapAlloc: 640376, HeapIdle: 2383872, HeapInuse: 1318912
HeapAlloc: 642832, HeapIdle: 2555904, HeapInuse: 1212416
HeapAlloc: 644416, HeapIdle: 2383872, HeapInuse: 1318912
HeapAlloc: 647288, HeapIdle: 2547712, HeapInuse: 1220608
HeapAlloc: 648456, HeapIdle: 2375680, HeapInuse: 1327104
HeapAlloc: 651424, HeapIdle: 2547712, HeapInuse: 1220608
HeapAlloc: 652496, HeapIdle: 2375680, HeapInuse: 1327104
HeapAlloc: 655464, HeapIdle: 2547712, HeapInuse: 1220608
HeapAlloc: 656952, HeapIdle: 2375680, HeapInuse: 1327104
HeapAlloc: 659504, HeapIdle: 2547712, HeapInuse: 1220608
HeapAlloc: 661088, HeapIdle: 2375680, HeapInuse: 1327104
