Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1700106596,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700106597,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700106598,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700106599,1000,,Aggregated,0.000000,0.000000,2200,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,8,0,2200.0,1838.3177023788448,83.38414199533872,2309.9813279986847,131.0
1700106600,1000,,Aggregated,0.000000,0.000000,2300,2900,3000,3000,3600,3700,3700,3700,3700,3700,3700,15,0,2300.0,2436.2398687342647,83.38414199533872,3729.2346860049292,131.46666666666667
1700106601,1000,,Aggregated,2.333333,0.000000,2900,3500,3600,3700,4400,4600,4600,4600,4600,4600,4600,22,0,2900.0,2788.431807999256,83.38414199533872,4639.17467900319,131.54545454545453
1700106602,1000,,Aggregated,3.250000,0.000000,3000,3700,4500,4600,5100,5200,5200,5200,5200,5200,5200,27,0,3000.0,3196.9280799611524,83.38414199533872,5179.193485993892,131.62962962962962
1700106603,1000,,Aggregated,3.800000,0.000000,3700,4600,5200,5500,6200,6300,6600,6600,6600,6600,6600,34,0,3600.0,3801.327316881404,83.38414199533872,6637.98340500216,131.61764705882354
1700106604,1000,,Aggregated,3.800000,0.000000,4400,5200,6000,6300,7000,7200,7500,7500,7500,7500,7500,39,0,4400.0,4225.672506741457,83.38414199533872,7462.157238973305,131.66666666666666
1700106605,1000,,Aggregated,4.571429,0.000000,5100,6300,7000,7500,8200,8300,8600,8600,8600,8600,8600,49,0,5100.0,4884.508308161012,83.38414199533872,8614.522071002284,131.69387755102042
1700106606,1000,,Aggregated,4.875000,0.000000,5500,7200,8100,8300,8900,9200,9500,9500,9500,9500,9500,61,0,5500.0,5462.530936211344,71.20907100033946,9542.72476801998,131.63934426229508
1700106607,1000,,Aggregated,4.875000,0.000000,6300,8000,8600,8900,9600,9800,10000,10000,10000,10000,10000,68,0,6200.0,5916.015179674586,71.20907100033946,10341.106291016331,131.6764705882353
1700106608,1000,,Aggregated,5.700000,0.000000,7100,8600,9200,9600,11000,11000,11000,11000,11000,11000,11000,78,0,7000.0,6520.877609626041,71.20907100033946,11435.7640449889,131.73076923076923
1700106609,1000,,Aggregated,6.800000,0.000000,7700,9200,9800,10000,12000,12000,12000,13000,13000,13000,13000,91,0,7700.0,6958.016480108119,53.56372200185433,12552.322420990095,131.83516483516485
1700106610,1000,,Aggregated,7.600000,0.000000,8200,9700,11000,11000,13000,13000,13000,14000,14000,14000,14000,100,0,8100.0,7518.78998225875,53.56372200185433,13510.53038900136,131.9
1700106611,1000,,Aggregated,8.100000,0.000000,8500,10000,12000,12000,13000,14000,14000,14000,15000,15000,15000,112,0,8300.0,7924.067802829605,53.56372200185433,14624.358191998908,131.99107142857142
1700106612,1000,,Aggregated,8.400000,0.000000,8800,11000,12000,13000,14000,15000,16000,16000,16000,16000,16000,124,0,8600.0,8387.791212426118,53.56372200185433,15685.35397699452,132.06451612903226
