Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1700106527,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700106528,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700106529,1000,,Aggregated,0.000000,0.000000,1600,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,20,0,1500.0,1515.5092014494585,1092.6421629847027,1825.0917499826755,253.9
1700106530,1000,,Aggregated,0.000000,0.000000,830,1300,1600,1700,1900,1900,2400,2600,2600,2600,2600,67,0,830.0,1012.0619455223847,159.68758400413208,2561.7442989896517,255.2089552238806
1700106531,1000,,Aggregated,7.000000,0.000000,650,840,1200,1300,1800,1900,2600,3200,3600,3600,3600,116,0,640.0,864.6667815437781,131.58691101125441,3638.6450950230937,255.6293103448276
1700106532,1000,,Aggregated,20.000000,0.000000,640,810,920,1100,1700,1900,2600,3600,4100,4100,4100,165,0,640.0,817.106326958729,131.58691101125441,4117.2493229969405,255.88484848484848
1700106533,1000,,Aggregated,27.500000,0.000000,650,780,890,970,1600,1900,3200,4100,5400,5400,5400,216,0,640.0,817.5937512138195,131.58691101125441,5433.657696004957,256.09722222222223
1700106534,1000,,Aggregated,31.600000,0.000000,650,760,890,940,1400,1900,3600,5400,6800,6800,6800,266,0,650.0,826.7570821055442,131.58691101125441,6788.558837986784,256.26691729323306
1700106535,1000,,Aggregated,34.666667,0.000000,660,770,890,940,1300,1900,4100,5900,7800,7800,7800,317,0,660.0,849.8268961358878,131.58691101125441,7783.197777986061,256.38485804416405
1700106536,1000,,Aggregated,36.714286,0.000000,660,800,900,940,1200,1800,4100,6800,8400,8400,8400,367,0,660.0,853.3340729842038,131.58691101125441,8424.449190002633,256.5231607629428
1700106537,1000,,Aggregated,38.250000,0.000000,690,820,910,970,1200,1800,5000,7500,9800,9800,9800,416,0,690.0,891.2082286780368,131.58691101125441,9765.004991990281,256.71153846153845
1700106538,1000,,Aggregated,39.777778,0.000000,700,830,920,980,1300,1800,5000,7800,11000,11000,11000,459,0,700.0,905.465519344353,131.58691101125441,10737.557946995366,256.9281045751634
1700106539,1000,,Aggregated,40.400000,0.000000,710,880,940,990,1300,1700,4100,7500,11000,11000,11000,505,0,710.0,904.4678908614857,131.58691101125441,10737.557946995366,257.12277227722774
1700106540,1000,,Aggregated,44.900000,0.000000,730,890,970,1000,1300,1700,5000,8400,12000,12000,12000,559,0,730.0,949.1703326995893,131.58691101125441,12377.14032898657,257.32915921288014
1700106541,1000,,Aggregated,47.800000,0.000000,720,890,980,1000,1300,1700,5000,8400,14000,14000,14000,613,0,720.0,949.716684009958,131.58691101125441,13662.591540982248,257.5301794453507
1700106542,1000,,Aggregated,48.100000,0.000000,740,900,980,1100,1300,1700,5400,9800,15000,15000,15000,667,0,740.0,983.5256292056478,115.68597800214775,14644.861559994752,257.72113943028484
1700106543,1000,,Aggregated,48.300000,0.000000,750,910,1000,1100,1300,1700,5400,9800,16000,16000,16000,710,0,750.0,1008.6119204129561,115.68597800214775,15635.024092014646,257.85915492957747
1700106544,1000,,Aggregated,48.700000,0.000000,760,930,1000,1100,1400,1700,5400,11000,17000,17000,17000,764,0,760.0,1026.354276543492,115.68597800214775,16884.726230986416,258.0104712041885
1700106545,1000,,Aggregated,47.700000,0.000000,800,970,1100,1200,1500,5000,17000,17000,18000,18000,18000,843,25,800.0,1526.0345210916582,115.68597800214775,17842.53793998505,250.48635824436536
1700106546,1000,,Aggregated,48.100000,0.000000,800,970,1100,1200,1500,4100,17000,17000,18000,18000,18000,898,25,800.0,1507.360111999193,115.68597800214775,18239.019059983548,251.06904231625836
1700106547,1000,,Aggregated,50.700000,2.500000,810,980,1100,1200,1500,3200,17000,17000,20000,20000,20000,949,25,810.0,1497.6964963449032,115.68597800214775,19884.251668001525,251.55216016859853
1700106548,1000,,Aggregated,50.700000,2.500000,820,990,1100,1200,1500,2400,17000,17000,20000,21000,21000,1005,25,820.0,1488.2475713407216,115.68597800214775,20814.41262300359,252.03880597014924
1700106549,1000,,Aggregated,50.900000,2.500000,830,1000,1100,1200,1500,2400,17000,17000,21000,22000,22000,1060,25,830.0,1500.6593817787054,115.68597800214775,21930.71776101715,252.48301886792453
1700106550,1000,,Aggregated,51.700000,2.500000,850,1000,1100,1300,1500,1900,17000,17000,21000,22000,22000,1115,25,850.0,1476.3912371464435,115.68597800214775,21930.71776101715,252.8995515695067
1700106551,1000,,Aggregated,52.500000,2.500000,860,1000,1200,1300,1500,1900,17000,17000,24000,24000,24000,1171,25,860.0,1495.6895540385185,115.68597800214775,24115.04609399708,253.2869342442357
1700106553,1000,,Aggregated,52.900000,2.500000,870,1000,1200,1300,1500,1900,17000,17000,24000,24000,24000,1227,25,870.0,1475.668826589355,115.68597800214775,24115.04609399708,253.63895680521597
1700106554,1000,,Aggregated,52.600000,2.500000,880,1100,1200,1300,1500,1900,17000,17000,26000,27000,27000,1284,25,880.0,1497.6405740765747,115.68597800214775,26595.11684300378,253.96573208722742
1700106555,1000,,Aggregated,54.100000,2.500000,880,1100,1200,1300,1600,1900,17000,17000,27000,27000,27000,1335,25,880.0,1501.4829760136986,115.68597800214775,27248.46404598793,254.22471910112358
1700106556,1000,,Aggregated,54.100000,2.500000,890,1100,1200,1300,1600,1900,17000,17000,27000,27000,27000,1391,25,890.0,1487.9366335358038,83.65176498773508,27248.46404598793,254.46153846153845
1700106557,1000,,Aggregated,51.300000,0.000000,900,1100,1300,1300,1600,2000,17000,21000,30000,30000,30000,1453,31,900.0,1631.1842520937466,83.65176498773508,29810.559938981896,253.63936682725395
