Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1699069043,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699069044,435,,Aggregated,0.000000,0.000000,120,170,470,490,590,610,640,640,760,760,760,326,0,120.0,244.00452421783496,31.29511199949775,757.0282359956764,227.0
1699069045,435,,Aggregated,0.000000,0.000000,180,270,510,760,1600,1800,1900,1900,1900,1900,1900,1070,0,180.0,481.0313821559996,31.29511199949775,1908.731738003553,227.0
1699069046,435,,Aggregated,0.000000,0.000000,320,390,510,590,1700,1900,1900,1900,2000,2000,2000,1796,0,320.0,522.1254321005758,31.29511199949775,2039.370222002617,227.1698218262806
1699069048,435,,Aggregated,371.666667,0.000000,340,480,510,560,1500,1900,1900,2000,3700,3700,3700,2514,0,340.0,534.4576244800089,31.29511199949775,3714.678336997167,227.40692124105013
1699069049,435,,Aggregated,449.000000,0.000000,360,490,540,560,1400,1800,1900,2000,3700,3700,3700,3213,0,360.0,525.9111934527717,31.29511199949775,3714.678336997167,227.5359477124183
1699069050,435,,Aggregated,500.600000,0.000000,380,500,560,580,1200,1700,1900,1900,3700,3700,3700,3887,0,380.0,520.793698429315,31.29511199949775,3714.678336997167,227.6164136866478
1699069051,435,,Aggregated,527.000000,0.000000,390,520,560,580,640,1600,1900,1900,3700,3700,3700,4625,0,390.0,511.60154544792044,31.29511199949775,3714.678336997167,227.67762162162163
1699069052,435,,Aggregated,544.714286,0.000000,390,540,570,590,650,1500,1900,1900,3700,3700,3700,5290,0,390.0,509.28499994850654,31.29511199949775,3714.678336997167,227.71814744801512
1699069053,435,,Aggregated,566.375000,0.000000,400,540,570,580,630,1500,1900,1900,3700,3700,3700,6032,0,400.0,503.7304437877462,31.29511199949775,3714.678336997167,227.75281830238725
