Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/go?seed=0&arraysize=100000&requestnumber=4681,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GET,/go?seed=0&arraysize=100000&requestnumber=4691,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GET,/go?seed=1&arraysize=100000&requestnumber=3074,2,0,15.229962999001145,186.76595954457298,15.229962999001145,358.3019560901448,208.5,0.033184007551544076,0.0,360,360,360,360,360,360,360,360,360,360,360
GET,/go?seed=1&arraysize=100000&requestnumber=4678,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GET,/go?seed=1&arraysize=100000&requestnumber=9370,2,0,38.258041953668,70.96805749461055,38.258041953668,103.6780730355531,209.0,0.033184007551544076,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/go?seed=10&arraysize=100000&requestnumber=6436,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GET,/go?seed=100&arraysize=100000&requestnumber=2879,2,0,34,49.16642850730568,33.83074305020273,64.50211396440864,208.5,0.033184007551544076,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,/go?seed=1000&arraysize=100000&requestnumber=3372,2,0,62,64.73750906297937,61.838749097660184,67.63626902829856,209.0,0.033184007551544076,0.0,68,68,68,68,68,68,68,68,68,68,68
GET,/go?seed=1000&arraysize=100000&requestnumber=3795,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GET,/go?seed=1000&arraysize=100000&requestnumber=7585,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GET,/go?seed=10000&arraysize=100000&requestnumber=2648,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GET,/go?seed=10000&arraysize=100000&requestnumber=699,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GET,/go?seed=10000&arraysize=100000&requestnumber=7677,2,0,81.11949905287474,82.58946851128712,81.11949905287474,84.0594379696995,209.0,0.033184007551544076,0.0,84,84,84,84,84,84,84,84,84,84,84
GET,/go?seed=10000&arraysize=100000&requestnumber=9019,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GET,/go?seed=1001&arraysize=100000&requestnumber=2341,2,0,51,62.945893965661526,50.56260002311319,75.32918790820986,209.0,0.033184007551544076,0.0,75,75,75,75,75,75,75,75,75,75,75
GET,/go?seed=1001&arraysize=100000&requestnumber=8733,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GET,/go?seed=1001&arraysize=100000&requestnumber=9139,2,0,81,421.7640779679641,80.90040693059564,762.6277490053326,209.0,0.033184007551544076,0.0,760,760,760,760,760,760,760,760,760,760,760
GET,/go?seed=1002&arraysize=100000&requestnumber=3501,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GET,/go?seed=1003&arraysize=100000&requestnumber=1316,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
