Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1705553709,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1705553710,500,,Aggregated,0.000000,0.000000,330,460,570,650,840,850,850,850,860,860,860,417,417,330.0,341.0829211561773,31.07512299902737,856.3923290930688,0.0
1705553711,500,,Aggregated,0.000000,0.000000,590,710,770,870,940,960,970,980,980,990,990,1297,1297,590.0,586.3000117587004,31.07512299902737,985.3680089581758,0.0
1705553712,500,,Aggregated,0.000000,0.000000,590,620,630,710,890,940,960,970,980,990,990,2188,2188,590.0,589.6835284603638,31.07512299902737,985.3680089581758,0.0
1705553713,500,,Aggregated,417.500000,417.500000,600,630,650,660,840,920,960,970,980,990,990,3024,3024,590.0,597.5306686189484,31.07512299902737,985.3680089581758,0.0
1705553714,500,,Aggregated,553.333333,553.333333,600,640,660,680,740,900,950,960,980,990,990,3904,3904,600.0,605.5629289765152,31.07512299902737,985.3680089581758,0.0
1705553715,500,,Aggregated,613.000000,613.000000,600,650,670,690,710,880,950,960,980,990,990,4784,4784,600.0,612.5722830281628,31.07512299902737,985.3680089581758,0.0
1705553717,500,,Aggregated,665.333333,665.333333,610,660,690,700,750,850,940,960,980,990,990,5543,5510,610.0,622.9228341921765,31.07512299902737,985.3680089581758,1.22262312826989
1705553718,500,,Aggregated,683.428571,683.428571,610,660,700,710,760,920,990,1400,1500,1600,1600,6097,5510,610.0,621.1221945873873,4.590768949128687,1618.6034509446472,19.73577169099557
1705553719,486,,Aggregated,690.000000,688.750000,610,660,690,700,760,910,980,1400,1500,1800,1800,6643,5510,610.0,605.7639201695329,4.33062098454684,1784.713080036454,34.9613126599428
