Request: 0, Container: go-server-image-9500, HeapAlloc: 3392896, HeapIdle: 37642240, HeapInuse: 3940352, NextGC: 41943040, NumGC: 40

Request: 1, Container: go-server-image-9500, HeapAlloc: 4200872, HeapIdle: 36831232, HeapInuse: 4751360, NextGC: 41943040, NumGC: 40

Request: 2, Container: go-server-image-9500, HeapAlloc: 5008864, HeapIdle: 36028416, HeapInuse: 5554176, NextGC: 41943040, NumGC: 40

Request: 3, Container: go-server-image-9500, HeapAlloc: 5816856, HeapIdle: 35225600, HeapInuse: 6356992, NextGC: 41943040, NumGC: 40

Request: 4, Container: go-server-image-9500, HeapAlloc: 6624848, HeapIdle: 34422784, HeapInuse: 7159808, NextGC: 41943040, NumGC: 40

Request: 5, Container: go-server-image-9500, HeapAlloc: 7432840, HeapIdle: 33619968, HeapInuse: 7962624, NextGC: 41943040, NumGC: 40

Request: 6, Container: go-server-image-9500, HeapAlloc: 8240832, HeapIdle: 32817152, HeapInuse: 8765440, NextGC: 41943040, NumGC: 40

Request: 7, Container: go-server-image-9500, HeapAlloc: 9048824, HeapIdle: 32006144, HeapInuse: 9576448, NextGC: 41943040, NumGC: 40

Request: 8, Container: go-server-image-9500, HeapAlloc: 9856816, HeapIdle: 31203328, HeapInuse: 10379264, NextGC: 41943040, NumGC: 40

Request: 9, Container: go-server-image-9500, HeapAlloc: 10664808, HeapIdle: 30400512, HeapInuse: 11182080, NextGC: 41943040, NumGC: 40

Request: 10, Container: go-server-image-9500, HeapAlloc: 11472800, HeapIdle: 29597696, HeapInuse: 11984896, NextGC: 41943040, NumGC: 40

Request: 11, Container: go-server-image-9500, HeapAlloc: 12280792, HeapIdle: 28794880, HeapInuse: 12787712, NextGC: 41943040, NumGC: 40

Request: 12, Container: go-server-image-9500, HeapAlloc: 13088784, HeapIdle: 27992064, HeapInuse: 13590528, NextGC: 41943040, NumGC: 40

Request: 13, Container: go-server-image-9500, HeapAlloc: 13896776, HeapIdle: 27181056, HeapInuse: 14401536, NextGC: 41943040, NumGC: 40

Request: 14, Container: go-server-image-9500, HeapAlloc: 14704768, HeapIdle: 26378240, HeapInuse: 15204352, NextGC: 41943040, NumGC: 40

Request: 15, Container: go-server-image-9500, HeapAlloc: 15512760, HeapIdle: 25575424, HeapInuse: 16007168, NextGC: 41943040, NumGC: 40

Request: 16, Container: go-server-image-9500, HeapAlloc: 16320752, HeapIdle: 24764416, HeapInuse: 16818176, NextGC: 41943040, NumGC: 40

Request: 17, Container: go-server-image-9500, HeapAlloc: 17128744, HeapIdle: 23961600, HeapInuse: 17620992, NextGC: 41943040, NumGC: 40

Request: 18, Container: go-server-image-9500, HeapAlloc: 17936736, HeapIdle: 23150592, HeapInuse: 18432000, NextGC: 41943040, NumGC: 40

Request: 19, Container: go-server-image-9500, HeapAlloc: 18744728, HeapIdle: 22347776, HeapInuse: 19234816, NextGC: 41943040, NumGC: 40

Request: 20, Container: go-server-image-9500, HeapAlloc: 19552720, HeapIdle: 21544960, HeapInuse: 20037632, NextGC: 41943040, NumGC: 40

Request: 21, Container: go-server-image-9500, HeapAlloc: 20360712, HeapIdle: 20742144, HeapInuse: 20840448, NextGC: 41943040, NumGC: 40

