Percentage served,Time in ms
0,3.486
1,3.790
2,3.863
3,3.907
4,3.943
5,3.972
6,4.003
7,4.024
8,4.048
9,4.066
10,4.082
11,4.099
12,4.112
13,4.124
14,4.136
15,4.149
16,4.160
17,4.168
18,4.178
19,4.188
20,4.198
21,4.208
22,4.216
23,4.224
24,4.232
25,4.240
26,4.247
27,4.255
28,4.263
29,4.270
30,4.276
31,4.283
32,4.291
33,4.297
34,4.304
35,4.311
36,4.317
37,4.323
38,4.330
39,4.336
40,4.342
41,4.349
42,4.355
43,4.361
44,4.368
45,4.374
46,4.381
47,4.388
48,4.393
49,4.400
50,4.406
51,4.414
52,4.420
53,4.427
54,4.434
55,4.441
56,4.448
57,4.456
58,4.462
59,4.471
60,4.479
61,4.488
62,4.497
63,4.507
64,4.516
65,4.526
66,4.537
67,4.549
68,4.561
69,4.584
70,4.610
71,4.647
72,4.741
73,5.337
74,5.421
75,5.481
76,5.532
77,5.593
78,5.682
79,5.906
80,6.523
81,6.711
82,6.834
83,7.924
84,8.148
85,8.233
86,8.317
87,8.415
88,8.785
89,10.765
90,10.880
91,10.939
92,11.000
93,11.081
94,11.166
95,11.306
96,13.702
97,15.896
98,16.630
99,24.135
100,38.493
