Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/jsonresponse?seed=1004&arraysize=10000&requestnumber=8479,1,0,5.48174895811826,5.48174895811826,5.48174895811826,5.48174895811826,289.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=1017&arraysize=10000&requestnumber=9597,1,0,5.59845200041309,5.59845200041309,5.59845200041309,5.59845200041309,288.0,0.0010009448430155455,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=1036&arraysize=10000&requestnumber=3238,1,0,5.703893955796957,5.703893955796957,5.703893955796957,5.703893955796957,287.0,0.0010009448430155455,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=1052&arraysize=10000&requestnumber=4510,1,0,4.8154250252991915,4.8154250252991915,4.8154250252991915,4.8154250252991915,288.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=1052&arraysize=10000&requestnumber=9213,1,0,5.642084986902773,5.642084986902773,5.642084986902773,5.642084986902773,287.0,0.0010009448430155455,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=1059&arraysize=10000&requestnumber=5413,1,0,4.606071044690907,4.606071044690907,4.606071044690907,4.606071044690907,290.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=1063&arraysize=10000&requestnumber=6826,1,0,5.036934977397323,5.036934977397323,5.036934977397323,5.036934977397323,289.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=1073&arraysize=10000&requestnumber=2719,1,0,5.313383997417986,5.313383997417986,5.313383997417986,5.313383997417986,288.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=1080&arraysize=10000&requestnumber=4418,1,0,4.429400956723839,4.429400956723839,4.429400956723839,4.429400956723839,290.0,0.0010009448430155455,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/jsonresponse?seed=1089&arraysize=10000&requestnumber=23,1,0,5.327027989551425,5.327027989551425,5.327027989551425,5.327027989551425,286.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=1094&arraysize=10000&requestnumber=1179,1,0,5.433582991827279,5.433582991827279,5.433582991827279,5.433582991827279,287.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=111&arraysize=10000&requestnumber=2185,1,0,19.488178950268775,19.488178950268775,19.488178950268775,19.488178950268775,286.0,0.0010009448430155455,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/jsonresponse?seed=111&arraysize=10000&requestnumber=2515,1,0,5.3909270209260285,5.3909270209260285,5.3909270209260285,5.3909270209260285,286.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=113&arraysize=10000&requestnumber=1789,1,0,4.645709996111691,4.645709996111691,4.645709996111691,4.645709996111691,288.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=113&arraysize=10000&requestnumber=1999,1,0,6.628968985751271,6.628968985751271,6.628968985751271,6.628968985751271,287.0,0.0010009448430155455,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/jsonresponse?seed=1155&arraysize=10000&requestnumber=9572,1,0,5.02123695332557,5.02123695332557,5.02123695332557,5.02123695332557,288.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=1157&arraysize=10000&requestnumber=1180,1,0,4.714907961897552,4.714907961897552,4.714907961897552,4.714907961897552,286.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=1158&arraysize=10000&requestnumber=4779,1,0,5.640765011776239,5.640765011776239,5.640765011776239,5.640765011776239,288.0,0.0010009448430155455,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=1169&arraysize=10000&requestnumber=6860,1,0,8.659735962282866,8.659735962282866,8.659735962282866,8.659735962282866,289.0,0.0010009448430155455,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/jsonresponse?seed=1172&arraysize=10000&requestnumber=5855,1,0,5.378647008910775,5.378647008910775,5.378647008910775,5.378647008910775,288.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=1188&arraysize=10000&requestnumber=2716,1,0,16.491612943354994,16.491612943354994,16.491612943354994,16.491612943354994,287.0,0.0010009448430155455,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/jsonresponse?seed=1198&arraysize=10000&requestnumber=6886,1,0,5.44953701319173,5.44953701319173,5.44953701319173,5.44953701319173,288.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=1200&arraysize=10000&requestnumber=6525,1,0,6.961539969779551,6.961539969779551,6.961539969779551,6.961539969779551,287.0,0.0010009448430155455,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/jsonresponse?seed=1205&arraysize=10000&requestnumber=1611,1,0,5.570002016611397,5.570002016611397,5.570002016611397,5.570002016611397,288.0,0.0010009448430155455,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=1250&arraysize=10000&requestnumber=8824,1,0,12.726470013149083,12.726470013149083,12.726470013149083,12.726470013149083,285.0,0.0010009448430155455,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/jsonresponse?seed=1257&arraysize=10000&requestnumber=7247,1,0,5.3208209574222565,5.3208209574222565,5.3208209574222565,5.3208209574222565,288.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=1279&arraysize=10000&requestnumber=4897,1,0,5.469832976814359,5.469832976814359,5.469832976814359,5.469832976814359,288.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=129&arraysize=10000&requestnumber=3077,1,0,5.150110984686762,5.150110984686762,5.150110984686762,5.150110984686762,287.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=1307&arraysize=10000&requestnumber=9175,1,0,5.297444004099816,5.297444004099816,5.297444004099816,5.297444004099816,287.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=1315&arraysize=10000&requestnumber=837,1,0,10.630699980538338,10.630699980538338,10.630699980538338,10.630699980538338,286.0,0.0010009448430155455,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/jsonresponse?seed=1316&arraysize=10000&requestnumber=9918,1,0,5.3306169575080276,5.3306169575080276,5.3306169575080276,5.3306169575080276,289.0,0.0010009448430155455,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=1320&arraysize=10000&requestnumber=707,1,0,7.074082037433982,7.074082037433982,7.074082037433982,7.074082037433982,287.0,0.0010009448430155455,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/jsonresponse?seed=1321&arraysize=10000&requestnumber=7273,1,0,5.503216001670808,5.503216001670808,5.503216001670808,5.503216001670808,287.0,0.0010009448430155455,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=1338&arraysize=10000&requestnumber=4566,1,0,6.618063023779541,6.618063023779541,6.618063023779541,6.618063023779541,289.0,0.0010009448430155455,0.0,7,7,7,7,7,7,7,7,7,7,7
