Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/jsonresponse?seed=0&arraysize=10000&requestnumber=435,2,0,5,25.511966028716415,4.856616025790572,46.16731603164226,286.0,0.0020028636572778577,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/jsonresponse?seed=0&arraysize=10000&requestnumber=486,2,0,5,24.6193865314126,4.776415065862238,44.462357996962965,287.0,0.0020028636572778577,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/jsonresponse?seed=1&arraysize=10000&requestnumber=9300,2,0,11,31.20068652788177,10.68972796201706,51.71164509374648,288.0,0.0020028636572778577,0.0,52,52,52,52,52,52,52,52,52,52,52
GET,/jsonresponse?seed=10&arraysize=10000&requestnumber=7329,2,0,7,26.751375466119498,6.610963959246874,46.89178697299212,289.0,0.0020028636572778577,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/jsonresponse?seed=10&arraysize=10000&requestnumber=8395,2,0,5,26.136780972592533,4.863673006184399,47.409888939000666,289.0,0.0020028636572778577,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/jsonresponse?seed=100&arraysize=10000&requestnumber=5629,2,0,5,25.513523491099477,4.882807959802449,46.144239022396505,287.0,0.0020028636572778577,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/jsonresponse?seed=1000&arraysize=10000&requestnumber=938,2,0,5,25.14354302547872,4.7662920551374555,45.520793995819986,290.0,0.0020028636572778577,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/jsonresponse?seed=10000&arraysize=10000&requestnumber=5366,2,0,5,25.12978797312826,4.873570986092091,45.38600496016443,292.0,0.0020028636572778577,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=10000&arraysize=10000&requestnumber=8506,2,0,5,24.63042747694999,4.776878980919719,44.48397597298026,292.0,0.0020028636572778577,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/jsonresponse?seed=1001&arraysize=10000&requestnumber=3539,2,0,5,24.641726457048208,4.830731893889606,44.45272102020681,288.0,0.0020028636572778577,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/jsonresponse?seed=1001&arraysize=10000&requestnumber=6371,2,0,5,25.64040751894936,4.786354023963213,46.494461013935506,289.0,0.0020028636572778577,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/jsonresponse?seed=1002&arraysize=10000&requestnumber=8350,2,0,5,25.137422024272382,4.866461036726832,45.40838301181793,289.0,0.0020028636572778577,0.0,45,45,45,45,45,45,45,45,45,45,45
