Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/jsonresponse?seed=105&arraysize=10000&requestnumber=1455,1,0,6.416363001335412,6.416363001335412,6.416363001335412,6.416363001335412,288.0,0.010095316783809063,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=1183&arraysize=10000&requestnumber=5653,1,0,8.269092999398708,8.269092999398708,8.269092999398708,8.269092999398708,289.0,0.010095316783809063,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/jsonresponse?seed=1244&arraysize=10000&requestnumber=7094,1,0,13.814804027788341,13.814804027788341,13.814804027788341,13.814804027788341,288.0,0.010095316783809063,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/jsonresponse?seed=1320&arraysize=10000&requestnumber=22,1,0,6.752809975296259,6.752809975296259,6.752809975296259,6.752809975296259,287.0,0.010095316783809063,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/jsonresponse?seed=1567&arraysize=10000&requestnumber=8277,1,0,6.513433007057756,6.513433007057756,6.513433007057756,6.513433007057756,287.0,0.010095316783809063,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/jsonresponse?seed=1595&arraysize=10000&requestnumber=5635,1,0,5.858120042830706,5.858120042830706,5.858120042830706,5.858120042830706,287.0,0.010095316783809063,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=1616&arraysize=10000&requestnumber=7487,1,0,7.128681987524033,7.128681987524033,7.128681987524033,7.128681987524033,288.0,0.010095316783809063,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/jsonresponse?seed=1630&arraysize=10000&requestnumber=6948,1,0,6.739483971614391,6.739483971614391,6.739483971614391,6.739483971614391,288.0,0.010095316783809063,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/jsonresponse?seed=1651&arraysize=10000&requestnumber=5327,1,0,7.737578998785466,7.737578998785466,7.737578998785466,7.737578998785466,287.0,0.010095316783809063,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/jsonresponse?seed=1699&arraysize=10000&requestnumber=2676,1,0,6.325217022094876,6.325217022094876,6.325217022094876,6.325217022094876,289.0,0.010095316783809063,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=1762&arraysize=10000&requestnumber=1045,1,0,7.028125983197242,7.028125983197242,7.028125983197242,7.028125983197242,288.0,0.010095316783809063,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/jsonresponse?seed=1928&arraysize=10000&requestnumber=5712,1,0,8.041863969992846,8.041863969992846,8.041863969992846,8.041863969992846,288.0,0.010095316783809063,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/jsonresponse?seed=2030&arraysize=10000&requestnumber=1300,1,0,6.892090023029596,6.892090023029596,6.892090023029596,6.892090023029596,287.0,0.010095316783809063,0.0,7,7,7,7,7,7,7,7,7,7,7
