Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/jsonresponse?seed=1017&arraysize=10000&requestnumber=6815,2,0,25.068662012927234,35.17609048867598,25.068662012927234,45.28351896442473,286.5,0.0020036310476798168,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=1034&arraysize=10000&requestnumber=9363,2,0,5.03104692324996,24.714190454687923,5.03104692324996,44.397333986125886,288.0,0.0020036310476798168,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/jsonresponse?seed=1042&arraysize=10000&requestnumber=3691,2,0,5,25.89016640558839,4.552198923192918,47.22813388798386,289.0,0.0020036310476798168,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/jsonresponse?seed=1061&arraysize=10000&requestnumber=6310,2,0,5,26.278112491127104,4.958122968673706,47.5981020135805,288.0,0.0020036310476798168,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/jsonresponse?seed=1085&arraysize=10000&requestnumber=4033,2,0,5.0639460096135736,25.95354348886758,5.0639460096135736,46.84314096812159,289.0,0.0020036310476798168,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/jsonresponse?seed=1088&arraysize=10000&requestnumber=5852,2,0,5.012857029214501,25.430002016946673,5.012857029214501,45.847147004678845,288.0,0.0020036310476798168,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/jsonresponse?seed=1094&arraysize=10000&requestnumber=4966,2,0,5.222953041084111,26.18839853676036,5.222953041084111,47.15384403243661,287.0,0.0020036310476798168,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/jsonresponse?seed=1107&arraysize=10000&requestnumber=787,2,0,5.094249965623021,26.247574482113123,5.094249965623021,47.400898998603225,288.0,0.0020036310476798168,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/jsonresponse?seed=1108&arraysize=10000&requestnumber=3920,2,0,6,25.518122012726963,5.870088003575802,45.16615602187812,289.0,0.0020036310476798168,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=1109&arraysize=10000&requestnumber=9633,2,0,5,26.456149527803063,4.924188018776476,47.98811103682965,288.0,0.0020036310476798168,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/jsonresponse?seed=1115&arraysize=10000&requestnumber=6466,2,0,5,26.000485464464873,4.895317950285971,47.105652978643775,289.0,0.0020036310476798168,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/jsonresponse?seed=1142&arraysize=10000&requestnumber=4687,2,0,5.158209009096026,25.645167042966932,5.158209009096026,46.13212507683784,290.0,0.0020036310476798168,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/jsonresponse?seed=1143&arraysize=10000&requestnumber=3903,2,0,5,25.119775964412838,4.967400920577347,45.27215100824833,288.0,0.0020036310476798168,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=1150&arraysize=10000&requestnumber=4042,2,0,5,26.606264524161816,4.908118047751486,48.304411000572145,289.0,0.0020036310476798168,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/jsonresponse?seed=1153&arraysize=10000&requestnumber=6208,2,0,5.181103013455868,24.97343102004379,5.181103013455868,44.76575902663171,287.0,0.0020036310476798168,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=1180&arraysize=10000&requestnumber=4200,2,0,5.04544994328171,24.776944948825985,5.04544994328171,44.50843995437026,288.0,0.0020036310476798168,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=1190&arraysize=10000&requestnumber=4700,2,0,5,26.41587652033195,4.996023024432361,47.83573001623154,290.0,0.0020036310476798168,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/jsonresponse?seed=1212&arraysize=10000&requestnumber=3002,2,0,5.299045005813241,26.010806555859745,5.299045005813241,46.72256810590625,289.0,0.0020036310476798168,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/jsonresponse?seed=1225&arraysize=10000&requestnumber=3833,2,0,7,27.30756701203063,6.871027988381684,47.74410603567958,289.0,0.0020036310476798168,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/jsonresponse?seed=1228&arraysize=10000&requestnumber=4167,2,0,5,24.673650972545147,4.965320928022265,44.38198101706803,288.0,0.0020036310476798168,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/jsonresponse?seed=1231&arraysize=10000&requestnumber=6633,2,0,5.114036961458623,25.080285500735044,5.114036961458623,45.046534040011466,288.0,0.0020036310476798168,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=1235&arraysize=10000&requestnumber=1286,2,0,11.187089956365526,30.551335483323783,11.187089956365526,49.91558101028204,288.5,0.0020036310476798168,0.0,50,50,50,50,50,50,50,50,50,50,50
GET,/jsonresponse?seed=1239&arraysize=10000&requestnumber=9545,2,0,5,26.11923642689362,4.8962729051709175,47.342199948616326,290.0,0.0020036310476798168,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/jsonresponse?seed=1246&arraysize=10000&requestnumber=4677,2,0,5.2818349795416,25.455612980294973,5.2818349795416,45.629390981048346,287.5,0.0020036310476798168,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/jsonresponse?seed=1249&arraysize=10000&requestnumber=6092,2,0,5.2342889830470085,26.021332945674658,5.2342889830470085,46.80837690830231,289.0,0.0020036310476798168,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/jsonresponse?seed=1249&arraysize=10000&requestnumber=9798,2,0,5,24.76234402274713,4.957127035595477,44.56756100989878,288.0,0.0020036310476798168,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=1288&arraysize=10000&requestnumber=5837,2,0,5.062690004706383,24.78271198924631,5.062690004706383,44.502733973786235,289.0,0.0020036310476798168,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=1326&arraysize=10000&requestnumber=7877,2,0,5,26.369396538939327,4.994413000531495,47.74438007734716,289.0,0.0020036310476798168,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/jsonresponse?seed=1327&arraysize=10000&requestnumber=2000,2,0,5,26.611834007781,4.91260108537972,48.31106693018228,289.0,0.0020036310476798168,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/jsonresponse?seed=1327&arraysize=10000&requestnumber=2360,2,0,5.2312290063127875,26.963406009599566,5.2312290063127875,48.695583012886345,288.0,0.0020036310476798168,0.0,49,49,49,49,49,49,49,49,49,49,49
GET,/jsonresponse?seed=1359&arraysize=10000&requestnumber=6939,2,0,5,24.974637490231544,4.985566949471831,44.963708030991256,287.0,0.0020036310476798168,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=1361&arraysize=10000&requestnumber=2793,2,0,5.166436894796789,25.621289445552975,5.166436894796789,46.07614199630916,288.0,0.0020036310476798168,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/jsonresponse?seed=1364&arraysize=10000&requestnumber=7051,2,0,5,26.48665802553296,4.916921025142074,48.05639502592385,289.0,0.0020036310476798168,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/jsonresponse?seed=1366&arraysize=10000&requestnumber=4352,2,0,5,24.741956498473883,4.9924979684874415,44.491415028460324,290.0,0.0020036310476798168,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/jsonresponse?seed=1383&arraysize=10000&requestnumber=2492,2,0,5.088307079859078,26.23298903927207,5.088307079859078,47.37767099868506,289.0,0.0020036310476798168,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/jsonresponse?seed=1404&arraysize=10000&requestnumber=8514,2,0,4.354011965915561,25.97184496698901,4.354011965915561,47.58967796806246,289.0,0.0020036310476798168,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/jsonresponse?seed=1420&arraysize=10000&requestnumber=5382,2,0,5.094660096801817,36.76472505321726,5.094660096801817,68.4347900096327,289.0,0.0020036310476798168,0.0,68,68,68,68,68,68,68,68,68,68,68
