Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/jsonresponse?seed=0&arraysize=10000&requestnumber=3023,2,0,3.4478959860280156,23.80640199407935,3.4478959860280156,44.16490800213069,289.0,0.0020047812445607625,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/jsonresponse?seed=1&arraysize=10000&requestnumber=5309,2,0,5.007490981370211,25.14975401572883,5.007490981370211,45.29201705008745,285.0,0.0020047812445607625,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=1&arraysize=10000&requestnumber=6103,2,0,4,28.516524529550225,3.859949065372348,53.1730999937281,286.5,0.0020047812445607625,0.0,53,53,53,53,53,53,53,53,53,53,53
GET,/jsonresponse?seed=10&arraysize=10000&requestnumber=2555,2,0,5,24.64181400137022,4.869280965067446,44.414347037673,288.0,0.0020047812445607625,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/jsonresponse?seed=10&arraysize=10000&requestnumber=6565,2,0,11,28.254212462343276,10.803443961776793,45.70498096290976,288.0,0.0020047812445607625,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/jsonresponse?seed=10&arraysize=10000&requestnumber=8812,2,0,4.47787600569427,24.980316520668566,4.47787600569427,45.48275703564286,288.0,0.0020047812445607625,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=1000&arraysize=10000&requestnumber=1513,2,0,5.044722929596901,25.155127455946058,5.044722929596901,45.265531982295215,291.0,0.0020047812445607625,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=1000&arraysize=10000&requestnumber=7053,2,0,5,25.151588022708893,4.890811047516763,45.41236499790102,291.0,0.0020047812445607625,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=10000&arraysize=10000&requestnumber=2375,2,0,12.16394396033138,29.52846750849858,12.16394396033138,46.89299105666578,293.0,0.0020047812445607625,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/jsonresponse?seed=10000&arraysize=10000&requestnumber=4569,2,0,5,25.182601530104876,4.961071070283651,45.4041319899261,292.0,0.0020047812445607625,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=1001&arraysize=10000&requestnumber=2522,2,0,6.096240016631782,27.09508704720065,6.096240016631782,48.09393407776952,287.0,0.0020047812445607625,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/jsonresponse?seed=1001&arraysize=10000&requestnumber=3131,2,0,7.04324000980705,25.30592551920563,7.04324000980705,43.56861102860421,287.0,0.0020047812445607625,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/jsonresponse?seed=1003&arraysize=10000&requestnumber=124,2,0,5,25.621328444685787,4.992290982045233,46.25036590732634,291.0,0.0020047812445607625,0.0,46,46,46,46,46,46,46,46,46,46,46
GET,/jsonresponse?seed=1003&arraysize=10000&requestnumber=1570,2,0,5,25.145804916974157,4.900669911876321,45.39093992207199,291.0,0.0020047812445607625,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/jsonresponse?seed=1003&arraysize=10000&requestnumber=4418,2,0,5,26.213895995169878,4.661642946302891,47.766149044036865,292.0,0.0020047812445607625,0.0,48,48,48,48,48,48,48,48,48,48,48
