Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1699068786,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1699068787,435,,Aggregated,0.000000,0.000000,150,490,550,580,630,650,730,760,770,770,770,368,0,150.0,320.5605784677692,34.43149899248965,769.7564520058222,227.0
1699068788,435,,Aggregated,0.000000,0.000000,180,440,600,1400,1600,1700,1900,1900,1900,1900,1900,1196,0,180.0,533.8987414533979,34.43149899248965,1911.2229570018826,227.0
1699068789,435,,Aggregated,0.000000,0.000000,310,400,520,590,1600,1700,1900,1900,2000,2000,2000,1840,0,310.0,497.8238591729836,34.43149899248965,1961.1590499989688,227.1858695652174
1699068790,435,,Aggregated,250.500000,0.000000,350,480,520,570,1600,1700,1900,1900,3600,3600,3600,2567,0,350.0,511.8103403218303,34.43149899248965,3632.0721249940107,227.4164394234515
1699068791,435,,Aggregated,414.333333,0.000000,370,490,540,570,1300,1600,1800,1900,3600,3600,3600,3254,0,370.0,504.95012148864237,34.43149899248965,3632.0721249940107,227.53964351567302
1699068792,435,,Aggregated,484.750000,0.000000,390,510,560,580,730,1600,1700,1900,3600,3600,3600,3982,0,390.0,501.6525208611333,34.43149899248965,3632.0721249940107,227.6238071320944
1699068794,435,,Aggregated,542.333333,0.000000,390,520,560,580,640,1600,1700,1900,3600,3600,3600,4702,0,390.0,494.9187232909832,34.43149899248965,3632.0721249940107,227.68141216503616
1699068795,435,,Aggregated,568.857143,0.000000,390,530,560,580,650,1600,1700,1900,3600,3600,3600,5352,0,390.0,495.2868015486278,34.43149899248965,3632.0721249940107,227.72010463378177
1699068796,435,,Aggregated,582.750000,0.000000,390,540,560,580,640,1500,1700,1800,3600,3600,3600,6083,0,390.0,491.4838506065178,34.43149899248965,3632.0721249940107,227.75373993095513
1699068797,435,,Aggregated,587.444444,0.000000,400,540,570,580,650,1100,1700,1700,3600,3600,3600,6737,0,400.0,491.3206720138837,34.43149899248965,3632.0721249940107,227.7776458364257
1699068798,435,,Aggregated,597.100000,0.000000,400,540,570,580,640,910,1700,1700,3600,3600,3600,7398,0,400.0,489.1084118669332,34.43149899248965,3632.0721249940107,227.79751284130847
1699068799,435,,Aggregated,661.800000,0.000000,410,550,570,580,640,770,1600,1700,3600,3600,3600,8131,0,410.0,489.8507989633107,34.43149899248965,3632.0721249940107,227.81576681834952
1699068800,435,,Aggregated,681.000000,0.000000,410,550,570,580,640,670,1600,1700,3600,3600,3600,8797,0,410.0,487.8155453025538,34.43149899248965,3632.0721249940107,227.82971467545755
1699068801,435,,Aggregated,669.200000,0.000000,420,550,570,580,640,660,1600,1700,3600,3600,3600,9536,0,420.0,488.03044311718435,34.43149899248965,3632.0721249940107,227.8429110738255
1699068802,435,,Aggregated,669.400000,0.000000,420,550,570,590,640,660,1600,1700,2000,3600,3600,10231,0,420.0,487.6897066001795,34.43149899248965,3632.0721249940107,227.85358225002443
1699068803,435,,Aggregated,666.300000,0.000000,420,550,570,590,640,660,1600,1700,2000,3600,3600,10927,0,420.0,486.8237977140679,34.43149899248965,3632.0721249940107,227.86290839205637
1699068804,435,,Aggregated,667.100000,0.000000,420,550,580,590,640,660,1600,1700,2000,3600,3600,11570,0,420.0,487.3367145071207,34.43149899248965,3632.0721249940107,227.8705272255834
1699068805,435,,Aggregated,662.700000,0.000000,430,550,580,590,640,660,1600,1700,1900,3600,3600,12289,0,430.0,486.68443719687366,34.43149899248965,3632.0721249940107,227.87810236797137
1699068806,435,,Aggregated,662.100000,0.000000,430,550,580,590,640,660,1600,1700,1900,3600,3600,12958,0,430.0,487.03304726495725,34.43149899248965,3632.0721249940107,227.88439574008333
1699068807,435,,Aggregated,658.500000,0.000000,420,550,580,590,640,660,1600,1700,1900,3600,3600,13693,0,420.0,486.1340717596716,34.43149899248965,3632.0721249940107,227.89060103702622
1699068808,435,,Aggregated,659.100000,0.000000,430,550,580,590,640,660,1500,1700,1900,3600,3600,14378,0,430.0,486.69592516591337,34.43149899248965,3632.0721249940107,227.89581304771178
1699068809,435,,Aggregated,661.400000,0.000000,430,550,580,590,630,660,1500,1700,1900,3600,3600,15096,0,430.0,485.53418681018826,34.43149899248965,3632.0721249940107,227.9007684154743
1699068810,435,,Aggregated,660.900000,0.000000,430,550,580,590,640,660,1400,1600,1900,3600,3600,15798,0,430.0,486.14391516023903,34.43149899248965,3632.0721249940107,227.90707684517028
1699068811,435,,Aggregated,657.200000,0.000000,430,550,580,590,630,660,1200,1600,1900,3600,3600,16510,0,430.0,485.16255906369196,34.43149899248965,3632.0721249940107,227.9542095699576
1699068812,435,,Aggregated,657.600000,0.000000,430,550,580,590,640,660,1100,1600,1900,3600,3600,17160,0,430.0,485.95346883761846,34.43149899248965,3632.0721249940107,227.99382284382284
1699068813,435,,Aggregated,659.200000,0.000000,430,550,580,590,630,660,1000,1600,1900,3600,3600,17876,0,430.0,485.1063428705208,34.43149899248965,3632.0721249940107,228.03412396509287
1699068815,435,,Aggregated,656.100000,0.000000,430,550,580,590,640,660,960,1600,1900,3600,3600,18523,0,430.0,485.8529187975592,34.43149899248965,3632.0721249940107,228.06786157749823
1699068816,435,,Aggregated,659.300000,0.000000,430,550,580,590,640,660,940,1600,1900,3600,3600,19189,0,430.0,485.3060500422682,34.43149899248965,3632.0721249940107,228.10021366407838
1699068817,435,,Aggregated,660.700000,0.000000,440,550,580,590,640,660,910,1600,1900,3600,3600,19931,0,440.0,485.87663810060144,34.43149899248965,3632.0721249940107,228.1337113039988
1699068818,435,,Aggregated,659.900000,0.000000,430,550,580,590,640,660,840,1600,1900,3600,3600,20596,0,430.0,485.53238919039256,34.43149899248965,3632.0721249940107,228.1616818799767
1699068819,435,,Aggregated,660.300000,0.000000,440,550,580,590,640,670,830,1600,1900,3600,3600,21316,0,440.0,485.9037713350768,34.43149899248965,3632.0721249940107,228.18999812347533
1699068820,435,,Aggregated,658.900000,0.000000,440,550,580,590,640,670,830,1600,1900,3600,3600,21997,0,440.0,485.77624227657583,34.43149899248965,3632.0721249940107,228.21507478292494
1699068821,435,,Aggregated,658.800000,0.000000,440,550,580,590,640,670,810,1600,1900,3600,3600,22705,0,440.0,485.7398361987586,34.43149899248965,3632.0721249940107,228.23955075974456
1699068822,435,,Aggregated,657.400000,0.000000,440,550,580,590,640,670,810,1600,1900,3600,3600,23340,0,440.0,485.9346609415904,34.43149899248965,3632.0721249940107,228.26023993144815
1699068823,435,,Aggregated,659.400000,0.000000,440,550,580,590,640,670,810,1600,1900,3600,3600,24055,0,440.0,486.11461309431974,34.43149899248965,3632.0721249940107,228.28222822697984
