HeapAlloc: 8299920, HeapIdle: 11419648, HeapInuse: 8994816
HeapAlloc: 8290544, HeapIdle: 11337728, HeapInuse: 9011200
HeapAlloc: 8287872, HeapIdle: 11419648, HeapInuse: 8994816
HeapAlloc: 8288944, HeapIdle: 11345920, HeapInuse: 9003008
HeapAlloc: 8288288, HeapIdle: 11395072, HeapInuse: 8986624
HeapAlloc: 8289360, HeapIdle: 11345920, HeapInuse: 9003008
HeapAlloc: 16306768, HeapIdle: 3383296, HeapInuse: 16998400
HeapAlloc: 16307840, HeapIdle: 3334144, HeapInuse: 17014784
HeapAlloc: 8291328, HeapIdle: 19759104, HeapInuse: 8978432
HeapAlloc: 8290288, HeapIdle: 19742720, HeapInuse: 8994816
HeapAlloc: 8290920, HeapIdle: 19759104, HeapInuse: 8978432
HeapAlloc: 8289880, HeapIdle: 19742720, HeapInuse: 8994816
HeapAlloc: 8291600, HeapIdle: 19750912, HeapInuse: 8986624
HeapAlloc: 8289888, HeapIdle: 19742720, HeapInuse: 8994816
HeapAlloc: 8291696, HeapIdle: 19750912, HeapInuse: 8986624
HeapAlloc: 8287760, HeapIdle: 19742720, HeapInuse: 8994816
HeapAlloc: 8292112, HeapIdle: 19750912, HeapInuse: 8986624
HeapAlloc: 8289888, HeapIdle: 19742720, HeapInuse: 8994816
HeapAlloc: 8292528, HeapIdle: 19750912, HeapInuse: 8986624
HeapAlloc: 8289896, HeapIdle: 19742720, HeapInuse: 8994816
HeapAlloc: 8292944, HeapIdle: 19750912, HeapInuse: 8986624
HeapAlloc: 8289992, HeapIdle: 19742720, HeapInuse: 8994816
HeapAlloc: 8293360, HeapIdle: 19750912, HeapInuse: 8986624
HeapAlloc: 8290408, HeapIdle: 19742720, HeapInuse: 8994816
HeapAlloc: 8293776, HeapIdle: 19750912, HeapInuse: 8986624
HeapAlloc: 8290920, HeapIdle: 19742720, HeapInuse: 8994816
HeapAlloc: 8293776, HeapIdle: 19750912, HeapInuse: 8986624
HeapAlloc: 8291592, HeapIdle: 19734528, HeapInuse: 9003008
HeapAlloc: 8293776, HeapIdle: 19750912, HeapInuse: 8986624
HeapAlloc: 8292008, HeapIdle: 19734528, HeapInuse: 9003008
HeapAlloc: 8293776, HeapIdle: 19750912, HeapInuse: 8986624
HeapAlloc: 8292424, HeapIdle: 19734528, HeapInuse: 9003008
HeapAlloc: 8293776, HeapIdle: 19750912, HeapInuse: 8986624
HeapAlloc: 8292840, HeapIdle: 19734528, HeapInuse: 9003008
HeapAlloc: 8294192, HeapIdle: 19750912, HeapInuse: 8986624
HeapAlloc: 8293256, HeapIdle: 19734528, HeapInuse: 9003008
HeapAlloc: 8294608, HeapIdle: 19750912, HeapInuse: 8986624
HeapAlloc: 8293680, HeapIdle: 19734528, HeapInuse: 9003008
HeapAlloc: 8297232, HeapIdle: 19718144, HeapInuse: 8986624
HeapAlloc: 8294096, HeapIdle: 19734528, HeapInuse: 9003008
HeapAlloc: 8295104, HeapIdle: 19718144, HeapInuse: 8986624
HeapAlloc: 8294512, HeapIdle: 19734528, HeapInuse: 9003008
HeapAlloc: 8297648, HeapIdle: 19718144, HeapInuse: 8986624
HeapAlloc: 8294928, HeapIdle: 19734528, HeapInuse: 9003008
HeapAlloc: 8298064, HeapIdle: 19718144, HeapInuse: 8986624
HeapAlloc: 8295344, HeapIdle: 19734528, HeapInuse: 9003008
HeapAlloc: 8298480, HeapIdle: 19718144, HeapInuse: 8986624
