d3210b05362c42d0a10b05362c32d05a: cold
acf429301c654dd5b429301c656dd5fa: warm
60307552c63445bbb07552c63405bb56: warm
99d13a510cc1498c913a510cc1298c35: warm
2d73705a50684822b3705a506878221c: warm
8d51e47a04064db791e47a04062db737: warm
39c0f398ea284a6e80f398ea28ca6ed7: warm
a565086792524373a508679252737314: warm
1014e46a6476491894e46a6476c91897: warm
fed3732291c449c393732291c4c9c30d: warm
56e70656911b49a5a70656911b09a565: warm
0775377f7f0e4da7b5377f7f0e3da794: warm
bba6422e4d5b4ab6a6422e4d5b1ab692: warm
d3e8e5231f704845a8e5231f7008454d: warm
cb1de12bb14c4d209de12bb14cdd200e: warm
416ff0a7b4a94b15aff0a7b4a90b1545: warm
fcaf7de514c64908af7de514c60908f2: warm
98cd6bb78cfa43c58d6bb78cfae3c59d: warm
6dc1c2cab6a546a081c2cab6a5a6a088: warm
265c39036a4343609c39036a43e36094: warm
1379c5dcb96f43c4b9c5dcb96fd3c4c9: warm
de11328b4e9e47b291328b4e9e17b201: warm
df62d9d919f34022a2d9d919f3402290: warm
b46a8e856d2e42c0aa8e856d2e72c0b9: warm
146f276696924218af27669692921863: warm
4a886822a0514e92886822a0519e925d: warm
a65c242927744bcf9c242927748bcfcb: warm
e0e290e9a9e84caaa290e9a9e8fcaa31: warm
80c60f54ea4b4f57860f54ea4baf57ba: warm
6e483b43265244a9883b43265204a993: warm
c13a38e737724b3bba38e73772ab3b4f: warm
a13df91b59474874bdf91b59478874f0: warm
81fcfd1f04d04450bcfd1f04d04450bc: warm
c5b53cee189541cab53cee1895e1ca5b: warm
0ff30a9d9c5547abb30a9d9c5587abec: warm
824a8481a58740be8a8481a58710bee5: warm
e901c6a014cd47d581c6a014cd27d58c: warm
e1dea2d7a82a48a59ea2d7a82aa8a560: warm
38344e2ed2314a75b44e2ed2315a7576: warm
f685b6fe28bb458985b6fe28bb05899c: warm
159cd5b154d843f19cd5b154d873f13d: warm
50007ec7c1c8489a807ec7c1c8a89a96: warm
07dbd7c8619c4d469bd7c8619cad46db: warm
2deb67cafdf14943ab67cafdf1e943a6: warm
d67e7fee2ebe46a0be7fee2ebee6a065: warm
b51cfdbb722d42e39cfdbb722d02e310: warm
4150459be05b4f3190459be05bbf3118: warm
e7c10eed8d18493e810eed8d18393e58: warm
9035963c1dc044d1b5963c1dc084d1c4: warm
75fa9548f1c241a7ba9548f1c211a732: warm
27b596642c984e51b596642c987e517c: warm
150f9cac0d2c492d8f9cac0d2c492db2: warm
7ef4d2a44ee649efb4d2a44ee659ef0a: warm
b7e890c89e6940c6a890c89e69c0c6ed: warm
4f6fdf18240e4686afdf18240e468648: warm
eda856b0d25c4176a856b0d25ce17646: warm
6bfc01ce815e4061bc01ce815e706183: warm
a708eb399e1d42a488eb399e1d92a44d: warm
b549970b753c43a389970b753ce3a323: warm
3316bb1dc7884f4d96bb1dc7885f4d4f: warm
e78e748e6a3b4bb18e748e6a3b8bb1b0: warm
b9b4370f543141d7b4370f5431e1d753: warm
ddd56afd49944e36956afd49940e363d: warm
8ccc22197b1645108c22197b16b51059: warm
badcc7be33f948e69cc7be33f9b8e69c: warm
86fc9475b6034029bc9475b603c0294a: warm
053e4bb9339e4dc2be4bb9339e9dc2d6: warm
551dcb3a316146679dcb3a3161e667a6: warm
be30562c9de643bdb0562c9de623bdef: warm
45d577be0a534f579577be0a534f579b: warm
ad0d067e1f5647818d067e1f56f7818d: warm
438d3fa0fddc49a38d3fa0fddcd9a359: warm
2efc7c2363814877bc7c236381c877e1: warm
c098b79f42f2489798b79f42f2d89791: warm
b24f7eb5b0304ff98f7eb5b030aff954: warm
d0a17ce56d6348d1a17ce56d63a8d1b3: warm
cab21e13650e46c6b21e13650e86c63b: warm
b13b012a51354377bb012a51354377e0: warm
6ca131e0bc944c5ba131e0bc94fc5bdc: warm
f740d70b37b8490680d70b37b83906b6: warm
40291d8b070449b7a91d8b070429b7ef: warm
551141cf0af24b369141cf0af28b365f: warm
e32ad0cdc5654c59aad0cdc5657c5998: warm
cf6fa649a5e14191afa649a5e121915c: warm
559e832f5ee142439e832f5ee14243af: warm
9b82071f2939496c82071f2939496c6f: warm
d2f528c90c2f41feb528c90c2fc1fe45: warm
68ff5bda78be4df5bf5bda78beddf5bb: warm
c895278a65334a0c95278a65335a0c93: warm
e73c75bdc2eb4555bc75bdc2eb55557a: warm
6957ebbaa227488e97ebbaa227f88e59: warm
13584fddc90c4f91984fddc90c9f91e5: warm
d81f8bfbaed94b409f8bfbaed9bb4095: warm
ef4c6445c4e9416b8c6445c4e9d16b56: warm
02f91d5e18b44155b91d5e18b4a1551d: warm
8f332055d93c4880b32055d93c38807b: warm
31c22167cd014b63822167cd014b639a: warm
4165a94f223d4162a5a94f223d61623a: warm
229e5a0ab7d847309e5a0ab7d83730ab: warm
a703e9424ea54bb183e9424ea5cbb141: warm
8a147005e1004769947005e100b76949: warm
70896fc5b9604508896fc5b960c508ef: warm
aebbd56b2cfd40bdbbd56b2cfde0bdcb: warm
5ffc3aaa7e9b491cbc3aaa7e9bd91c25: warm
a12b78ad316c4716ab78ad316c57162f: warm
d0b2712731074bf4b2712731078bf499: warm
ce0ceb6066244bcd8ceb6066241bcd59: warm
18f86099603a4a4bb86099603a1a4b2c: warm
e0fbff86a7844d3cbbff86a7841d3c7d: warm
4265a818e5244df7a5a818e524cdf719: warm
6f28ce402fdf4e99a8ce402fdfce993c: warm
944bc0c4adc44bdc8bc0c4adc45bdc5a: warm
bc23e277db5044dea3e277db50d4dede: warm
c056b839517e471496b839517e571403: warm
6016c5525121475796c5525121b757c3: warm
4754a4b743254dfc94a4b74325fdfcc3: warm
efa40951f90f4448a40951f90f6448be: warm
e552818d94c44a6692818d94c49a664c: warm
9ffb899c16ae4a20bb899c16ae1a206d: warm
31ce7b08a39e47f58e7b08a39e77f53b: warm
c8b4d71ac88d4014b4d71ac88d50149f: warm
7f68ed3fc8364ad2a8ed3fc8369ad2a7: warm
67febf8d4f154d80bebf8d4f158d80eb: warm
125f71b6532d4a149f71b6532dba1492: warm
2ac23b13cf4c470b823b13cf4c370bc2: warm
0a925f59d37b4fbe925f59d37befbe14: warm
5dfddaa2a1fd4177bddaa2a1fdf1778f: warm
1765128afebd4f4ea5128afebdaf4ef0: warm
d5317068bc7643f8b17068bc7633f8cf: warm
f3e95d50efa3421fa95d50efa3d21f68: warm
7737c14519c0411eb7c14519c0311efb: warm
d2da8e76f98e44769a8e76f98eb476e5: warm
69c79d59999c45fd879d59999c75fde4: warm
819f81dd63eb44aa9f81dd63ebd4aa98: warm
f5d02a26aa0147e5902a26aa0167e589: warm
ca9fc247a49a4abc9fc247a49adabc66: warm
10a742e6398d49b9a742e6398d59b98a: warm
d370c297bde7482db0c297bde7a82d53: warm
3c0ab6c5d6f94da68ab6c5d6f92da665: warm
3ac297c89559401e8297c89559801ed5: warm
37ec72da67ea463aac72da67ea863a04: warm
aa6a40e9e5b44b34aa40e9e5b40b34ef: warm
8eefffe85b07497fafffe85b07a97f76: warm
2e43ca50be1d4eea83ca50be1daeea56: warm
e6b453f794344ddfb453f79434eddf49: warm
18fcf7cb140548c0bcf7cb1405e8c063: warm
861545d42f984eed9545d42f98feedde: warm
5585caf413a5481c85caf413a5781cbb: warm
1e85f7ed8d0146ca85f7ed8d0106ca3e: warm
c720e29111504b94a0e29111508b9477: warm
4e21f3ccacca49b6a1f3ccacca09b688: warm
de6ef6fa5fe04793aef6fa5fe0179341: warm
6b5e51bbe8ec4f3d9e51bbe8ecef3dbb: warm
4408dd9069d34a2a88dd9069d34a2a5a: warm
6d1383b4ef4947689383b4ef4977683b: warm
33bc4f1536a5479ebc4f1536a5f79eee: warm
e67fb2e752634001bfb2e75263c0016f: warm
c582a0b718a4448c82a0b718a4748cba: warm
4173e54b15ec4cc0b3e54b15ec3cc0ea: warm
3bbed8e5af5c4bd8bed8e5af5ccbd8ce: warm
ac611f5365a44b4ba11f5365a41b4bf3: warm
4b94ca1e88e947e694ca1e88e9a7e660: warm
de32f0b6136f43b3b2f0b6136f63b362: warm
359de6a452844be09de6a452842be052: warm
d160ba6727e54d27a0ba6727e5ed27da: warm
9d58a2338cf54ccd98a2338cf5bccd0e: warm
6225093691384680a509369138d680dc: warm
d20057a4158a44bb8057a4158a94bb93: warm
da6c34be97824bf0ac34be97823bf019: warm
71d78ec770794a94978ec770797a94c4: warm
5dee356a92ae4194ae356a92ae919406: warm
3a2234bd45564337a234bd4556033723: warm
62518f41899148b1918f41899148b110: warm
06a0f71966d24531a0f71966d2a531c9: warm
