HeapAlloc: 653824, HeapIdle: 2359296, HeapInuse: 1376256
HeapAlloc: 8464320, HeapIdle: 2940928, HeapInuse: 9052160
HeapAlloc: 8466696, HeapIdle: 2899968, HeapInuse: 9125888
HeapAlloc: 8451744, HeapIdle: 11378688, HeapInuse: 9035776
HeapAlloc: 8454224, HeapIdle: 11313152, HeapInuse: 9101312
HeapAlloc: 8453856, HeapIdle: 11337728, HeapInuse: 9043968
HeapAlloc: 8454640, HeapIdle: 11272192, HeapInuse: 9109504
HeapAlloc: 8455968, HeapIdle: 11304960, HeapInuse: 9043968
HeapAlloc: 8454624, HeapIdle: 11247616, HeapInuse: 9101312
HeapAlloc: 16480616, HeapIdle: 3293184, HeapInuse: 17055744
HeapAlloc: 16478768, HeapIdle: 3235840, HeapInuse: 17113088
HeapAlloc: 8455976, HeapIdle: 19685376, HeapInuse: 9052160
HeapAlloc: 8454632, HeapIdle: 19668992, HeapInuse: 9068544
HeapAlloc: 8455976, HeapIdle: 19693568, HeapInuse: 9043968
HeapAlloc: 8454632, HeapIdle: 19677184, HeapInuse: 9060352
HeapAlloc: 8455984, HeapIdle: 19685376, HeapInuse: 9052160
HeapAlloc: 8454640, HeapIdle: 19668992, HeapInuse: 9068544
HeapAlloc: 8455984, HeapIdle: 19693568, HeapInuse: 9043968
HeapAlloc: 8454640, HeapIdle: 19677184, HeapInuse: 9060352
HeapAlloc: 8455984, HeapIdle: 19685376, HeapInuse: 9052160
HeapAlloc: 8454640, HeapIdle: 19668992, HeapInuse: 9068544
HeapAlloc: 8455992, HeapIdle: 19693568, HeapInuse: 9043968
HeapAlloc: 8454640, HeapIdle: 19677184, HeapInuse: 9060352
HeapAlloc: 16480136, HeapIdle: 11681792, HeapInuse: 17055744
HeapAlloc: 16478784, HeapIdle: 11665408, HeapInuse: 17072128
HeapAlloc: 8458112, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8454648, HeapIdle: 19668992, HeapInuse: 9068544
HeapAlloc: 8458208, HeapIdle: 19660800, HeapInuse: 9043968
HeapAlloc: 8454648, HeapIdle: 19677184, HeapInuse: 9060352
HeapAlloc: 8458208, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8456760, HeapIdle: 19636224, HeapInuse: 9068544
HeapAlloc: 8458208, HeapIdle: 19660800, HeapInuse: 9043968
HeapAlloc: 8459304, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8458208, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8457272, HeapIdle: 19636224, HeapInuse: 9068544
HeapAlloc: 8460752, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8457272, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 16485352, HeapIdle: 11632640, HeapInuse: 17072128
HeapAlloc: 16481416, HeapIdle: 11632640, HeapInuse: 17072128
HeapAlloc: 8458624, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8459824, HeapIdle: 19636224, HeapInuse: 9068544
HeapAlloc: 8458624, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8457696, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8458624, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8457696, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8458624, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8460240, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8458624, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8458112, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8460752, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8458112, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8458624, HeapIdle: 19636224, HeapInuse: 9068544
HeapAlloc: 8458112, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8458624, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8458112, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8458624, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8458112, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8458624, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8460656, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8458624, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8458528, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8458624, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8458528, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8458624, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8458528, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8458624, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8461072, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8458624, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8458944, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8458624, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8458944, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8458624, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8458944, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 16482768, HeapIdle: 11640832, HeapInuse: 17063936
HeapAlloc: 16483088, HeapIdle: 11640832, HeapInuse: 17063936
HeapAlloc: 8458632, HeapIdle: 19660800, HeapInuse: 9043968
HeapAlloc: 8461488, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8458632, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8459360, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8461176, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8459368, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8459048, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8459352, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8459048, HeapIdle: 19660800, HeapInuse: 9043968
HeapAlloc: 8459368, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8459048, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8459368, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 16483192, HeapIdle: 11649024, HeapInuse: 17055744
HeapAlloc: 16484016, HeapIdle: 11640832, HeapInuse: 17063936
HeapAlloc: 8459048, HeapIdle: 19660800, HeapInuse: 9043968
HeapAlloc: 8459368, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8459048, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8461912, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8459048, HeapIdle: 19660800, HeapInuse: 9043968
HeapAlloc: 8459784, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8459048, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8459784, HeapIdle: 19644416, HeapInuse: 9060352
HeapAlloc: 8459048, HeapIdle: 19660800, HeapInuse: 9043968
HeapAlloc: 8459784, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8459048, HeapIdle: 19652608, HeapInuse: 9052160
HeapAlloc: 8462328, HeapIdle: 19644416, HeapInuse: 9060352
