e19e78dbe6754be49e78dbe675bbe453: cold
c48f097fb6184b788f097fb6187b7822: warm
9808acca14ef435688acca14ef8356ae: warm
5efd66f0d96a482cbd66f0d96a482cb8: warm
e82aed1bce6646d2aaed1bce66b6d281: warm
b9c21941a7524e49821941a7528e49a3: warm
598bf8e8bf1a4b8f8bf8e8bf1a9b8fa0: warm
38825844b91a413b825844b91a213b39: warm
b9d0efbe563b417b90efbe563bf17b99: warm
a923dd0c143d4cdfa3dd0c143d6cdf05: warm
03ba1b1f5e3e4fb7ba1b1f5e3ecfb7c7: warm
11706bb089a344c2b06bb089a364c28d: warm
fdaf5d341add499aaf5d341add499aad: warm
63aceb8bf4a9481faceb8bf4a9a81f36: warm
ab0a0887cf5143c08a0887cf51c3c06d: warm
dacadc2cee2a45998adc2cee2a459955: warm
74052001e3cb43ed852001e3cbb3ed5e: warm
9067e5a22aec4a40a7e5a22aec5a40f6: warm
422e8c8891a34ee5ae8c8891a39ee56b: warm
ae9ecc2e8e7b41779ecc2e8e7b9177b1: warm
600ad6654cf4482c8ad6654cf4082c0e: warm
60006f4fd25341f4806f4fd25371f449: warm
ec985e0c933e4034985e0c933e903440: warm
510a9366f5044bef8a9366f5041bef58: warm
40e7e0a672f74649a7e0a672f7d6498c: warm
2a88c78e75534dcb88c78e75535dcb0b: warm
7c1e0277e24d40579e0277e24d005755: warm
225274d3cc61420d9274d3cc61120d01: warm
c856d20160a64d5696d20160a69d561f: warm
e0740c435f4e4905b40c435f4ee9056b: warm
7b60376652cd4855a0376652cdd8550a: warm
1cb4d532968d4b8fb4d532968d9b8f35: warm
7612db7cbdae45da92db7cbdaef5dabb: warm
beb8eb6e26b34d0eb8eb6e26b36d0ee5: warm
64f79c704d164f3db79c704d167f3dbd: warm
f59fa56ca7a94a089fa56ca7a9aa0845: warm
cc846a8aa2f74952846a8aa2f76952e5: warm
aecf26471a7e4f6c8f26471a7e3f6c71: warm
2a520893fb134aed920893fb130aeda7: warm
9ee8915623434e02a891562343be0286: warm
ef4941435ee743678941435ee723672c: warm
33e9f04dc98940a7a9f04dc98990a7b6: warm
7e3148df4fad4a9eb148df4fad5a9e6b: warm
5c170e5de2b64d90970e5de2b61d90cd: warm
77cfd09395754a948fd09395757a94b8: warm
6ab8e4fd7bd94e95b8e4fd7bd9ce9596: warm
66f6eb66115d4346b6eb66115dc34630: warm
995b16a22170494f9b16a22170094f39: warm
ccea184e544d4ae2aa184e544dcae2a0: warm
5409437f9ebf401089437f9ebff0102e: warm
9340122fb60b4c5580122fb60b3c55ae: warm
59658d4705db4744a58d4705dbd744ea: warm
94325359149a4752b25359149ab752a5: warm
930f308d667e4d588f308d667e7d58c5: warm
d1c9ed3dc7404fbe89ed3dc7405fbe8e: warm
c9fe5fc7871d467bbe5fc7871d167b86: warm
4fb23153778e4b14b23153778e8b148d: warm
20b08c8fa81d4943b08c8fa81df9433c: warm
76c51251ec99432c851251ec99732c52: warm
9294d5982d1b45cc94d5982d1b35cc8b: warm
e7c80f9b6bc84a04880f9b6bc86a0405: warm
49051f287f7a4aa5851f287f7a8aa594: warm
b3ada355385841faada3553858f1faa0: warm
6788ca3d9cc2449f88ca3d9cc2a49f64: warm
d9c4cfd7737645f784cfd77376a5f72c: warm
3ac2e6365b57452882e6365b57952887: warm
21b180ec59f94528b180ec59f91528b9: warm
bddb1aadf77a44309b1aadf77af430ba: warm
