7cc9f1bab206401989f1bab2067019f1: cold
f33b8fb119044768bb8fb11904c7685f: warm
b511c0bdc78a4fc591c0bdc78a0fc56a: warm
e20692ef1f984df38692ef1f984df3f7: warm
df7ade4ab8134671bade4ab813b671d2: warm
d7cc4af706f04a548c4af706f0fa5494: warm
5c231ed6097e4040a31ed6097ee04086: warm
dfa43368fb0f4d25a43368fb0f3d2572: warm
92a0352900da49e9a0352900da39e9d1: warm
32aa9d7775994085aa9d777599f08575: warm
56dd915b00a6437d9d915b00a6b37d87: warm
8160b386f31842c2a0b386f31802c2be: warm
5c9c401ddadf4ea29c401ddadf9ea262: warm
4b058221783d40f0858221783d30f0c1: warm
628d67fa2f8e49668d67fa2f8ec966b5: warm
f3e09b6b3ab942a8a09b6b3ab9e2a877: warm
6190d08b9ae54fb090d08b9ae5bfb069: warm
e8f61bf50ae0467eb61bf50ae0467e30: warm
e2428eab0f844b15828eab0f845b15ad: warm
5052fddec955415892fddec955f15873: warm
392120130c9e4325a120130c9e3325fb: warm
83b15e1ef2e34324b15e1ef2e3d324cf: warm
5a1a05fbb5a943db9a05fbb5a9a3dbed: warm
f376880e2a4b44ddb6880e2a4b04ddb0: warm
9913b496db3e480993b496db3e180915: warm
951314af9c6b49d19314af9c6b19d1bd: warm
ae052390c03346e6852390c03376e624: warm
0b916891a2004a0d916891a2009a0da4: warm
7bbbe7f776d0422fbbe7f776d0a22f56: warm
2ae45427536a4c61a45427536adc61d3: warm
49f57b4c090a491fb57b4c090aa91fb0: warm
c81b23d31cbd43f69b23d31cbd43f6ab: warm
128a18754dcc4fd08a18754dcc4fd0cc: warm
ccbf321ff113424dbf321ff113a24d55: warm
0d1d921e09904acf9d921e09907acf2d: warm
35db111c470545329b111c4705953200: warm
af4824c6636342b88824c6636302b85d: warm
20d5794659ac468495794659acb684f5: warm
219fff684c134f899fff684c13bf8979: warm
6702bb7a55c5499b82bb7a55c5f99b14: warm
c201ff5333934d1581ff5333937d1577: warm
0f59b02aec764f3099b02aec76cf30d1: warm
0e0827be8ad54e798827be8ad52e7923: warm
8a9431fc9e7e423c9431fc9e7e523cd8: warm
10de0cb682f542379e0cb682f5423797: warm
68ad39f6b1ff47c6ad39f6b1ff97c6b5: warm
5fa4e0522f9543eca4e0522f9593ec33: warm
fcc9c0095cff41db89c0095cffa1db50: warm
5936172c6edc49e7b6172c6edcc9e744: warm
3aef2ef7fd984214af2ef7fd98b2140a: warm
9216d369a5f340fa96d369a5f3a0fa66: warm
6259c06674b0440a99c06674b0f40afb: warm
979a0fe93ae74b4c9a0fe93ae79b4cb2: warm
8f982023e03a49e6982023e03a99e6e1: warm
05c5f84912554dcf85f8491255edcf5b: warm
6ef2794b79d844d2b2794b79d8b4d223: warm
8d5530ea35dd4bc49530ea35ddbbc41b: warm
1496fe5884964b3596fe5884962b352a: warm
a609276508ba43a089276508ba93a047: warm
e9a6dffd45714437a6dffd4571e437e7: warm
7e56b76c416343fe96b76c416333fe63: warm
a72f09a101834c2faf09a101837c2f5e: warm
28d05d88957249ae905d889572f9ae73: warm
52e45befe4dc4c94a45befe4dc0c94a7: warm
06f21262ee9e4c47b21262ee9e0c4781: warm
2740bd34552f4bbe80bd34552f0bbec8: warm
4bc732deb51346a48732deb513b6a417: warm
437f8760fe224ad7bf8760fe222ad738: warm
9c7bf45d9bea4cf6bbf45d9bea0cf6bb: warm
c15a18c50a4440479a18c50a44b0478b: warm
b4b86b89aae2472cb86b89aae2372ce1: warm
d4fadfcd6de646c4badfcd6de666c4f6: warm
efccd71553b6423b8cd71553b6823b7a: warm
4fb9b3dd79724fdbb9b3dd79728fdb3e: warm
43763e2c61804ad1b63e2c61803ad16a: warm
cb377e30e1244e2eb77e30e124de2efd: warm
8a6e8357f21b4bf0ae8357f21b5bf053: warm
16eae631e594424aaae631e594324ae3: warm
9afc8fe88d9a484bbc8fe88d9ac84bfb: warm
d8e52a3df9a945d2a52a3df9a9a5d283: warm
951f79e8051840fb9f79e80518b0fbeb: warm
b4208add154a4030a08add154ab030ce: warm
b836b920a2bd4707b6b920a2bd1707ba: warm
c71ed257b24847b19ed257b248e7b17d: warm
bf18091bb38d4f1998091bb38daf191c: warm
f92eb4f484374c5daeb4f484378c5dc2: warm
25ea031b840b417baa031b840bc17b22: warm
53bc1130c8184230bc1130c818f230bd: warm
30d8e4efc16a418b98e4efc16ad18b51: warm
e6f9b08d6ad540e8b9b08d6ad560e81d: warm
d7cddd4ab64a4e488ddd4ab64ade48c4: warm
858543ff89c94fc68543ff89c9efc6b3: warm
e4294b22fe364d3aa94b22fe366d3ad1: warm
876a711761c4453daa711761c4453db4: warm
40c06ba452894c5b806ba452894c5b45: warm
0092fed42444458092fed42444f58019: warm
178a9ace0c7e48058a9ace0c7e980568: warm
357fff6e0dc54cdabfff6e0dc57cdab5: warm
e914a773c9c7454b94a773c9c7a54b1e: warm
9d42552e1d1c465a82552e1d1c765ab1: warm
f85fee9e5e2d46dc9fee9e5e2d36dc4a: warm
8b1ba171d9a144819ba171d9a1b48158: warm
f24afb56d1dc4f1f8afb56d1dcbf1fc9: warm
7b5c77e730c34bf39c77e730c35bf3a9: warm
d7f93f8255234c9ab93f825523cc9a00: warm
08dc1e00ae0145049c1e00ae015504a5: warm
faceff7f497042188eff7f4970921816: warm
7b7ef812874e409abef812874ee09ad5: warm
a0324163fcc242beb24163fcc272be00: warm
cb47e1cfea604ad187e1cfea60dad162: warm
e8ce30814a6e462c8e30814a6e962cb5: warm
d54cf40190234d468cf40190231d468f: warm
c164c714f5d34e21a4c714f5d32e2197: warm
9f4874d7e533479a8874d7e533379a5f: warm
843f18fd5702464ebf18fd5702e64ed4: warm
f2647e94dd654c88a47e94dd657c8812: warm
fcaab39222df4c86aab39222df0c8647: warm
1714315cbf0e43ef94315cbf0ec3ef9a: warm
66696e31e253449ea96e31e253f49e96: warm
aa06331cba6c452f86331cba6cb52fcb: warm
d06557068b0f466ea557068b0f266e82: warm
99b5ffc964b346c7b5ffc964b306c7b5: warm
7be377448159411ca377448159111c28: warm
019e76196a8947b69e76196a8967b65e: warm
af3fe3a589a54f71bfe3a589a5ef71ff: warm
2ab579f931ea4537b579f931ea553792: warm
9ec1b60f508f4d4e81b60f508fbd4eaa: warm
7285820dbd054e5f85820dbd057e5f17: warm
64ae62936fa6419aae62936fa6119a13: warm
5c595bb586eb4f53995bb586ebef530b: warm
da84b517a39c4dcc84b517a39c9dccf2: warm
7fad434f32844ae1ad434f3284eae181: warm
cffb6ed9d4484404bb6ed9d448c404c2: warm
8b032ce994324a19832ce994329a1943: warm
268a7a38eed2429a8a7a38eed2c29aec: warm
