45366bda00fe44dab66bda00fea4da46: cold
65ff1cb775a34236bf1cb775a3823611: warm
2677c2c0b6dd4fcab7c2c0b6dd8fcac0: warm
42347232c9e34410b47232c9e39410ba: warm
aa0097a6a1a14f038097a6a1a15f0357: warm
c707411c0b3b426987411c0b3b526979: warm
9ea94c69309a4ed1a94c69309a9ed11e: warm
7fff220a0c2d449dbf220a0c2d649db9: warm
aecd02ff4ec742078d02ff4ec782075b: warm
ba1e5275686e44bb9e5275686e74bb8b: warm
a9ffcd0409c445ffbfcd0409c4e5ffb0: warm
4cae613ff72449b1ae613ff72499b1ec: warm
02809ee2ed83419e809ee2ed83219e51: warm
5775eae388ad4315b5eae388adf315f9: warm
6ba1bc03c267495fa1bc03c267d95f65: warm
d773b63fcdfc47f5b3b63fcdfc17f58c: warm
8fa767258feb4ef3a767258feb5ef3e5: warm
704c6798fff244e98c6798fff264e911: warm
3fb7ef4df9a244b6b7ef4df9a214b6c5: warm
603a78d10a9b45caba78d10a9b55caad: warm
8484c308fdb840a784c308fdb830a733: warm
df973ca07f4a4d3a973ca07f4a9d3a85: warm
9725ed2caabd40e5a5ed2caabd60e505: warm
fa6839eeddc24da3a839eeddc22da3a7: warm
ff9d0e1345114ff29d0e134511eff288: warm
1396a98caaf2439e96a98caaf2339e0e: warm
d7d3a1b823c247ad93a1b823c277ad61: warm
f7f57384d33a416bb57384d33ae16bad: warm
d2c42828d3104db8842828d3109db8b2: warm
4f5c21e77bf642559c21e77bf6b255f4: warm
acb43121860b4ed8b43121860beed873: warm
0167ad975123439ba7ad975123439ba9: warm
2a513c284b7d415a913c284b7db15a26: warm
d6fe65c0b0144490be65c0b014f49065: warm
e76da4110d3a4a4cada4110d3a2a4c91: warm
e297c7ad05af4aed97c7ad05af2aedb3: warm
f272d80ee88e42bbb2d80ee88e52bb1d: warm
2bf5999cd05e4d82b5999cd05e1d82a4: warm
71d82023882b4163982023882b2163c1: warm
c7cdce17579b4b4b8dce17579b5b4bbd: warm
f3c453bc3b5049c58453bc3b50c9c5d7: warm
55f993e456534f49b993e456535f49a0: warm
1fc5e853757f4f8a85e853757f4f8aea: warm
e0942cb57cc445e4942cb57cc455e4da: warm
36dc96d9d5f24fa29c96d9d5f2ffa2af: warm
a79e49dd10484c769e49dd10487c769b: warm
1ab49a9c76b44f38b49a9c76b4cf3813: warm
aa6ad89868f346f9aad89868f3d6f972: warm
42df8deeb65849279f8deeb658892707: warm
201bb96d693d41b19bb96d693d31b18f: warm
45a5961795e044bea5961795e074be16: warm
918d241f65e5419d8d241f65e5719d8c: warm
0375c43d271f43dcb5c43d271f23dc57: warm
61b85fd571be4320b85fd571be13208d: warm
79bd7e8e572f42afbd7e8e572f32af0f: warm
092cd7af1fee4159acd7af1feec159e9: warm
cf959fd515ff4ce0959fd515ffbce0db: warm
da168bafd3d240c7968bafd3d2e0c763: warm
27e769dddfa645a1a769dddfa635a1ec: warm
a7b1515417014138b1515417013138ca: warm
a2a49a21e1c74e7ca49a21e1c76e7c79: warm
e677bf51ccb24003b7bf51ccb2600351: warm
568aab3aff7242258aab3aff72e22590: warm
39ee7de632a34c3bae7de632a34c3b58: warm
746649095cb44e50a649095cb47e50d6: warm
dd57b6c08e9646e797b6c08e9636e773: warm
3d3f18a5e8174926bf18a5e8176926d3: warm
1c1d7d10e9674ac99d7d10e9677ac99f: warm
6606dd459aee482786dd459aee382704: warm
87a5186ddf9948eaa5186ddf9968eab0: warm
202d0047df9a46c3ad0047df9a96c3fd: warm
eb4a077147594d628a077147599d62c0: warm
98ec891bab3341a4ac891bab3361a46c: warm
51759062f6224a40b59062f622ca400d: warm
9026adbee56e4ea7a6adbee56e2ea776: warm
7a7e168be3b44afebe168be3b41afe3c: warm
55ca14983708481a8a14983708a81a9a: warm
b410ed9cd72642af90ed9cd726b2af69: warm
54c41dff85954959841dff8595295963: warm
fa64d858ca334e81a4d858ca334e816f: warm
3c6ae803f0b849b6aae803f0b849b68e: warm
736389b427f844e9a389b427f8c4e9c5: warm
61943c8149414186943c814941d1864a: warm
aa59d70ab2c84c5499d70ab2c83c5405: warm
387ec13e72004d7dbec13e72000d7d5c: warm
9dca589b8e8f48f98a589b8e8f68f935: warm
a95dafa4833842c39dafa4833872c348: warm
ca9bb7711607405a9bb7711607805a46: warm
240ba60c7d594faf8ba60c7d593faf4a: warm
638f303715a243c68f303715a2a3c6b5: warm
44665821f16d41bca65821f16d41bce1: warm
8b17bc3329d5421797bc3329d54217ee: warm
5fc96a31ba734fc8896a31ba735fc855: warm
ce41618e267c49df81618e267ce9df98: warm
c583a524cfcc476683a524cfccc7669d: warm
4cbf41e8d128461fbf41e8d128f61fc8: warm
6d99be6e2128415199be6e2128b151da: warm
9d5f07d2c2b84b4a9f07d2c2b8bb4a71: warm
f335080a741d4f00b5080a741d3f0035: warm
65be1bfc8e7447a4be1bfc8e74c7a455: warm
3d39fb841a8b4decb9fb841a8b1dec6a: warm
2ec8681092154be988681092151be9c2: warm
3f202611012b49bea02611012b49becb: warm
2e37316d9a0a4eeeb7316d9a0a2eeeb7: warm
662aae1013704941aaae101370694163: warm
b7880629aef942f8880629aef982f8ea: warm
a9f26693c17044adb26693c17004ad3a: warm
2cd703dc672147e19703dc672197e1bd: warm
05b1b3f39e174396b1b3f39e17439668: warm
55f21f3793304949b21f379330994988: warm
956fb81fd6ac448bafb81fd6acb48b52: warm
9baba6ba7fd44226aba6ba7fd4e22630: warm
9f8270379add45408270379add754095: warm
357d26d408e44dafbd26d408e45daf8c: warm
fb009bad8fba4c84809bad8fba4c84ce: warm
41f744af23424d67b744af23426d6754: warm
1868012ade2c4856a8012ade2cf85631: warm
b084ba2b42d7459e84ba2b42d7c59e63: warm
6e826c0855074f9c826c085507ef9c22: warm
f3b0a6699daf4bf7b0a6699daf2bf7d9: warm
284f6f84181146ba8f6f841811c6ba5e: warm
a88571c0114948208571c01149082083: warm
ccf4f53936694aa4b4f53936693aa459: warm
ba2fb83243e84fa7afb83243e8cfa7bf: warm
e770a999efdf4f0ab0a999efdfff0a52: warm
d494a9dab0a34fc494a9dab0a32fc4cf: warm
c85d36c108ed415f9d36c108ed815fdf: warm
5f92de1e26f84f4192de1e26f82f41e7: warm
c09ebac01ea543e09ebac01ea543e091: warm
248c6adcb3024bd98c6adcb302bbd996: warm
ca9ba617dbc04d1f9ba617dbc0bd1fa9: warm
36f43f9822cf46fcb43f9822cfe6fc55: warm
1ae880ada1714e82a880ada171ae826f: warm
933ef15105ac4e93bef15105ac7e931f: warm
7f62127c162e4d02a2127c162edd02f4: warm
26c8218d7f8a4a3e88218d7f8ada3ed1: warm
d3a86e1bf9f14014a86e1bf9f17014c8: warm
704e7b608a694c2d8e7b608a690c2d52: warm
fd02e90757484e8582e90757482e85de: warm
d198ffd936c24c6c98ffd936c2cc6c1f: warm
d13f01667b374b7abf01667b379b7aa6: warm
7b2c93b36ef143c6ac93b36ef133c689: warm
be16a5f0026a440896a5f0026a54088b: warm
5a07c04ca1764fc787c04ca1768fc783: warm
f60e41b5e2b3440e8e41b5e2b3740eba: warm
1850d8a1bd68442390d8a1bd68d4236d: warm
65607366e5874066a07366e587606652: warm
bf93339761ca4b6b93339761ca0b6ba6: warm
eeb145c981b24b89b145c981b22b89ab: warm
5f923e48e69e4353923e48e69ea353d0: warm
cf691ae373ef4009a91ae373ef600913: warm
b1132246a7634237932246a7631237f7: warm
38bc53acb315485abc53acb315585a89: warm
b5230bd129bb43fda30bd129bbd3fd70: warm
66d4c12c25e04b7f94c12c25e0fb7ffa: warm
9324f36d32894efda4f36d32895efd94: warm
ef5f832780ea4fb29f832780ea7fb2db: warm
d3265e81e510460da65e81e510a60d64: warm
65e8dbee1a6f451ea8dbee1a6fb51e53: warm
9eb5994525cc4171b5994525cca17188: warm
a07cf736de214270bcf736de21e27065: warm
0723a41be6cc4d00a3a41be6ccad00c6: warm
69b3f9429b064930b3f9429b06293029: warm
2e170bd67e3345fa970bd67e33c5fa37: warm
224a2b7b410543038a2b7b4105b303c4: warm
2cd512d9779241419512d97792e141fb: warm
b96d1d81c1ba4ec3ad1d81c1ba4ec311: warm
910c3194c4964cec8c3194c496acec1a: warm
3edea934ece44cda9ea934ece48cda48: warm
1abfbe28ab524b89bfbe28ab526b8992: warm
5f51a1aa01404d1391a1aa0140bd1366: warm
cfa5c5e42a0a418fa5c5e42a0a818f83: warm
2a8ad874c67d43f98ad874c67de3f912: warm
3e6485b06c954c55a485b06c955c55f6: warm
6e4d8190a9f746e68d8190a9f7a6e65d: warm
