4630eefdfbae43adb0eefdfbaed3ad0e: cold
bb10092cb7b24b8090092cb7b29b8008: warm
5247148f65424b9287148f65427b92b3: warm
8b50b39d9d5144bb90b39d9d5144bb2c: warm
121d88bfab744cbe9d88bfab743cbe66: warm
bc242aed359b4ebca42aed359b2ebc85: warm
a616ba66105342a796ba66105332a72c: warm
35eef7170ca6405eaef7170ca6e05e6b: warm
a2e1cdbaf21444c5a1cdbaf214d4c566: warm
26181948e310491f981948e310191f4a: warm
ca76e5ea6dd34adab6e5ea6dd38adac4: warm
dc66b7332dab4e54a6b7332dabae54fc: warm
2290ee3b9dfa48c590ee3b9dfae8c501: warm
7f6923a215a94836a923a215a91836ca: warm
f06ba7a484cf4d64aba7a484cf7d64e7: warm
3190d1c24f3d473b90d1c24f3db73b69: warm
26acde83bd244af1acde83bd24daf155: warm
70fee06ec1324b83bee06ec1323b83e2: warm
b1d24a141f8745b1924a141f87b5b16c: warm
55774811b6394426b74811b639042603: warm
70b2c261c9d347a0b2c261c9d3a7a00a: warm
77bdb9b4bcc440adbdb9b4bcc440ad78: warm
8eef5811665f48f9af5811665f88f9a2: warm
7c081e5c63b0440b881e5c63b0e40b86: warm
9476dcf66e074593b6dcf66e07959347: warm
1a6f357f6b0c4a34af357f6b0cea34ca: warm
caaf0ff4fdbf4192af0ff4fdbf719250: warm
5347a163fc91464187a163fc914641e0: warm
6e469d40d00c43a7869d40d00c53a76d: warm
531daf34cbf5485d9daf34cbf5b85d16: warm
6010a6046c844d4a90a6046c84bd4afd: warm
6672aaee421a43e7b2aaee421a63e756: warm
c56d290d69b946a9ad290d69b976a986: warm
31d8515df73b473898515df73bc73854: warm
2ea5174635ab4ce4a5174635ab1ce477: warm
10abd595417e453fabd595417e653f4e: warm
bbe995d6edaa4ae6a995d6edaa0ae625: warm
8f96979beda24c2696979beda2dc267c: warm
2c5383038a364b5d9383038a363b5dc8: warm
e9097da573ce4426897da573ceb426a1: warm
cabd44b3b5814815bd44b3b58138158f: warm
1edca262fe2c42fd9ca262fe2c62fdd0: warm
ea0825f3a94245da8825f3a94215daa2: warm
3a06376a29b64c7f86376a29b67c7f85: warm
6db99c2cf657471cb99c2cf657171c89: warm
568628aaf51d4cb18628aaf51d5cb152: warm
75e3be8c38ee413da3be8c38ee913d55: warm
bd7acee0638c44bbbacee0638ca4bbc2: warm
2c928c3040b04644928c3040b086444d: warm
07ad195cfb09400aad195cfb09600afe: warm
7bd12d0748eb493d912d0748eb193d89: warm
7aa456dcd5284869a456dcd528186919: warm
fc171c70d34c455f971c70d34c955faa: warm
b4355f0db3fa442eb55f0db3fa942e5f: warm
5c79e86aa54a48eab9e86aa54a38ea73: warm
70efca593c12405bafca593c12805b34: warm
9c261c2e396b4b85a61c2e396b0b85b5: warm
ed6c682f7c4549d7ac682f7c45f9d743: warm
50a2976dbb85400aa2976dbb85000a05: warm
77fa635832f640efba635832f630efd7: warm
fc5f7e31788a4d7d9f7e31788a2d7d3e: warm
208923312f7b4ae28923312f7bbae229: warm
7303b887c88d464783b887c88d36471c: warm
afa60638ceec42c4a60638ceeca2c4cd: warm
87d34f1f43fd4820934f1f43fdb82099: warm
014b3a0b179e42638b3a0b179e0263ce: warm
92ddbc20a4e642079dbc20a4e66207ae: warm
0f526b52316c41a0926b52316c91a05c: warm
5b226fc5d21f4f3ca26fc5d21f6f3c34: warm
