c3275d81dfba4b0fa75d81dfba1b0f8f: cold
664691442b914b978691442b919b976a: warm
1cebaa99a3c84ee5abaa99a3c8aee50d: warm
69e33c8454cd419aa33c8454cd219a79: warm
af0d67181dc64af58d67181dc68af516: warm
ddc0f52a933d428180f52a933d0281f9: warm
eba30d4594a84219a30d4594a82219da: warm
0b59e1a8f095435599e1a8f0955355b2: warm
91a296092b644445a296092b6474459b: warm
67973b4ae3d148e9973b4ae3d158e912: warm
1d9f989eed89480b9f989eed89580b24: warm
167f68e685da4014bf68e685da6014c1: warm
1f7c4badd45c4cfbbc4badd45cbcfb24: warm
d42ddd0e14e944b4addd0e14e9a4b4e1: warm
8258530fea1b4e0698530fea1bce06e0: warm
2f2da314e64644fdada314e64664fd53: warm
a57d66d9b701416cbd66d9b701c16ca2: warm
a902ddc975864a6f82ddc975866a6f19: warm
ad2dc30052494b01adc3005249bb01c8: warm
89003c1bf8ce4a7b803c1bf8ceba7b88: warm
15190e804c97454f990e804c97e54fb4: warm
0f3f2f7c23214fe6bf2f7c23212fe61f: warm
ac73dd3097d944f5b3dd3097d9b4f5a0: warm
e7aacd8881344a24aacd8881341a2400: warm
8e7262f00917412ab262f00917e12a07: warm
fa2baa68285d436dabaa68285d936d02: warm
791d9427a1494e8f9d9427a1496e8f9e: warm
37bc6a9408304214bc6a940830b21444: warm
4dffa358617d4f28bfa358617ddf282d: warm
b943af461792418e83af461792118e13: warm
f795c8002b9a489d95c8002b9a189d07: warm
2e1466d19bf443179466d19bf4131792: warm
997ece384b4d48fbbece384b4de8fb7e: warm
e102a70edd37495c82a70edd37895c52: warm
2e57275d5a6f443697275d5a6fd4362a: warm
4fffc40a9f184562bfc40a9f182562b1: warm
4f149047cf8347d8949047cf8327d887: warm
7953d3049602474593d3049602574522: warm
bd593e1b5fa04931993e1b5fa0f9316a: warm
ef06cef38f3547da86cef38f3557dabc: warm
3b0f5e05b3e344058f5e05b3e3640513: warm
113a9a1d873c4954ba9a1d873c795474: warm
d82fd1d7474a427cafd1d7474a127ca2: warm
c415ac3755ac47e995ac3755acf7e974: warm
dc88f47ab10046f088f47ab10076f051: warm
cdc2e67873b949e582e67873b9e9e55f: warm
58f8015aa97340ceb8015aa97330ce50: warm
131f29de0e1a43479f29de0e1a534794: warm
b9d9171d29c9450499171d29c94504d2: warm
fef6ad7b44334f91b6ad7b44337f91eb: warm
7b691744e2dc4e18a91744e2dcce180a: warm
57e8667961ec4f5da8667961ec1f5dd8: warm
020753a1afbc4e688753a1afbc8e68e7: warm
22f2f6ee6bae4de6b2f6ee6bae8de677: warm
0d2d450e46a94411ad450e46a9041192: warm
bfb9ce10a57348e0b9ce10a57338e0b2: warm
ca851a516ce14eed851a516ce15eede0: warm
0ac898c7ff4341ea8898c7ff4351eadb: warm
7ca3db3130264947a3db3130263947b8: warm
254b5b5ac042448f8b5b5ac042d48f6e: warm
4c479d125bdc4094879d125bdc30944f: warm
5c7654c002ad4c81b654c002ad1c8128: warm
7436e62df426415bb6e62df426515b46: warm
86a920ae7a1d482ea920ae7a1db82e17: warm
2f0116b979134c5f8116b979131c5fb3: warm
16bbe355a43e4841bbe355a43e7841f7: warm
61bc6c183f854217bc6c183f852217f9: warm
185b3a5fe6ae420f9b3a5fe6aee20f14: warm
3d6f8b9eacb545fdaf8b9eacb535fd89: warm
2900722714614ea180722714612ea13d: warm
06904a682075453c904a682075a53c02: warm
d1e4d01fbd064c2ca4d01fbd06bc2c6a: warm
095ec2c0900142359ec2c09001323584: warm
d78c8fb000ea4fee8c8fb000eacfeeb7: warm
7e290600d4404ffda90600d4403ffd47: warm
e117c23cdd13446197c23cdd13c461a3: warm
7ba61543471e4e67a61543471e6e6735: warm
6f58fb456294417998fb456294d17912: warm
0bb29efdf38a4bddb29efdf38a5bddd1: warm
c993448595ad458a93448595adc58a42: warm
6ed5bb9d157e4a4995bb9d157e2a4927: warm
4ef0963391e640e8b0963391e660e8f7: warm
4b8fb4dc5cc3401a8fb4dc5cc3d01afc: warm
c26682783a45461fa682783a45561f03: warm
f4ef47f0ecd446bbaf47f0ecd4b6bba0: warm
08ba175b28f34297ba175b28f36297d9: warm
fb4b7afebfa448db8b7afebfa4b8db74: warm
9dc01414d4874634801414d48736349c: warm
28f1d9b56fe049adb1d9b56fe029ad6a: warm
0fedf16c46b84fecadf16c46b8efecdf: warm
0bb6b36c19bf4c54b6b36c19bfac54a6: warm
763189245818420db189245818120d75: warm
05b60213f9c34f9eb60213f9c34f9ebb: warm
4a64c8041e3a423ba4c8041e3a523b48: warm
fdc538f7f69c4cc98538f7f69c6cc9a6: warm
2cf7da428317447ab7da428317347a5e: warm
eae21fa9ff4d444aa21fa9ff4d644a53: warm
1746ea1ca78c4f3f86ea1ca78cef3f67: warm
b8788a41e50042b7b88a41e500f2b751: warm
4117326fe9ae432497326fe9aea32426: warm
0aa2ad3955c4449ea2ad3955c4149eec: warm
15cd0fd4f8ab4ba98d0fd4f8ab8ba954: warm
506f4ec02b934696af4ec02b93169688: warm
c0b949e8c65e4f8bb949e8c65edf8b10: warm
1ec08c1958aa429d808c1958aa729d25: warm
6f69c9106c624946a9c9106c62b9461a: warm
0c524525449a4d47924525449a7d47b9: warm
72821d937a7f4632821d937a7ff632f6: warm
c88446f6e5c545068446f6e5c57506f5: warm
8269df2d898c45aea9df2d898c35aef6: warm
1d97f49f714f408197f49f714f70812c: warm
6f39bb71bf5541b7b9bb71bf5521b7c8: warm
e0493af3e78d4e76893af3e78d7e76ed: warm
d7508eb8a45d419b908eb8a45da19b7a: warm
b5f5d4f730294a3ab5d4f730290a3a4b: warm
4686b1718a34445486b1718a34b454f7: warm
f58f6c7ed44d40608f6c7ed44d606026: warm
76deddd8d80f4eb39eddd8d80f7eb338: warm
3ba2069734164497a2069734160497f9: warm
2e07d89b0186408387d89b0186a08386: warm
