b83f0f2b8f054d55bf0f2b8f05fd55bd: cold
3122d25946b4417fa2d25946b4217fa4: warm
fb61b7675cf34c25a1b7675cf34c2534: warm
07c595d7d06449d28595d7d064b9d21e: warm
3f9479104c344f229479104c34cf2269: warm
3b36c8a4f7de458fb6c8a4f7de758ffd: warm
e0d2476cc827426792476cc82772676f: warm
cc4d45c6d69c4c7a8d45c6d69c9c7aab: warm
97f5957608db4f9db5957608db4f9d0a: warm
18c108acc10846ba8108acc108a6ba34: warm
f998e370903642fa98e3709036b2fa53: warm
1d2825b248454b44a825b248454b4430: warm
9fbaaa384ea24db8baaa384ea24db840: warm
e3ee8415780f40bfae8415780f40bf79: warm
54d4dd8b790c4b4a94dd8b790c4b4a17: warm
7e06b4cd544649c186b4cd5446f9c115: warm
da1f6c072ace40079f6c072acec007db: warm
20265eb061ba4876a65eb061ba4876ab: warm
95fdbe8b463f470ebdbe8b463f970e15: warm
a597b2215cdb43f497b2215cdb73f437: warm
0d6a6737b4884e02aa6737b488be0268: warm
368997d840524e488997d840527e4829: warm
d5a75eaf8f3846b1a75eaf8f3806b14c: warm
ea4fa37d741d491a8fa37d741d891ab3: warm
eb5113d3156648ce9113d3156688ce96: warm
647c2f9917d146b3bc2f9917d106b34b: warm
f7f92a87c03d4034b92a87c03d0034e6: warm
b50b078aa0c742c88b078aa0c772c806: warm
a909e6b6298a4ecd89e6b6298abecda6: warm
9f39f80852c244aeb9f80852c234aea1: warm
72542d0840a14ade942d0840a1eade94: warm
934c436de8664d928c436de8666d9205: warm
1c82e6ab7f7a4dbd82e6ab7f7a2dbd7b: warm
2bdfa7e2f47548e99fa7e2f47508e91c: warm
d4d3d50d3ffa409893d50d3ffa6098dc: warm
f1ce4a248d1f44a68e4a248d1f54a67c: warm
569842f08cda4ae99842f08cdaeae90a: warm
8dd50f285c184de8950f285c18ede817: warm
0ad3c871255f4ef493c871255f6ef46a: warm
f61e6e20834046429e6e208340064265: warm
eeb2b34f82c246b7b2b34f82c276b786: warm
7c06d50bec074c3186d50bec070c3167: warm
45fbdc48a99543fdbbdc48a99593fdd3: warm
e73d46b3a2644e05bd46b3a2648e05ec: warm
10e39cebac7b4acfa39cebac7bdacf04: warm
51c8e8390136431d88e8390136231d04: warm
124f4c8a115a43ae8f4c8a115a33aefc: warm
745caf1ad31748a59caf1ad31748a5c3: warm
829b36b206dc4a199b36b206dc7a1908: warm
bbbd149373c34c2abd149373c37c2aeb: warm
ae9c7338a300487b9c7338a300f87be6: warm
f17a32beb2434a35ba32beb243fa353e: warm
fdf29a4723fe434db29a4723fed34d00: warm
92103c82f177440d903c82f177a40db9: warm
7c1804bd365f489d9804bd365f489da1: warm
e6a81e14a9054ffba81e14a905dffb0d: warm
da36115a19c04460b6115a19c0e46099: warm
fa5a6fcc83254d439a6fcc83258d439e: warm
9ea66d50bd5449aca66d50bd5439acd6: warm
da84c22e329f4e0f84c22e329f6e0fa1: warm
8d807e9b018242f3807e9b018272f305: warm
3ad1fcca75fa49a291fcca75fa49a2ad: warm
de93ecd00e1e429093ecd00e1ec290d8: warm
8ec87d437fd44d13887d437fd44d13a6: warm
bf1d44153ab8407c9d44153ab8207cbb: warm
11157c2f7ad64cb4957c2f7ad6acb404: warm
20cda69ea0c44c238da69ea0c45c2395: warm
eb056e5246794e2e856e5246791e2e7e: warm
2c79094d8e914cdbb9094d8e91bcdbca: warm
f93ed529df2c41eabed529df2ca1ea4d: warm
56c309f5b44c4b6b8309f5b44c9b6bd6: warm
1386385c231b464d86385c231b864d2a: warm
402c94272a064804ac94272a068804c7: warm
f7bbd5d400094673bbd5d40009367329: warm
01b5cb45eb034c79b5cb45eb030c79fb: warm
31c85432c00f4426885432c00f14267c: warm
1e4cc6e8b57c46c18cc6e8b57c66c1e6: warm
0307b843fb4540b087b843fb4520b08d: warm
95f16e2f8aa6456ab16e2f8aa6c56ac2: warm
f5edb92ef8754933adb92ef875b9331f: warm
56b119c747e24924b119c747e2c9245f: warm
23cfc7ffd0744cd38fc7ffd0744cd385: warm
a7379cfa21a04367b79cfa21a07367e2: warm
b01bb8a0797e4cb19bb8a0797e0cb1f2: warm
5ad14dc5c6d1406e914dc5c6d1b06e4e: warm
b6ecbb065f6946d7acbb065f6916d763: warm
f26452fbb620410da452fbb620b10db9: warm
e7ea0f3c52234b7eaa0f3c52236b7ebf: warm
4a17fc6498e34be397fc6498e32be369: warm
c14c43cd253441268c43cd2534c1269a: warm
9712919bcc354e7c92919bcc355e7ce3: warm
cb295070ff7742e5a95070ff7712e500: warm
cfdf1ef0bcec40989f1ef0bcecf098c8: warm
e1b7f9c427c84618b7f9c427c8b618bd: warm
b74cc4972cae47cd8cc4972cae17cdad: warm
a8aff03d13514741aff03d1351d7413b: warm
9b15f784cfb8494f95f784cfb8c94fdc: warm
6cffd32248224730bfd32248225730f3: warm
23c93b8f06ea4678893b8f06ea867802: warm
1e82b63f2bc54a7982b63f2bc52a7957: warm
9599d13c3cd3469d99d13c3cd3169d1d: warm
67a6a6cb46bc4b3ba6a6cb46bcfb3baa: warm
4d86fc878d65420686fc878d65420653: warm
fa7dc417e8a3488dbdc417e8a3788d80: warm
a589af9e45614fca89af9e45613fcaca: warm
680ccdf2633746ff8ccdf2633746ff1d: warm
48c50d25ad794373850d25ad79037328: warm
78c835b9ee574f6c8835b9ee57ef6ced: warm
6c533a6a7fd14ba5933a6a7fd1bba575: warm
cdf753b6ac7a4fefb753b6ac7a6feff8: warm
ecd5d9e2ca0c402695d9e2ca0c4026eb: warm
e7af5e68c7ff4a20af5e68c7ff6a20ce: warm
4ab6f244bc7f4236b6f244bc7fb2363f: warm
3684bff37dcd476b84bff37dcd476bbb: warm
14738bebced34f1eb38bebced31f1e03: warm
85cfd1d6403c48808fd1d6403cc880ad: warm
cc0345577314446083455773141460bd: warm
84c70e2f35d1460b870e2f35d1a60b48: warm
0be89e80ba654f93a89e80ba657f9360: warm
3a2a1815ff364399aa1815ff36a3999a: warm
7a5563acf4f547b29563acf4f5e7b20c: warm
9ae8a57e99c348b5a8a57e99c308b5e8: warm
095fa9a95a0943839fa9a95a09c3839b: warm
c5cc7cff850949c48c7cff850969c402: warm
1b1965075c1f44099965075c1f6409fd: warm
9ca39b37e24848f9a39b37e248e8f921: warm
bdbc85423ca24f01bc85423ca24f01f3: warm
cc6b375838f04c7dab375838f07c7dd2: warm
710b98e48a354b148b98e48a351b14bf: warm
3f45f4f48c0245fa85f4f48c0275fa74: warm
de52f452980d4cf892f452980d0cf824: warm
f97a4bee9c0f4d90ba4bee9c0fbd9080: warm
60cb49bbbd7c4dfe8b49bbbd7c8dfe2b: warm
b60702f9819a48418702f9819af841dc: warm
bf015326274f4b3f815326274f1b3f3c: warm
820a61295e0341208a61295e03a120fc: warm
278a1bcb8eec4b268a1bcb8eecab2603: warm
3823f98af8404122a3f98af8400122dc: warm
cba50ad6bee74339a50ad6bee77339ba: warm
25415fedb6d7495f815fedb6d7295f4f: warm
55905cc755e549ac905cc755e519ac36: warm
06eee94751de4e28aee94751deee283f: warm
5d8f0164dac64b848f0164dac66b8499: warm
2ac61cc60d02410d861cc60d02010df1: warm
a55087291033469990872910331699b4: warm
bd3b693266814452bb693266813452ba: warm
55f4d00203074a92b4d0020307ca9283: warm
fe80a55f34e24ebc80a55f34e2cebc44: warm
9f35e3bd00f34008b5e3bd00f3c0080e: warm
e3993199cc5549fe993199cc5579fed1: warm
0a7c22c6a5004d01bc22c6a5006d01b6: warm
465bf658e76046d59bf658e76036d559: warm
4600b1b0ba0d4adb80b1b0ba0ddadb5a: warm
df366c7d7d9c4e90b66c7d7d9cfe903f: warm
771d3c9fccc443529d3c9fccc4f35228: warm
667e231af9ad4b05be231af9adeb050d: warm
0ba2a052f7b34dbaa2a052f7b35dba58: warm
c288286df5a64bf088286df5a68bf076: warm
cbe028b9eb884efba028b9eb888efb10: warm
70ca7aad1ee34f4a8a7aad1ee36f4a9c: warm
a4c6af8d1293407a86af8d1293507afe: warm
102d15a535ab475ead15a535ab875ef2: warm
4433fad6053445f0b3fad60534b5f0de: warm
