HeapAlloc: 371696, HeapIdle: 2686976, HeapInuse: 1048576
HeapAlloc: 378408, HeapIdle: 2670592, HeapInuse: 1064960
HeapAlloc: 375232, HeapIdle: 2719744, HeapInuse: 1048576
HeapAlloc: 379824, HeapIdle: 2719744, HeapInuse: 1048576
HeapAlloc: 383912, HeapIdle: 2711552, HeapInuse: 1056768
HeapAlloc: 390112, HeapIdle: 2711552, HeapInuse: 1056768
HeapAlloc: 394608, HeapIdle: 2711552, HeapInuse: 1056768
HeapAlloc: 399240, HeapIdle: 2711552, HeapInuse: 1056768
HeapAlloc: 403968, HeapIdle: 2711552, HeapInuse: 1056768
HeapAlloc: 408104, HeapIdle: 2703360, HeapInuse: 1064960
HeapAlloc: 412144, HeapIdle: 2703360, HeapInuse: 1064960
HeapAlloc: 416600, HeapIdle: 2703360, HeapInuse: 1064960
HeapAlloc: 420736, HeapIdle: 2703360, HeapInuse: 1064960
HeapAlloc: 424776, HeapIdle: 2703360, HeapInuse: 1064960
HeapAlloc: 429232, HeapIdle: 2695168, HeapInuse: 1073152
HeapAlloc: 433368, HeapIdle: 2695168, HeapInuse: 1073152
HeapAlloc: 438080, HeapIdle: 2695168, HeapInuse: 1073152
HeapAlloc: 442216, HeapIdle: 2695168, HeapInuse: 1073152
HeapAlloc: 446256, HeapIdle: 2695168, HeapInuse: 1073152
HeapAlloc: 450296, HeapIdle: 2686976, HeapInuse: 1081344
HeapAlloc: 454336, HeapIdle: 2686976, HeapInuse: 1081344
HeapAlloc: 458376, HeapIdle: 2686976, HeapInuse: 1081344
HeapAlloc: 462832, HeapIdle: 2678784, HeapInuse: 1089536
HeapAlloc: 466968, HeapIdle: 2678784, HeapInuse: 1089536
HeapAlloc: 471008, HeapIdle: 2678784, HeapInuse: 1089536
HeapAlloc: 475464, HeapIdle: 2678784, HeapInuse: 1089536
HeapAlloc: 479600, HeapIdle: 2678784, HeapInuse: 1089536
HeapAlloc: 483640, HeapIdle: 2670592, HeapInuse: 1097728
HeapAlloc: 383000, HeapIdle: 2670592, HeapInuse: 1064960
HeapAlloc: 487680, HeapIdle: 2670592, HeapInuse: 1097728
HeapAlloc: 387632, HeapIdle: 2670592, HeapInuse: 1064960
HeapAlloc: 491720, HeapIdle: 2670592, HeapInuse: 1097728
HeapAlloc: 391768, HeapIdle: 2670592, HeapInuse: 1064960
HeapAlloc: 496176, HeapIdle: 2670592, HeapInuse: 1097728
HeapAlloc: 397968, HeapIdle: 2670592, HeapInuse: 1064960
HeapAlloc: 500312, HeapIdle: 2662400, HeapInuse: 1105920
HeapAlloc: 402464, HeapIdle: 2670592, HeapInuse: 1064960
HeapAlloc: 504352, HeapIdle: 2662400, HeapInuse: 1105920
HeapAlloc: 406504, HeapIdle: 2670592, HeapInuse: 1064960
HeapAlloc: 508392, HeapIdle: 2662400, HeapInuse: 1105920
HeapAlloc: 410960, HeapIdle: 2670592, HeapInuse: 1064960
HeapAlloc: 512432, HeapIdle: 2662400, HeapInuse: 1105920
HeapAlloc: 415096, HeapIdle: 2670592, HeapInuse: 1064960
HeapAlloc: 516472, HeapIdle: 2662400, HeapInuse: 1105920
HeapAlloc: 419136, HeapIdle: 2662400, HeapInuse: 1073152
HeapAlloc: 520512, HeapIdle: 2662400, HeapInuse: 1105920
HeapAlloc: 423176, HeapIdle: 2662400, HeapInuse: 1073152
