Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1700101862,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700101863,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700101864,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700101865,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700101866,1000,,Aggregated,0.000000,0.000000,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,1,0,3693.1001210177783,3693.1001210177783,3693.1001210177783,3693.1001210177783,109.0
1700101867,1000,,Aggregated,0.000000,0.000000,3900,3900,4400,4400,4400,4400,4400,4400,4400,4400,4400,7,0,3900.0,3973.5115669983707,3693.1001210177783,4369.263884989778,109.0
1700101868,1000,,Aggregated,0.000000,0.000000,4400,4900,5000,5000,5300,5400,5400,5400,5400,5400,5400,12,0,4400.0,4441.925976248361,3693.1001210177783,5354.967021004995,109.0
1700101869,1000,,Aggregated,1.400000,0.000000,4900,5000,5400,5400,6100,6500,6500,6500,6500,6500,6500,16,0,4400.0,4496.640786124772,204.69340900308453,6454.31937801186,109.0
1700101870,1000,,Aggregated,1.400000,0.000000,5400,6600,6700,7200,7300,7400,7400,7400,7400,7400,7400,26,0,5300.0,5228.495144386005,113.76110001583584,7414.010264008539,109.0
1700101871,1000,,Aggregated,2.142857,0.000000,6700,7300,7700,7700,8300,8400,8600,8600,8600,8600,8600,36,0,6600.0,6007.9334537513205,113.76110001583584,8609.527975990204,109.0
1700101872,1000,,Aggregated,3.250000,0.000000,7200,7700,8000,8300,8700,9200,9700,9700,9700,9700,9700,43,0,7200.0,6321.678678047583,113.76110001583584,9689.366697013611,109.0
1700101873,1000,,Aggregated,3.888889,0.000000,7400,8300,8800,9400,9800,10000,10000,11000,11000,11000,11000,52,0,7400.0,6959.3374533673905,113.76110001583584,10574.053431017091,109.0
1700101874,1000,,Aggregated,4.200000,0.000000,7700,8800,9700,10000,11000,11000,12000,12000,12000,12000,12000,65,0,7700.0,7375.43110333992,91.21342899743468,11520.362551003927,109.0
1700101875,1000,,Aggregated,5.100000,0.000000,8300,9900,11000,11000,12000,12000,12000,13000,13000,13000,13000,79,0,8300.0,7909.6482406724745,62.91633201180957,12532.926086016232,109.0
1700101876,1000,,Aggregated,6.400000,0.000000,8800,11000,12000,12000,13000,13000,14000,14000,14000,14000,14000,88,0,8700.0,8452.279094762409,62.91633201180957,13804.211223992752,109.0
1700101877,1000,,Aggregated,6.400000,0.000000,9400,11000,12000,12000,13000,14000,14000,14000,14000,14000,14000,95,0,9400.0,8712.154349990153,62.91633201180957,14494.795588980196,109.0
1700101878,1000,,Aggregated,8.500000,0.000000,9800,12000,12000,13000,14000,15000,15000,15000,16000,16000,16000,105,0,9800.0,9321.167970676852,62.91633201180957,15702.534389012726,109.0
1700101879,1000,,Aggregated,8.800000,0.000000,11000,12000,14000,14000,16000,16000,16000,16000,17000,17000,17000,118,0,10000.0,9890.158450830544,62.91633201180957,16555.87639400619,109.0
1700101880,1000,,Aggregated,9.300000,0.000000,11000,13000,15000,16000,17000,17000,18000,18000,18000,18000,18000,133,0,11000.0,10703.579396119952,62.91633201180957,17831.9415889855,109.0
1700101881,1000,,Aggregated,10.200000,0.000000,12000,14000,16000,16000,17000,18000,18000,18000,19000,19000,19000,142,0,12000.0,11185.004149239165,62.91633201180957,18524.60030000657,109.0
1700101882,1000,,Aggregated,10.300000,0.000000,12000,14000,16000,16000,18000,18000,19000,19000,20000,20000,20000,149,0,12000.0,11339.878193134226,62.91633201180957,19546.376779995626,109.0
1700101883,1000,,Aggregated,10.500000,0.000000,12000,15000,16000,17000,18000,19000,20000,21000,21000,21000,21000,156,0,12000.0,11695.808588243568,62.91633201180957,20668.588745000307,109.0
1700101884,1000,,Aggregated,10.500000,0.000000,12000,16000,17000,18000,20000,21000,21000,22000,22000,22000,22000,167,0,12000.0,12313.13102331757,62.91633201180957,21848.836085002404,109.0
1700101885,1000,,Aggregated,10.200000,0.000000,13000,16000,17000,18000,21000,22000,22000,23000,23000,23000,23000,179,0,13000.0,12843.928947681712,62.91633201180957,22807.095146010397,109.0
1700101886,1000,,Aggregated,10.100000,0.000000,13000,16000,18000,19000,21000,22000,23000,23000,24000,24000,24000,185,0,13000.0,13178.692089859553,62.91633201180957,23509.450849989662,109.0
1700101887,1000,,Aggregated,10.100000,0.000000,14000,17000,18000,21000,22000,24000,24000,24000,25000,25000,25000,197,0,14000.0,13772.590007954734,62.91633201180957,24533.43238699017,109.0
1700101888,1000,,Aggregated,9.800000,0.000000,14000,17000,20000,21000,23000,24000,25000,25000,26000,26000,26000,207,0,14000.0,14272.112296502619,62.91633201180957,25509.923459991114,109.0
1700101889,1000,,Aggregated,10.200000,0.000000,15000,18000,21000,22000,25000,26000,27000,27000,27000,27000,27000,224,0,15000.0,15066.794318589527,62.91633201180957,26697.72579500568,109.0
1700101890,1000,,Aggregated,9.800000,0.000000,16000,19000,22000,23000,26000,27000,27000,27000,28000,28000,28000,235,0,16000.0,15506.639523289228,62.91633201180957,27959.902386006434,109.0
1700101891,1000,,Aggregated,10.300000,0.000000,16000,21000,23000,24000,27000,28000,28000,29000,29000,29000,29000,252,0,16000.0,16270.677068936307,62.91633201180957,28852.65790502308,109.0
1700101892,1000,,Aggregated,10.400000,0.000000,17000,22000,24000,26000,28000,29000,29000,30000,30000,30000,30000,273,0,17000.0,17159.39463858599,62.91633201180957,29966.33304900024,109.14652014652015
1700101893,1000,,Aggregated,10.600000,0.000000,18000,23000,26000,27000,29000,30000,30000,31000,31000,31000,31000,288,0,18000.0,17821.461020676998,62.91633201180957,30836.204216000624,109.24305555555556
1700101894,1000,,Aggregated,11.900000,0.000000,18000,23000,26000,27000,29000,30000,31000,31000,32000,32000,32000,305,0,18000.0,17970.77462735383,62.91633201180957,31912.363342009485,109.34098360655737
1700101895,1000,,Aggregated,13.000000,0.000000,18000,24000,27000,28000,30000,31000,32000,33000,33000,33000,33000,318,0,18000.0,18429.676889043596,62.91633201180957,32595.942582993302,109.40880503144655
1700101896,1000,,Aggregated,13.400000,0.000000,19000,25000,27000,29000,31000,33000,34000,34000,34000,34000,34000,338,0,19000.0,19039.193576366677,62.91633201180957,33995.869350997964,109.50295857988165
1700101897,1000,,Aggregated,13.800000,0.000000,21000,26000,28000,29000,32000,34000,34000,34000,35000,35000,35000,357,0,21000.0,19684.264449612845,62.91633201180957,34937.76813897421,109.58263305322129
1700101898,1000,,Aggregated,14.400000,0.000000,21000,26000,29000,30000,33000,34000,35000,36000,36000,36000,36000,375,0,21000.0,20111.279350802204,62.91633201180957,36056.28057898139,109.65066666666667
1700101899,1000,,Aggregated,15.400000,0.000000,21000,27000,29000,30000,34000,35000,36000,37000,37000,37000,37000,390,0,21000.0,20491.918394514953,62.91633201180957,36900.67158002057,109.7025641025641
1700101900,1000,,Aggregated,16.300000,0.000000,22000,27000,29000,31000,34000,36000,37000,38000,38000,38000,38000,409,0,22000.0,20842.903029794095,62.91633201180957,38119.72667599912,109.76283618581907
1700101901,1000,,Aggregated,16.200000,0.000000,22000,28000,30000,31000,35000,37000,38000,39000,39000,39000,39000,424,0,22000.0,21122.421421742314,62.91633201180957,39281.57920099329,109.80660377358491
1700101902,1000,,Aggregated,16.600000,0.000000,22000,28000,31000,33000,36000,38000,39000,40000,40000,40000,40000,449,0,22000.0,21658.090548353666,62.91633201180957,40194.96685898048,109.87305122494432
1700101903,1000,,Aggregated,16.600000,0.000000,23000,28000,31000,33000,37000,39000,40000,40000,40000,40000,40000,458,0,22000.0,21854.064194739774,62.91633201180957,40475.83266001311,109.89519650655022
1700101904,1000,,Aggregated,17.000000,0.000000,23000,29000,31000,34000,37000,40000,41000,42000,42000,42000,42000,478,0,23000.0,22317.516061095896,62.91633201180957,42179.65354101034,109.94142259414225
1700101905,1000,,Aggregated,17.400000,0.000000,23000,29000,32000,34000,38000,40000,42000,43000,43000,43000,43000,497,0,23000.0,22658.910429798423,62.91633201180957,43323.25716200285,109.98189134808852
1700101906,1000,,Aggregated,16.600000,0.000000,24000,29000,33000,35000,39000,42000,43000,44000,44000,44000,44000,515,0,24000.0,23110.58895341531,62.91633201180957,43965.61192302033,110.01747572815535
1700101907,1000,,Aggregated,16.800000,0.000000,25000,30000,34000,36000,40000,43000,45000,45000,46000,46000,46000,533,0,25000.0,23674.059201283144,62.91633201180957,45529.36392000993,110.05065666041276
1700101908,1000,,Aggregated,17.600000,0.000000,25000,30000,34000,37000,42000,44000,45000,46000,46000,46000,46000,549,0,25000.0,24001.3779042201,62.91633201180957,46297.81107799499,110.0783242258652
1700101909,1000,,Aggregated,16.800000,0.000000,25000,31000,34000,37000,42000,44000,46000,47000,47000,47000,47000,564,0,25000.0,24157.205519565458,62.91633201180957,47238.50085801678,110.10283687943263
1700101910,1000,,Aggregated,16.900000,0.000000,25000,31000,35000,37000,43000,45000,47000,48000,49000,49000,49000,586,0,25000.0,24319.715330590123,62.91633201180957,48592.21635697759,110.13651877133105
1700101912,1000,,Aggregated,16.900000,0.000000,26000,31000,35000,38000,43000,46000,48000,49000,50000,50000,50000,599,0,26000.0,24643.257599862805,62.91633201180957,49509.76224799524,110.15525876460768
1700101913,1000,,Aggregated,17.400000,0.000000,26000,32000,36000,39000,44000,47000,50000,50000,50000,50000,50000,620,0,26000.0,25108.631977920722,62.91633201180957,50289.82022500713,110.18387096774194
1700101914,1000,,Aggregated,17.400000,0.000000,26000,33000,37000,39000,45000,49000,50000,51000,52000,52000,52000,637,0,26000.0,25626.88968917092,62.91633201180957,51614.67497298145,110.20565149136577
1700101915,1000,,Aggregated,16.200000,0.000000,27000,33000,38000,40000,46000,50000,52000,52000,53000,53000,53000,652,0,27000.0,26135.364127254452,62.91633201180957,52645.51945999847,110.2239263803681
1700101916,1000,,Aggregated,17.200000,0.000000,27000,34000,38000,41000,48000,51000,52000,53000,54000,54000,54000,666,0,27000.0,26550.828499175517,62.91633201180957,53853.45697400044,110.24024024024024
