Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1700004563,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700004564,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1700004565,1000,,Aggregated,0.000000,0.000000,1400,1500,1500,1600,1700,1700,1700,1700,1700,1700,1700,27,0,1400.0,1344.2224907415005,267.5652269972488,1728.5271259897854,228.8148148148148
1700004566,1000,,Aggregated,0.000000,0.000000,770,1100,1300,1400,1600,1700,2100,2700,2700,2700,2700,75,0,770.0,921.6992299730191,147.31420899624936,2714.2012800031807,230.02666666666667
1700004567,1000,,Aggregated,10.000000,0.000000,650,790,1000,1200,1500,1700,2700,3000,3700,3700,3700,124,0,650.0,817.6655938224294,147.31420899624936,3744.050231005531,230.50806451612902
1700004568,1000,,Aggregated,21.333333,0.000000,650,780,880,1000,1400,1700,2700,3700,4200,4200,4200,173,0,650.0,778.8177442309956,147.31420899624936,4160.254041998996,230.79768786127167
1700004569,1000,,Aggregated,28.250000,0.000000,650,770,870,960,1400,1700,3700,5000,5600,5600,5600,224,0,640.0,805.5150226964543,147.31420899624936,5612.53376500099,231.03125
1700004570,1000,,Aggregated,32.200000,0.000000,660,780,880,940,1300,1600,3700,5000,6700,6700,6700,272,0,650.0,808.991232970584,147.31420899624936,6657.51761100546,231.20220588235293
1700004571,1000,,Aggregated,35.166667,0.000000,660,780,880,940,1200,1600,4200,5600,7700,7700,7700,323,0,660.0,830.9935389938814,67.7049910009373,7744.328809989383,231.32817337461302
1700004572,1000,,Aggregated,36.857143,0.000000,660,790,910,960,1200,1500,4200,6700,8400,8400,8400,369,0,660.0,838.9216919432282,67.7049910009373,8375.477968002087,231.46883468834687
1700004573,1000,,Aggregated,38.500000,0.000000,680,820,930,980,1300,1500,5000,6900,9800,9800,9800,421,0,680.0,881.8121622755516,67.7049910009373,9811.482421995606,231.6579572446556
1700004574,1000,,Aggregated,39.666667,0.000000,710,850,940,1000,1300,1500,5000,7700,11000,11000,11000,464,0,700.0,899.566911777991,67.7049910009373,10722.549843994784,231.86637931034483
1700004575,1000,,Aggregated,40.400000,0.000000,710,860,950,1000,1300,1500,5000,7700,12000,12000,12000,518,0,710.0,914.1658396583948,67.7049910009373,11949.78088598873,232.1003861003861
1700004576,1000,,Aggregated,44.600000,0.000000,720,880,980,1000,1300,1500,5000,8400,12000,12000,12000,563,0,720.0,935.4574649877388,67.7049910009373,12065.788836000138,232.28063943161635
1700004577,1000,,Aggregated,47.600000,0.000000,730,890,980,1100,1300,1500,5000,8400,14000,14000,14000,616,0,730.0,946.6815193622357,67.7049910009373,13577.502667001681,232.48376623376623
1700004578,1000,,Aggregated,47.800000,0.000000,750,900,1000,1100,1300,1500,5000,9500,14000,14000,14000,670,0,750.0,959.8041899583291,67.7049910009373,14313.735299001564,232.6820895522388
