HeapAlloc: 371632, HeapIdle: 2539520, HeapInuse: 1163264
HeapAlloc: 371504, HeapIdle: 2646016, HeapInuse: 1122304
HeapAlloc: 378248, HeapIdle: 2539520, HeapInuse: 1163264
HeapAlloc: 378072, HeapIdle: 2646016, HeapInuse: 1122304
HeapAlloc: 385416, HeapIdle: 2539520, HeapInuse: 1163264
HeapAlloc: 385240, HeapIdle: 2646016, HeapInuse: 1122304
HeapAlloc: 390648, HeapIdle: 2539520, HeapInuse: 1163264
HeapAlloc: 390472, HeapIdle: 2646016, HeapInuse: 1122304
HeapAlloc: 394784, HeapIdle: 2539520, HeapInuse: 1163264
HeapAlloc: 394608, HeapIdle: 2646016, HeapInuse: 1122304
HeapAlloc: 399416, HeapIdle: 2539520, HeapInuse: 1163264
HeapAlloc: 399240, HeapIdle: 2646016, HeapInuse: 1122304
HeapAlloc: 403552, HeapIdle: 2539520, HeapInuse: 1163264
HeapAlloc: 403376, HeapIdle: 2646016, HeapInuse: 1122304
HeapAlloc: 407592, HeapIdle: 2539520, HeapInuse: 1163264
HeapAlloc: 407416, HeapIdle: 2646016, HeapInuse: 1122304
HeapAlloc: 411632, HeapIdle: 2539520, HeapInuse: 1163264
HeapAlloc: 411456, HeapIdle: 2646016, HeapInuse: 1122304
HeapAlloc: 415672, HeapIdle: 2531328, HeapInuse: 1171456
HeapAlloc: 415496, HeapIdle: 2646016, HeapInuse: 1122304
HeapAlloc: 419712, HeapIdle: 2531328, HeapInuse: 1171456
HeapAlloc: 419536, HeapIdle: 2629632, HeapInuse: 1138688
HeapAlloc: 423752, HeapIdle: 2523136, HeapInuse: 1179648
HeapAlloc: 423576, HeapIdle: 2629632, HeapInuse: 1138688
HeapAlloc: 427792, HeapIdle: 2523136, HeapInuse: 1179648
HeapAlloc: 427616, HeapIdle: 2629632, HeapInuse: 1138688
HeapAlloc: 431832, HeapIdle: 2523136, HeapInuse: 1179648
HeapAlloc: 431656, HeapIdle: 2629632, HeapInuse: 1138688
HeapAlloc: 435872, HeapIdle: 2523136, HeapInuse: 1179648
HeapAlloc: 435696, HeapIdle: 2629632, HeapInuse: 1138688
HeapAlloc: 439912, HeapIdle: 2523136, HeapInuse: 1179648
HeapAlloc: 439736, HeapIdle: 2629632, HeapInuse: 1138688
HeapAlloc: 443952, HeapIdle: 2523136, HeapInuse: 1179648
HeapAlloc: 443776, HeapIdle: 2629632, HeapInuse: 1138688
HeapAlloc: 447992, HeapIdle: 2523136, HeapInuse: 1179648
HeapAlloc: 447816, HeapIdle: 2629632, HeapInuse: 1138688
HeapAlloc: 452032, HeapIdle: 2523136, HeapInuse: 1179648
HeapAlloc: 451856, HeapIdle: 2629632, HeapInuse: 1138688
HeapAlloc: 456072, HeapIdle: 2523136, HeapInuse: 1179648
HeapAlloc: 455896, HeapIdle: 2629632, HeapInuse: 1138688
HeapAlloc: 460112, HeapIdle: 2514944, HeapInuse: 1187840
HeapAlloc: 459936, HeapIdle: 2621440, HeapInuse: 1146880
HeapAlloc: 464152, HeapIdle: 2506752, HeapInuse: 1196032
HeapAlloc: 463976, HeapIdle: 2613248, HeapInuse: 1155072
HeapAlloc: 468192, HeapIdle: 2498560, HeapInuse: 1204224
HeapAlloc: 468016, HeapIdle: 2613248, HeapInuse: 1155072
HeapAlloc: 472232, HeapIdle: 2498560, HeapInuse: 1204224
HeapAlloc: 472056, HeapIdle: 2613248, HeapInuse: 1155072
HeapAlloc: 476272, HeapIdle: 2498560, HeapInuse: 1204224
HeapAlloc: 476096, HeapIdle: 2613248, HeapInuse: 1155072
HeapAlloc: 480312, HeapIdle: 2498560, HeapInuse: 1204224
HeapAlloc: 480136, HeapIdle: 2613248, HeapInuse: 1155072
HeapAlloc: 484352, HeapIdle: 2498560, HeapInuse: 1204224
HeapAlloc: 484176, HeapIdle: 2613248, HeapInuse: 1155072
HeapAlloc: 488392, HeapIdle: 2498560, HeapInuse: 1204224
HeapAlloc: 488216, HeapIdle: 2605056, HeapInuse: 1163264
HeapAlloc: 492432, HeapIdle: 2498560, HeapInuse: 1204224
HeapAlloc: 492256, HeapIdle: 2605056, HeapInuse: 1163264
HeapAlloc: 496472, HeapIdle: 2498560, HeapInuse: 1204224
HeapAlloc: 496296, HeapIdle: 2605056, HeapInuse: 1163264
HeapAlloc: 500512, HeapIdle: 2498560, HeapInuse: 1204224
HeapAlloc: 500336, HeapIdle: 2596864, HeapInuse: 1171456
HeapAlloc: 504552, HeapIdle: 2490368, HeapInuse: 1212416
HeapAlloc: 504376, HeapIdle: 2596864, HeapInuse: 1171456
HeapAlloc: 508592, HeapIdle: 2490368, HeapInuse: 1212416
HeapAlloc: 508416, HeapIdle: 2596864, HeapInuse: 1171456
HeapAlloc: 512632, HeapIdle: 2490368, HeapInuse: 1212416
HeapAlloc: 512456, HeapIdle: 2588672, HeapInuse: 1179648
HeapAlloc: 516672, HeapIdle: 2490368, HeapInuse: 1212416
HeapAlloc: 516496, HeapIdle: 2588672, HeapInuse: 1179648
HeapAlloc: 520712, HeapIdle: 2490368, HeapInuse: 1212416
HeapAlloc: 520536, HeapIdle: 2588672, HeapInuse: 1179648
HeapAlloc: 524752, HeapIdle: 2482176, HeapInuse: 1220608
HeapAlloc: 524576, HeapIdle: 2588672, HeapInuse: 1179648
HeapAlloc: 528792, HeapIdle: 2482176, HeapInuse: 1220608
HeapAlloc: 528616, HeapIdle: 2588672, HeapInuse: 1179648
HeapAlloc: 532832, HeapIdle: 2482176, HeapInuse: 1220608
HeapAlloc: 532656, HeapIdle: 2588672, HeapInuse: 1179648
HeapAlloc: 536872, HeapIdle: 2482176, HeapInuse: 1220608
HeapAlloc: 536696, HeapIdle: 2580480, HeapInuse: 1187840
HeapAlloc: 540912, HeapIdle: 2482176, HeapInuse: 1220608
HeapAlloc: 540736, HeapIdle: 2580480, HeapInuse: 1187840
HeapAlloc: 544952, HeapIdle: 2473984, HeapInuse: 1228800
HeapAlloc: 544776, HeapIdle: 2572288, HeapInuse: 1196032
HeapAlloc: 548992, HeapIdle: 2473984, HeapInuse: 1228800
HeapAlloc: 548816, HeapIdle: 2572288, HeapInuse: 1196032
HeapAlloc: 553032, HeapIdle: 2473984, HeapInuse: 1228800
HeapAlloc: 552856, HeapIdle: 2572288, HeapInuse: 1196032
HeapAlloc: 557072, HeapIdle: 2465792, HeapInuse: 1236992
HeapAlloc: 556896, HeapIdle: 2564096, HeapInuse: 1204224
HeapAlloc: 561112, HeapIdle: 2465792, HeapInuse: 1236992
HeapAlloc: 560936, HeapIdle: 2564096, HeapInuse: 1204224
HeapAlloc: 565152, HeapIdle: 2465792, HeapInuse: 1236992
HeapAlloc: 564976, HeapIdle: 2564096, HeapInuse: 1204224
HeapAlloc: 569192, HeapIdle: 2465792, HeapInuse: 1236992
HeapAlloc: 569016, HeapIdle: 2564096, HeapInuse: 1204224
HeapAlloc: 573232, HeapIdle: 2465792, HeapInuse: 1236992
HeapAlloc: 573056, HeapIdle: 2564096, HeapInuse: 1204224
HeapAlloc: 577272, HeapIdle: 2465792, HeapInuse: 1236992
HeapAlloc: 577096, HeapIdle: 2555904, HeapInuse: 1212416
HeapAlloc: 581312, HeapIdle: 2449408, HeapInuse: 1253376
HeapAlloc: 581136, HeapIdle: 2547712, HeapInuse: 1220608
HeapAlloc: 585352, HeapIdle: 2449408, HeapInuse: 1253376
HeapAlloc: 585176, HeapIdle: 2547712, HeapInuse: 1220608
HeapAlloc: 589392, HeapIdle: 2449408, HeapInuse: 1253376
HeapAlloc: 589216, HeapIdle: 2547712, HeapInuse: 1220608
HeapAlloc: 593432, HeapIdle: 2449408, HeapInuse: 1253376
HeapAlloc: 593256, HeapIdle: 2547712, HeapInuse: 1220608
HeapAlloc: 597472, HeapIdle: 2449408, HeapInuse: 1253376
HeapAlloc: 597296, HeapIdle: 2547712, HeapInuse: 1220608
HeapAlloc: 601512, HeapIdle: 2449408, HeapInuse: 1253376
HeapAlloc: 601336, HeapIdle: 2547712, HeapInuse: 1220608
HeapAlloc: 605552, HeapIdle: 2441216, HeapInuse: 1261568
HeapAlloc: 605376, HeapIdle: 2539520, HeapInuse: 1228800
HeapAlloc: 609592, HeapIdle: 2433024, HeapInuse: 1269760
HeapAlloc: 609416, HeapIdle: 2539520, HeapInuse: 1228800
HeapAlloc: 613632, HeapIdle: 2433024, HeapInuse: 1269760
HeapAlloc: 613456, HeapIdle: 2539520, HeapInuse: 1228800
HeapAlloc: 617672, HeapIdle: 2433024, HeapInuse: 1269760
HeapAlloc: 617496, HeapIdle: 2539520, HeapInuse: 1228800
HeapAlloc: 621712, HeapIdle: 2433024, HeapInuse: 1269760
HeapAlloc: 621536, HeapIdle: 2539520, HeapInuse: 1228800
HeapAlloc: 625752, HeapIdle: 2433024, HeapInuse: 1269760
HeapAlloc: 625576, HeapIdle: 2539520, HeapInuse: 1228800
HeapAlloc: 629792, HeapIdle: 2416640, HeapInuse: 1286144
HeapAlloc: 629616, HeapIdle: 2514944, HeapInuse: 1253376
HeapAlloc: 633832, HeapIdle: 2416640, HeapInuse: 1286144
HeapAlloc: 633656, HeapIdle: 2514944, HeapInuse: 1253376
HeapAlloc: 637872, HeapIdle: 2416640, HeapInuse: 1286144
HeapAlloc: 637696, HeapIdle: 2514944, HeapInuse: 1253376
HeapAlloc: 641912, HeapIdle: 2416640, HeapInuse: 1286144
HeapAlloc: 641736, HeapIdle: 2514944, HeapInuse: 1253376
HeapAlloc: 645952, HeapIdle: 2408448, HeapInuse: 1294336
HeapAlloc: 645776, HeapIdle: 2506752, HeapInuse: 1261568
HeapAlloc: 649992, HeapIdle: 2400256, HeapInuse: 1302528
HeapAlloc: 649816, HeapIdle: 2498560, HeapInuse: 1269760
HeapAlloc: 654032, HeapIdle: 2400256, HeapInuse: 1302528
HeapAlloc: 653856, HeapIdle: 2498560, HeapInuse: 1269760
