Percentage served,Time in ms
0,16.348
1,28.190
2,28.234
3,28.256
4,28.271
5,28.282
6,28.291
7,28.300
8,28.308
9,28.315
10,28.321
11,28.328
12,28.334
13,28.340
14,28.345
15,28.351
16,28.356
17,28.360
18,28.365
19,28.370
20,28.374
21,28.378
22,28.382
23,28.386
24,28.390
25,28.395
26,28.399
27,28.404
28,28.407
29,28.411
30,28.415
31,28.419
32,28.423
33,28.427
34,28.432
35,28.435
36,28.440
37,28.444
38,28.448
39,28.453
40,28.458
41,28.462
42,28.467
43,28.471
44,28.476
45,28.480
46,28.484
47,28.489
48,28.493
49,28.499
50,28.504
51,28.509
52,28.513
53,28.518
54,28.524
55,28.529
56,28.535
57,28.542
58,28.549
59,28.556
60,28.563
61,28.570
62,28.576
63,28.583
64,28.591
65,28.598
66,28.606
67,28.615
68,28.623
69,28.631
70,28.640
71,28.649
72,28.659
73,28.670
74,28.681
75,28.694
76,28.707
77,28.721
78,28.738
79,28.758
80,28.782
81,28.813
82,28.850
83,28.901
84,28.966
85,29.196
86,33.610
87,33.748
88,33.795
89,33.832
90,33.863
91,33.897
92,33.928
93,33.959
94,33.989
95,34.033
96,34.085
97,34.172
98,34.606
99,38.536
100,47.984
