HeapUsedMemory: 5083384, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 4076680, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5418944, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 4412240, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5418944, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 4412240, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5754488, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 4747784, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6090032, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5083328, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6090032, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5083328, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6425576, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5418872, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6761136, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5754432, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6761136, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5754432, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7096696, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6089992, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7432256, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6425552, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7432256, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6761120, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7767816, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7096680, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8103376, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7432240, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8103376, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7432240, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8438936, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7767800, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8774496, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8103360, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8774496, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8103360, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 9150072, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8478936, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 9485632, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8814496, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 9485632, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8814496, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 9821192, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 9150056, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10156752, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 9821184, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10156752, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10156752, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10492312, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10492312, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10827872, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10827872, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10827872, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10827872, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11163432, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11163432, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11498992, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11498992, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11498992, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11498992, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11834552, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11834552, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12170112, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12170112, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12170112, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12170112, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12545688, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12545688, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12881248, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12881248, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12881248, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12881248, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13216808, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13216808, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13552368, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13552368, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13552368, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13552368, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13887928, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13887928, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14223488, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14223488, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14223488, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14223488, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14559048, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14559048, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14894608, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14894608, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14894608, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14894608, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15230168, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15230168, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15565728, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15565728, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15565728, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15565728, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15901288, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15901288, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 16236848, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 16236848, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 4076680, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5083384, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 4412240, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5418944, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 4412240, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5418944, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 4747784, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5754488, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5083328, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6090032, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5083328, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6090032, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5418872, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6425576, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5754432, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6761136, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 5754432, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6761136, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6089992, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7096696, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6425552, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7432256, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 6761120, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7432256, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7096680, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7767816, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7432240, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8103376, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7432240, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8103376, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 7767800, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8438936, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8103360, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8774496, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8103360, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8774496, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8478936, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 9150072, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8814496, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 9485632, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 8814496, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 9485632, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 9150056, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 9821192, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 9485616, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10156752, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10156752, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10156752, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10492312, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10492312, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10827872, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10827872, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10827872, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 10827872, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11163432, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11163432, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11498992, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11498992, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11498992, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11498992, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11834552, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 11834552, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12170112, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12170112, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12170112, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12170112, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12545688, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12545688, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12881248, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12881248, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12881248, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 12881248, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13216808, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13216808, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13552368, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13552368, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13552368, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13552368, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13887928, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 13887928, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14223488, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14223488, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14223488, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14223488, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14559048, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14559048, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14894608, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14894608, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14894608, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 14894608, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15230168, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15230168, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15565728, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15565728, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15565728, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15565728, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15901288, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 15901288, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 16236848, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
HeapUsedMemory: 16236848, HeapCommittedMemory: 64487424, HeapMaxMemory: 64487424
