Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1698379879,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1698379880,1000,,Aggregated,0.000000,0.000000,66,76,84,93,360,490,560,650,760,760,760,663,0,66,119.0422322775264,41,762,220.45098039215685
1698379881,2000,,Aggregated,0.000000,0.000000,49,79,130,140,1200,1300,1500,1500,1600,1600,1600,2463,0,49,216.01339829476248,0,1583,221.39220462850182
1698379882,3000,,Aggregated,36.000000,0.000000,50,130,270,330,1300,1400,1500,1500,1900,1900,1900,3879,0,50,256.953596287703,0,1873,221.5790152101057
1698379884,4000,,Aggregated,821.333333,0.000000,65,280,480,660,1900,3500,3500,3700,3800,3800,3800,5075,0,65,571.4047290640394,0,3755,221.7688669950739
1698379885,5000,,Aggregated,969.750000,0.000000,72,310,500,1100,1500,3500,3500,3800,4900,4900,4900,6483,0,72,564.4234150856086,0,4882,222.03624865031622
1698379887,6000,,Aggregated,918.500000,0.000000,72,300,440,540,1400,3500,3500,3800,5800,5800,5800,7498,0,72,528.2995465457456,0,5846,222.16671112296612
1698379888,7000,,Aggregated,926.142857,0.000000,77,300,420,540,1500,3500,4100,8200,8300,8300,8300,8799,0,77,599.2137742925332,0,8285,222.2899193090124
1698379891,8000,,Aggregated,879.900000,0.000000,73,310,440,530,1500,3500,4100,8200,8600,8600,8600,9377,0,73,601.5050655860083,0,8559,222.33368881305321
1698379892,9000,,Aggregated,927.000000,0.000000,74,300,410,530,1700,3500,4100,8200,11000,11000,11000,11056,0,74,596.2291063675832,0,11384,222.43487698986976
1698379894,10000,,Aggregated,814.300000,0.000000,73,300,440,540,1700,3500,4100,8200,11000,11000,11000,11379,0,73,589.8101766411811,0,11384,222.45091835837948
1698379895,10000,,Aggregated,747.600000,0.000000,51,260,380,520,1800,3400,4700,8300,16000,16000,16000,13678,0,51,627.0480333382073,0,15641,222.54320807135545
1698379898,10000,,Aggregated,719.500000,0.000000,41,250,350,500,1800,3400,4700,8400,16000,16000,16000,14898,0,41,619.4664384481139,0,15920,222.58061484763056
1698379900,10000,,Aggregated,715.200000,0.000000,29,190,320,420,1500,3400,8200,15000,19000,20000,20000,17311,0,29,638.4710877476749,0,19504,222.63907342152388
1698379903,10000,,Aggregated,819.700000,0.000000,30,200,330,440,1700,3400,8200,15000,20000,20000,20000,17544,0,30,652.3621751025992,0,20182,222.6438668490652
1698379904,10000,,Aggregated,689.600000,0.000000,28,130,290,370,1500,3400,8200,16000,24000,24000,24000,19972,0,28,660.210644902864,0,24212,222.68716202683757
1698379908,10000,,Aggregated,684.500000,0.000000,27,130,300,380,1500,3400,8200,16000,25000,25000,25000,20554,0,27,676.0525445168823,0,24793,222.69602023936946
1698379910,10000,,Aggregated,565.900000,0.000000,27,120,260,340,1400,3400,8200,16000,29000,29000,29000,23003,0,27,679.4501586749554,0,29398,222.72838325435814
1698379914,10000,,Aggregated,567.500000,0.000000,27,120,260,350,1400,3400,8200,19000,29000,30000,30000,23226,0,27,697.3758288125376,0,29957,222.73099113062946
1698379916,10000,,Aggregated,553.900000,0.000000,26,120,220,330,1400,3400,8300,19000,35000,35000,35000,25680,0,26,737.5365654205607,0,35248,222.75669781931464
1698379920,10000,,Aggregated,523.000000,0.000000,26,120,230,330,1400,3400,8300,19000,35000,40000,40000,25787,0,26,751.1207197425059,0,39787,222.7577073719316
1698379922,10000,,Aggregated,519.900000,0.000000,26,110,210,320,1300,3400,8300,19000,40000,41000,41000,27725,0,26,760.3413165013526,0,41048,222.7746438232642
1698379927,10000,,Aggregated,456.400000,0.000000,26,110,210,320,1300,3400,8300,20000,40000,46000,46000,27828,0,26,782.0268794020411,0,46266,222.7754779358919
1698379928,10000,,Aggregated,228.000000,0.000000,25,100,150,300,1300,3400,8400,24000,48000,48000,48000,30275,0,25,889.1899917423617,0,47809,222.79362510322048
1698379934,10000,,Aggregated,261.700000,0.000000,26,100,160,310,1300,3500,8400,24000,48000,48000,48000,30380,0,26,893.7147794601711,0,47809,222.7943383805135
1698379935,10000,,Aggregated,255.200000,0.000000,25,100,130,280,1200,3500,8600,29000,54000,55000,55000,32775,0,25,937.2000610221205,0,54756,222.8093668954996
1698379941,10000,,Aggregated,256.600000,0.000000,25,100,140,280,1200,3500,8600,29000,54000,55000,55000,32880,0,25,941.9546228710462,0,54756,222.80997566909977
