Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/jsonresponse?seed=100015,1,0,3,3.0,3,3,225.0,0.015118726423894628,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/jsonresponse?seed=100025,1,0,3,3.0,3,3,225.0,0.015118726423894628,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/jsonresponse?seed=100042,1,0,2456,2456.0,2456,2456,224.0,0.015118726423894628,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/jsonresponse?seed=100105,1,0,14,14.0,14,14,224.0,0.015118726423894628,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/jsonresponse?seed=100153,1,0,124,124.0,124,124,225.0,0.015118726423894628,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/jsonresponse?seed=100186,1,0,9,9.0,9,9,225.0,0.015118726423894628,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/jsonresponse?seed=100279,1,0,146,146.0,146,146,225.0,0.015118726423894628,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/jsonresponse?seed=100302,1,0,1,1.0,1,1,225.0,0.015118726423894628,0.0,1,1,1,1,1,1,1,1,1,1,1
GET,/jsonresponse?seed=100319,1,0,10,10.0,10,10,225.0,0.015118726423894628,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/jsonresponse?seed=100321,1,0,25,25.0,25,25,225.0,0.015118726423894628,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/jsonresponse?seed=10034,1,0,284,284.0,284,284,224.0,0.015118726423894628,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,/jsonresponse?seed=10035,1,0,23,23.0,23,23,224.0,0.015118726423894628,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/jsonresponse?seed=100394,1,0,12,12.0,12,12,225.0,0.015118726423894628,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/jsonresponse?seed=100449,1,0,1,1.0,1,1,225.0,0.015118726423894628,0.0,1,1,1,1,1,1,1,1,1,1,1
GET,/jsonresponse?seed=100514,1,0,1796,1796.0,1796,1796,224.0,0.015118726423894628,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/jsonresponse?seed=100517,1,0,10,10.0,10,10,224.0,0.015118726423894628,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/jsonresponse?seed=100535,1,0,187,187.0,187,187,224.0,0.015118726423894628,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/jsonresponse?seed=100553,1,0,33,33.0,33,33,225.0,0.015118726423894628,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/jsonresponse?seed=100571,1,0,11,11.0,11,11,224.0,0.015118726423894628,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/jsonresponse?seed=100591,1,0,6,6.0,6,6,225.0,0.015118726423894628,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=100599,1,0,2,2.0,2,2,225.0,0.015118726423894628,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/jsonresponse?seed=100618,1,0,13,13.0,13,13,224.0,0.015118726423894628,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/jsonresponse?seed=100635,1,0,466,466.0,466,466,225.0,0.015118726423894628,0.0,470,470,470,470,470,470,470,470,470,470,470
GET,/jsonresponse?seed=100681,1,0,121,121.0,121,121,225.0,0.015118726423894628,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/jsonresponse?seed=100828,1,0,121,121.0,121,121,224.0,0.015118726423894628,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/jsonresponse?seed=100830,1,0,10,10.0,10,10,224.0,0.015118726423894628,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/jsonresponse?seed=100831,2,0,3,4.5,3,6,225.0,0.030237452847789257,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=100839,1,0,7,7.0,7,7,224.0,0.015118726423894628,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/jsonresponse?seed=100841,1,0,12,12.0,12,12,224.0,0.015118726423894628,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/jsonresponse?seed=100848,1,0,7,7.0,7,7,224.0,0.015118726423894628,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/jsonresponse?seed=100899,1,0,5741,5741.0,5741,5741,225.0,0.015118726423894628,0.0,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700
GET,/jsonresponse?seed=100918,1,0,1,1.0,1,1,225.0,0.015118726423894628,0.0,1,1,1,1,1,1,1,1,1,1,1
GET,/jsonresponse?seed=100920,1,0,332,332.0,332,332,224.0,0.015118726423894628,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/jsonresponse?seed=100967,1,0,23,23.0,23,23,225.0,0.015118726423894628,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/jsonresponse?seed=101014,1,0,30,30.0,30,30,224.0,0.015118726423894628,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/jsonresponse?seed=10110,1,0,25,25.0,25,25,224.0,0.015118726423894628,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/jsonresponse?seed=101102,1,0,24,24.0,24,24,225.0,0.015118726423894628,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/jsonresponse?seed=101245,1,0,2,2.0,2,2,225.0,0.015118726423894628,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/jsonresponse?seed=101248,1,0,13,13.0,13,13,224.0,0.015118726423894628,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/jsonresponse?seed=101278,1,0,8,8.0,8,8,224.0,0.015118726423894628,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/jsonresponse?seed=101378,1,0,33,33.0,33,33,225.0,0.015118726423894628,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/jsonresponse?seed=10139,1,0,26323,26323.0,26323,26323,225.0,0.015118726423894628,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/jsonresponse?seed=101397,1,0,6,6.0,6,6,224.0,0.015118726423894628,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=101411,1,0,7,7.0,7,7,224.0,0.015118726423894628,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/jsonresponse?seed=101453,1,0,3040,3040.0,3040,3040,224.0,0.015118726423894628,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
GET,/jsonresponse?seed=101466,1,0,300,300.0,300,300,224.0,0.015118726423894628,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/jsonresponse?seed=101514,1,0,9,9.0,9,9,225.0,0.015118726423894628,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/jsonresponse?seed=101539,1,0,122,122.0,122,122,225.0,0.015118726423894628,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/jsonresponse?seed=101590,1,0,10,10.0,10,10,225.0,0.015118726423894628,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/jsonresponse?seed=101591,1,0,115,115.0,115,115,225.0,0.015118726423894628,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/jsonresponse?seed=101628,1,0,195,195.0,195,195,224.0,0.015118726423894628,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/jsonresponse?seed=101677,1,0,10,10.0,10,10,225.0,0.015118726423894628,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/jsonresponse?seed=101695,1,0,140,140.0,140,140,225.0,0.015118726423894628,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/jsonresponse?seed=101702,1,0,6,6.0,6,6,225.0,0.015118726423894628,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=101756,1,0,28,28.0,28,28,225.0,0.015118726423894628,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/jsonresponse?seed=101781,1,0,28,28.0,28,28,224.0,0.015118726423894628,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/jsonresponse?seed=101808,1,0,27,27.0,27,27,224.0,0.015118726423894628,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/jsonresponse?seed=101837,1,0,5,5.0,5,5,224.0,0.015118726423894628,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=101917,1,0,176,176.0,176,176,224.0,0.015118726423894628,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/jsonresponse?seed=102089,1,0,13,13.0,13,13,225.0,0.015118726423894628,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/jsonresponse?seed=102120,2,0,13,138.0,13,263,224.0,0.030237452847789257,0.0,260,260,260,260,260,260,260,260,260,260,260
GET,/jsonresponse?seed=102163,1,0,7,7.0,7,7,224.0,0.015118726423894628,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/jsonresponse?seed=102280,1,0,44,44.0,44,44,224.0,0.015118726423894628,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/jsonresponse?seed=102294,1,0,12,12.0,12,12,225.0,0.015118726423894628,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/jsonresponse?seed=102306,1,0,9,9.0,9,9,225.0,0.015118726423894628,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/jsonresponse?seed=102318,1,0,5,5.0,5,5,225.0,0.015118726423894628,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=102380,1,0,9,9.0,9,9,224.0,0.015118726423894628,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/jsonresponse?seed=102397,1,0,31,31.0,31,31,225.0,0.015118726423894628,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/jsonresponse?seed=102442,1,0,98,98.0,98,98,224.0,0.015118726423894628,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/jsonresponse?seed=102478,1,0,14,14.0,14,14,224.0,0.015118726423894628,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/jsonresponse?seed=102487,1,0,605,605.0,605,605,225.0,0.015118726423894628,0.0,600,600,600,600,600,600,600,600,600,600,600
GET,/jsonresponse?seed=102491,1,0,28,28.0,28,28,225.0,0.015118726423894628,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/jsonresponse?seed=102596,1,0,230,230.0,230,230,224.0,0.015118726423894628,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/jsonresponse?seed=102603,1,0,35,35.0,35,35,225.0,0.015118726423894628,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/jsonresponse?seed=102647,1,0,2,2.0,2,2,225.0,0.015118726423894628,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/jsonresponse?seed=102653,1,0,2479,2479.0,2479,2479,224.0,0.015118726423894628,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/jsonresponse?seed=102707,1,0,3,3.0,3,3,225.0,0.015118726423894628,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/jsonresponse?seed=102754,1,0,5,5.0,5,5,225.0,0.015118726423894628,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=102832,1,0,122,122.0,122,122,225.0,0.015118726423894628,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/jsonresponse?seed=102838,1,0,14,14.0,14,14,225.0,0.015118726423894628,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/jsonresponse?seed=102875,1,0,2,2.0,2,2,224.0,0.015118726423894628,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/jsonresponse?seed=102880,1,0,6,6.0,6,6,224.0,0.015118726423894628,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=102898,1,0,18,18.0,18,18,224.0,0.015118726423894628,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/jsonresponse?seed=102939,1,0,15,15.0,15,15,225.0,0.015118726423894628,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/jsonresponse?seed=102979,1,0,30,30.0,30,30,225.0,0.015118726423894628,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/jsonresponse?seed=102987,1,0,5,5.0,5,5,225.0,0.015118726423894628,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=103007,1,0,536,536.0,536,536,225.0,0.015118726423894628,0.0,540,540,540,540,540,540,540,540,540,540,540
GET,/jsonresponse?seed=103016,1,0,29,29.0,29,29,224.0,0.015118726423894628,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/jsonresponse?seed=103021,1,0,245,245.0,245,245,224.0,0.015118726423894628,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/jsonresponse?seed=103039,1,0,8,8.0,8,8,225.0,0.015118726423894628,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/jsonresponse?seed=103043,1,0,3,3.0,3,3,225.0,0.015118726423894628,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/jsonresponse?seed=10311,1,0,6,6.0,6,6,225.0,0.015118726423894628,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=103119,1,0,4,4.0,4,4,224.0,0.015118726423894628,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/jsonresponse?seed=103145,1,0,24,24.0,24,24,225.0,0.015118726423894628,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/jsonresponse?seed=103225,1,0,317,317.0,317,317,224.0,0.015118726423894628,0.0,320,320,320,320,320,320,320,320,320,320,320
GET,/jsonresponse?seed=103236,1,0,285,285.0,285,285,224.0,0.015118726423894628,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,/jsonresponse?seed=1033,1,0,9,9.0,9,9,224.0,0.015118726423894628,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/jsonresponse?seed=103376,1,0,133,133.0,133,133,224.0,0.015118726423894628,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/jsonresponse?seed=10339,1,0,10,10.0,10,10,225.0,0.015118726423894628,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/jsonresponse?seed=103390,1,0,12,12.0,12,12,225.0,0.015118726423894628,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/jsonresponse?seed=103424,1,0,50261,50261.0,50261,50261,225.0,0.015118726423894628,0.0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
GET,/jsonresponse?seed=103448,1,0,7,7.0,7,7,224.0,0.015118726423894628,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/jsonresponse?seed=103559,1,0,11,11.0,11,11,224.0,0.015118726423894628,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/jsonresponse?seed=103562,1,0,134,134.0,134,134,225.0,0.015118726423894628,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/jsonresponse?seed=103570,1,0,5,5.0,5,5,225.0,0.015118726423894628,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=103571,1,0,4,4.0,4,4,224.0,0.015118726423894628,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/jsonresponse?seed=103589,1,0,10,10.0,10,10,224.0,0.015118726423894628,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/jsonresponse?seed=103603,1,0,9,9.0,9,9,225.0,0.015118726423894628,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/jsonresponse?seed=103604,1,0,488,488.0,488,488,224.0,0.015118726423894628,0.0,490,490,490,490,490,490,490,490,490,490,490
GET,/jsonresponse?seed=103612,1,0,8,8.0,8,8,225.0,0.015118726423894628,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/jsonresponse?seed=103623,1,0,123,123.0,123,123,225.0,0.015118726423894628,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/jsonresponse?seed=103636,1,0,5,5.0,5,5,224.0,0.015118726423894628,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=103653,1,0,5742,5742.0,5742,5742,225.0,0.015118726423894628,0.0,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700
GET,/jsonresponse?seed=103673,1,0,5,5.0,5,5,225.0,0.015118726423894628,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/jsonresponse?seed=10368,1,0,3,3.0,3,3,224.0,0.015118726423894628,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/jsonresponse?seed=103680,1,0,6,6.0,6,6,225.0,0.015118726423894628,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/jsonresponse?seed=103714,1,0,12,12.0,12,12,224.0,0.015118726423894628,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/jsonresponse?seed=103716,1,0,33,33.0,33,33,225.0,0.015118726423894628,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/jsonresponse?seed=103724,1,0,14,14.0,14,14,225.0,0.015118726423894628,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/jsonresponse?seed=103728,1,0,4859,4859.0,4859,4859,225.0,0.015118726423894628,0.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,/jsonresponse?seed=103736,1,0,4,4.0,4,4,224.0,0.015118726423894628,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/jsonresponse?seed=10374,1,0,1,1.0,1,1,225.0,0.015118726423894628,0.0,1,1,1,1,1,1,1,1,1,1,1
GET,/jsonresponse?seed=103744,1,0,226,226.0,226,226,224.0,0.015118726423894628,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/jsonresponse?seed=103746,1,0,9,9.0,9,9,225.0,0.015118726423894628,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/jsonresponse?seed=103782,1,0,263,263.0,263,263,224.0,0.015118726423894628,0.0,260,260,260,260,260,260,260,260,260,260,260
GET,/jsonresponse?seed=103821,1,0,10,10.0,10,10,225.0,0.015118726423894628,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/jsonresponse?seed=103827,1,0,1159,1159.0,1159,1159,225.0,0.015118726423894628,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/jsonresponse?seed=1039,1,0,178,178.0,178,178,224.0,0.015118726423894628,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/jsonresponse?seed=103921,1,0,331,331.0,331,331,224.0,0.015118726423894628,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/jsonresponse?seed=10393,1,0,469,469.0,469,469,224.0,0.015118726423894628,0.0,470,470,470,470,470,470,470,470,470,470,470
GET,/jsonresponse?seed=103943,1,0,2,2.0,2,2,225.0,0.015118726423894628,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/jsonresponse?seed=103948,1,0,29,29.0,29,29,225.0,0.015118726423894628,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/jsonresponse?seed=103951,1,0,28,28.0,28,28,225.0,0.015118726423894628,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/jsonresponse?seed=104,1,0,24,24.0,24,24,225.0,0.015118726423894628,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/jsonresponse?seed=104021,1,0,2,2.0,2,2,225.0,0.015118726423894628,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/jsonresponse?seed=104036,1,0,28,28.0,28,28,224.0,0.015118726423894628,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/jsonresponse?seed=104135,1,0,162,162.0,162,162,224.0,0.015118726423894628,0.0,160,160,160,160,160,160,160,160,160,160,160
