Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/GoNative?seed=1019,1,0,41514.44400701439,41514.44400701439,41514.44400701439,41514.44400701439,111.0,0.016946229148628936,0.0,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
GET,/GoNative?seed=1022,1,0,34234.798680990934,34234.798680990934,34234.798680990934,34234.798680990934,111.0,0.016946229148628936,0.0,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
GET,/GoNative?seed=1029,1,0,43799.280711013125,43799.280711013125,43799.280711013125,43799.280711013125,111.0,0.016946229148628936,0.0,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000
GET,/GoNative?seed=103,1,0,42724.656296981266,42724.656296981266,42724.656296981266,42724.656296981266,111.0,0.016946229148628936,0.0,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000
GET,/GoNative?seed=1060,1,0,37059.937138983514,37059.937138983514,37059.937138983514,37059.937138983514,111.0,0.016946229148628936,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,/GoNative?seed=1061,1,0,17850.297719007358,17850.297719007358,17850.297719007358,17850.297719007358,109.0,0.016946229148628936,0.0,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
GET,/GoNative?seed=1086,1,0,54206.27035899088,54206.27035899088,54206.27035899088,54206.27035899088,111.0,0.016946229148628936,0.0,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
GET,/GoNative?seed=1089,1,0,48123.371381982,48123.371381982,48123.371381982,48123.371381982,111.0,0.016946229148628936,0.0,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000
GET,/GoNative?seed=1091,1,0,13048.747772991192,13048.747772991192,13048.747772991192,13048.747772991192,109.0,0.016946229148628936,0.0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,/GoNative?seed=1096,1,0,33448.403985006735,33448.403985006735,33448.403985006735,33448.403985006735,111.0,0.016946229148628936,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
GET,/GoNative?seed=1109,1,0,89.8905580106657,89.8905580106657,89.8905580106657,89.8905580106657,111.0,0.016946229148628936,0.0,90,90,90,90,90,90,90,90,90,90,90
GET,/GoNative?seed=1124,1,0,39507.15107598808,39507.15107598808,39507.15107598808,39507.15107598808,111.0,0.016946229148628936,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/GoNative?seed=1129,1,0,884.2036229907535,884.2036229907535,884.2036229907535,884.2036229907535,111.0,0.016946229148628936,0.0,880,880,880,880,880,880,880,880,880,880,880
GET,/GoNative?seed=1142,1,0,45982.2575779981,45982.2575779981,45982.2575779981,45982.2575779981,111.0,0.016946229148628936,0.0,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000
GET,/GoNative?seed=1149,1,0,44364.385641005356,44364.385641005356,44364.385641005356,44364.385641005356,111.0,0.016946229148628936,0.0,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000
GET,/GoNative?seed=1177,1,0,9421.26936200657,9421.26936200657,9421.26936200657,9421.26936200657,111.0,0.016946229148628936,0.0,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
GET,/GoNative?seed=1183,1,0,22775.332705990877,22775.332705990877,22775.332705990877,22775.332705990877,111.0,0.016946229148628936,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/GoNative?seed=1187,1,0,26726.021631009644,26726.021631009644,26726.021631009644,26726.021631009644,109.0,0.016946229148628936,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
