Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1698382017,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1698382018,2000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1698382019,4000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1698382021,6000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1698382022,8000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1698382023,10000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1698382024,10000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1698382025,10000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1698382026,10000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1698382027,10000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1698382028,10000,,Aggregated,0.000000,0.000000,9300,9400,9500,9500,9600,9600,9600,9600,9600,9600,9600,349,349,9300.0,9328.457616813801,9055.347436020384,9649.853673006874,150.0
1698382029,10000,,Aggregated,0.000000,0.000000,9300,9500,9600,9600,9700,9800,9800,9800,9800,9800,9800,429,429,9300.0,9399.881839894928,9055.347436020384,9788.166075974004,150.0
1698382030,10000,,Aggregated,34.900000,34.900000,9500,9600,9600,9700,9700,9800,9800,9800,9800,9800,9800,880,880,9500.0,9485.072257097801,9055.347436020384,9799.647920008283,150.0
1698382031,10000,,Aggregated,34.900000,34.900000,9400,9500,9600,9600,9700,9800,9800,9800,12000,12000,12000,1388,1388,9400.0,9323.866751439631,8475.325809995411,12049.498451000545,150.0
1698382032,10000,,Aggregated,62.400000,62.400000,8800,9300,9400,9500,9600,9700,9800,9800,14000,14000,14000,2658,2658,8800.0,8162.819643246034,2530.186647985829,13564.237127982778,150.0
1698382033,10000,,Aggregated,128.000000,128.000000,8600,9200,9400,9400,9600,9700,9800,14000,16000,16000,16000,3238,3238,8600.0,7237.003453841745,2034.5305400260258,15507.945983001264,150.0
1698382035,10000,,Aggregated,289.800000,289.800000,8600,9200,9300,9400,9600,9700,9800,14000,16000,16000,16000,3273,3273,8600.0,7184.016468000137,2034.5305400260258,15507.945983001264,150.0
1698382036,10000,,Aggregated,324.900000,324.900000,3100,8600,8900,9200,9500,9700,9800,12000,18000,18000,18000,4932,4932,3100.0,5788.329466652912,2034.5305400260258,17528.69698498398,150.0
1698382038,10000,,Aggregated,324.900000,324.900000,3000,8500,8900,9200,9500,9700,9800,14000,18000,18000,18000,5291,5291,3000.0,5617.723593371235,2034.5305400260258,18379.074268013937,150.0
1698382039,10000,,Aggregated,529.100000,529.100000,3100,8500,8800,9200,9500,9700,9800,14000,21000,21000,21000,5632,5632,3100.0,5522.627430218715,2034.5305400260258,20971.45165799884,150.0
1698382041,10000,,Aggregated,494.200000,494.200000,3500,8300,8700,8900,9500,9600,9800,15000,22000,22000,22000,6256,6256,3500.0,5396.669060936494,2034.5305400260258,22173.474393988727,150.0
1698382042,10000,,Aggregated,508.200000,508.200000,3500,4900,8500,8700,9400,9600,9800,15000,24000,24000,24000,7674,7674,3500.0,5145.092671858451,2034.5305400260258,24003.145178983686,150.0
1698382044,10000,,Aggregated,479.300000,479.300000,3500,4900,8500,8700,9400,9600,9800,14000,24000,24000,24000,7812,7812,3500.0,5113.555009807446,2034.5305400260258,24003.145178983686,150.0
1698382046,10000,,Aggregated,453.000000,453.000000,3500,4900,8400,8700,9400,9600,9800,15000,27000,27000,27000,8113,8113,3500.0,5111.526089575852,2034.5305400260258,26631.478880008217,150.0
1698382047,10000,,Aggregated,472.700000,472.700000,3600,4800,8400,8600,9400,9600,9800,15000,27000,27000,27000,8341,8341,3600.0,5095.4795240619505,2034.5305400260258,26631.478880008217,150.0
1698382049,10000,,Aggregated,304.300000,304.300000,4500,5800,6200,8500,9300,9600,9700,16000,31000,31000,31000,9834,9834,4500.0,5267.156912168444,2034.5305400260258,30810.668377002003,150.0
1698382051,10000,,Aggregated,304.300000,304.300000,4500,5700,6200,8400,9300,9600,9700,15000,31000,31000,31000,10090,10090,4500.0,5248.072159530234,2034.5305400260258,30810.668377002003,150.0
1698382052,10000,,Aggregated,438.400000,438.400000,4300,5700,6100,8400,9300,9600,9700,16000,34000,34000,34000,10453,10453,4300.0,5233.167509021744,2034.5305400260258,33939.25138498889,150.0
1698382055,10000,,Aggregated,277.900000,277.900000,4400,5600,6100,8300,9200,9500,9700,16000,34000,34000,34000,10762,10762,4400.0,5209.837289759761,2034.5305400260258,33939.25138498889,150.0
1698382056,10000,,Aggregated,298.200000,298.200000,4500,5800,6200,6600,9200,9500,9700,16000,37000,38000,38000,12256,12256,4500.0,5301.433598736165,2034.5305400260258,38035.14900599839,150.0
1698382059,10000,,Aggregated,396.900000,396.900000,4500,5800,6200,6600,9200,9500,9700,16000,37000,38000,38000,12332,12332,4500.0,5299.708985916347,2034.5305400260258,38035.14900599839,150.0
1698382060,10000,,Aggregated,398.300000,398.300000,4500,5800,6200,7400,9100,9500,9700,18000,38000,42000,42000,12891,12891,4500.0,5361.32855737575,2034.5305400260258,42404.78541501216,150.0
1698382063,10000,,Aggregated,280.100000,280.100000,4500,5800,6200,7400,9100,9500,9700,18000,38000,42000,42000,12911,12911,4500.0,5363.202630568956,2034.5305400260258,42404.78541501216,150.0
1698382064,10000,,Aggregated,281.100000,281.100000,4800,6100,6500,8100,8900,9500,9700,18000,42000,46000,46000,13870,13870,4800.0,5497.185225831064,2034.5305400260258,46211.505010986,150.0
1698382067,10000,,Aggregated,310.900000,310.900000,4800,6100,6200,8100,8900,9500,9700,18000,42000,46000,46000,14233,14233,4800.0,5489.578067015744,2034.5305400260258,46211.505010986,150.0
1698382069,10000,,Aggregated,253.400000,253.400000,4900,6100,7400,7800,8800,9500,9700,18000,46000,50000,50000,15021,15021,4900.0,5620.5747697099705,2034.5305400260258,49965.68441001,150.0
1698382071,10000,,Aggregated,253.400000,253.400000,4900,6100,7400,7800,8800,9500,9700,18000,46000,50000,50000,15021,15021,4900.0,5620.5747697099705,2034.5305400260258,49965.68441001,150.0
1698382073,10000,,Aggregated,255.300000,255.300000,4900,6100,7600,8000,8800,9400,9700,18000,50000,54000,54000,15384,15384,4900.0,5710.389112482306,2034.5305400260258,54214.64197000023,150.0
1698382076,10000,,Aggregated,247.100000,247.100000,4900,6200,7600,8000,8800,9500,9700,18000,50000,54000,54000,15394,15394,4900.0,5713.909491253074,2034.5305400260258,54214.64197000023,150.0
1698382078,10000,,Aggregated,115.400000,115.400000,5100,6200,7700,8100,9200,9600,12000,18000,54000,59000,59000,15913,15913,5100.0,5896.561317259143,2034.5305400260258,59261.906036001164,150.0
1698382080,10000,,Aggregated,167.600000,167.600000,5100,6200,7700,8100,9300,9600,12000,18000,54000,59000,59000,15933,15933,5100.0,5903.527083619141,2034.5305400260258,59261.906036001164,150.0
1698382083,10000,,Aggregated,90.100000,90.100000,5300,7500,8200,8700,9600,13000,13000,18000,59000,64000,64000,17228,17228,5300.0,6405.857379546951,2034.5305400260258,63765.0725269923,150.0
1698382086,10000,,Aggregated,90.100000,90.100000,5300,7500,8200,8700,9600,13000,13000,18000,59000,64000,64000,17228,17228,5300.0,6405.857379546951,2034.5305400260258,63765.0725269923,150.0
1698382087,8308,,Aggregated,90.100000,90.100000,5300,7500,8200,8700,9600,13000,13000,18000,59000,64000,64000,17228,17228,5300.0,6405.857379546951,2034.5305400260258,63765.0725269923,150.0
1698382090,8233,,Aggregated,90.100000,90.100000,5300,7500,8200,8700,9600,13000,13000,18000,59000,64000,64000,17228,17228,5300.0,6405.857379546951,2034.5305400260258,63765.0725269923,150.0
1698382099,0,,Aggregated,90.100000,90.100000,5300,7500,8200,8700,9600,13000,13000,18000,59000,64000,64000,17228,17228,5300.0,6405.857379546951,2034.5305400260258,63765.0725269923,150.0
