8daf88b62d984ddfaf88b62d986ddf6f: cold
dd01cab1e997425e81cab1e997d25e12: warm
5b70b2f44ad047a1b0b2f44ad0b7a1dc: warm
cc1d96c7d4264ea39d96c7d4262ea3c9: warm
11c69c60654848e4869c60654848e4b7: warm
e41f758e0271495e9f758e0271695e6d: warm
7831e878ba2548b6b1e878ba25b8b698: warm
c34b2fabeec342868b2fabeec3c28615: warm
3318a398814b4a9f98a398814bfa9f57: warm
2bdadaa3e0ea41f39adaa3e0ea21f3ce: warm
ed95ff5872054f6995ff5872055f6920: warm
63d0de33d7e14b5c90de33d7e1ab5c31: warm
b1c35257309e49dc835257309e39dc55: warm
82d59e33a9014331959e33a9017331b1: warm
61d7a4c658d64a1897a4c658d6da18de: warm
9353fbcaf20343b193fbcaf20343b10b: warm
c4963bbbb3c5419e963bbbb3c5719e3d: warm
d22e23b48de24f31ae23b48de2ff31c1: warm
c85e545cc2574bc99e545cc257cbc99f: warm
ec65d3db528348b3a5d3db528318b332: warm
c3850e5ea7ca4b84850e5ea7ca9b8443: warm
deee41f05e9a40b4ae41f05e9a90b423: warm
c1222a46e36a4023a22a46e36aa02325: warm
d2e6c366b3964e5aa6c366b3964e5a53: warm
505ab73cd9c7474b9ab73cd9c7574b6c: warm
4e998e60f86f4f5d998e60f86f5f5d47: warm
1782d5e1e9ac42a182d5e1e9ac72a13e: warm
5dc661b0a3554e878661b0a355fe87a9: warm
106ca512b0eb4956aca512b0eb89565f: warm
e7f8919a93ca439ab8919a93ca239a7f: warm
f0d1670229d1400a91670229d1000ab2: warm
5d9af4fdbbf94d8e9af4fdbbf90d8eb7: warm
abd525642e3c40649525642e3c306433: warm
44eecca0414347e1aecca0414397e1b8: warm
98da73aff30d4c919a73aff30ddc91fa: warm
ce21ddd3561e4769a1ddd3561e0769ab: warm
d3ca87fe99e043048a87fe99e0530419: warm
b5633027e4264c44a33027e4266c44a4: warm
c4324670bb0a48cab24670bb0a28ca4d: warm
520a914716e244388a914716e21438a6: warm
4a7fb3a684ea467fbfb3a684ea467f10: warm
1eb17c6c1568499bb17c6c1568599bd9: warm
8b098fac397a449b898fac397a349b16: warm
5f5e12b2ed5840959e12b2ed587095b9: warm
470de7b73e1d46328de7b73e1d16326c: warm
41eaaf02cff2407baaaf02cff2e07be4: warm
a57aca504d6b4670baca504d6bc67069: warm
1ad1c09b0f834c2291c09b0f83dc22a9: warm
64666930c23140a3a66930c231e0a35d: warm
8b5c6f7758b3442c9c6f7758b3042c2c: warm
ecfef388c3ed4aa2bef388c3ed3aa260: warm
ec8fc304063a44328fc304063ac4326c: warm
787a48795bdd475cba48795bddb75c92: warm
80183fb48bca43ee983fb48bcaa3ee1b: warm
e8006fb4deed4009806fb4deed100941: warm
3635ec53b1b746e0b5ec53b1b7c6e033: warm
5bf36960165c4640b36960165cb640c5: warm
b034b5212b7b4343b4b5212b7b134373: warm
25d5b0a7609440fa95b0a7609450fa5c: warm
0a5078bf63cb48ce9078bf63cb98ced2: warm
93f68f8749ec466db68f8749eca66dd4: warm
6b2f8bb7c6f340f9af8bb7c6f390f935: warm
959d16bef20b478c9d16bef20b378c63: warm
7353a4dcc5fe42d293a4dcc5fe72d2fd: warm
07e3c48625db4026a3c48625dbf02603: warm
3a52deb5ab5d4a2592deb5ab5d8a252c: warm
33709980d0414cd3b09980d041ecd30c: warm
512713575f6b428ca713575f6bd28c36: warm
1ddbd777aabf483b9bd777aabfe83ba7: warm
658c725fc02042338c725fc020723307: warm
bb8a6d91bb1c48da8a6d91bb1cd8daec: warm
fed3eecd8644414093eecd8644b1408c: warm
6ec2a4fefafb42e482a4fefafb32e465: warm
eda4501c87604917a4501c87601917db: warm
52fc092d58604b04bc092d5860cb04f1: warm
5306edc08c064e4b86edc08c068e4b8f: warm
26fd33cfab6343b5bd33cfab6323b5a8: warm
f4b5117f7c944097b5117f7c945097ac: warm
6988ea68d5b0451988ea68d5b055195e: warm
7b1950c0ebb5460c9950c0ebb5f60cb7: warm
2f23e1967a2c4829a3e1967a2cf8296f: warm
1cb90fecb7074f44b90fecb7078f442f: warm
0c4015dd67084e4b8015dd6708be4b3c: warm
e510cc22528a49fa90cc22528a49fa65: warm
ad5805c2a97449c59805c2a97479c502: warm
c9590fbece19439e990fbece19439e42: warm
1aadba8976a54054adba8976a57054d1: warm
ea27f758d7b84b79a7f758d7b81b7956: warm
cb222a0582a54e02a22a0582a55e021e: warm
31d376e0234d46339376e0234d06334e: warm
e6e91feb3cf04c49a91feb3cf0dc49bd: warm
32db7a12d34545a79b7a12d34585a7e3: warm
5505656337074172856563370781721b: warm
5915dff96c62428395dff96c62428359: warm
bc5ecbb2e9c0407f9ecbb2e9c0a07f09: warm
c5e413d0905f4174a413d0905fb17430: warm
10bcf6df77474b5ebcf6df77478b5e25: warm
2f209301a9ab4f80a09301a9ab6f8079: warm
87760c6002f34a1fb60c6002f3ba1fdf: warm
0bcbdaa6fa09499c8bdaa6fa09299c7d: warm
2c28522411bc4442a8522411bc944207: warm
59b246219ab84ff2b246219ab8aff29a: warm
4f392eb7f6d74662b92eb7f6d7a662c3: warm
7919f5c20871435299f5c2087103520c: warm
c4728f252dbf4b9bb28f252dbfdb9b50: warm
ea2f5d11a15e4964af5d11a15ee9645b: warm
300712d65f6143f38712d65f6113f311: warm
a1119b4bd03f4ac9919b4bd03f5ac93a: warm
aa0330efae7543278330efae75632777: warm
793a30091c104993ba30091c108993d4: warm
a328e8fd438841d1a8e8fd438891d1d9: warm
d5e24d58a1cd4974a24d58a1cd6974c2: warm
9396acfa40a2424596acfa40a262455f: warm
f2b549b7ba4f4aecb549b7ba4f5aec4d: warm
0fe4b378335a4743a4b378335a8743ed: warm
8b457e960ecd43e6857e960ecdf3e68b: warm
